protein_id	protein_name	species_code	species_name	current_family	CPAP1_score	CPAP1_evalue	CPAP3_score	CPAP3_evalue	delta_CPAP1_minus_CPAP3	higher_score_prediction
Aga_CPAP3-A1b	CPAP3-A1b	Aga	Anopheles gambiae	CPAP3	57.7	1.5e-16	290.8	1.1e-87	-233.1	CPAP3
Aga_CPAP3-A1c	CPAP3-A1c	Aga	Anopheles gambiae	CPAP3	58.8	6.7e-17	287.4	1.3e-86	-228.6	CPAP3
Aga_CPAP3-B	CPAP3-B	Aga	Anopheles gambiae	CPAP3	105.5	3.9e-31	294.5	8.8e-89	-189.0	CPAP3
Aga_CPAP3-C	CPAP3-C	Aga	Anopheles gambiae	NULL	48.5	9.1e-14	287.9	8.9e-87	-239.4	CPAP3
Aga_CPAP3-D1	CPAP3-D1	Aga	Anopheles gambiae	CPAP3	28.1	1.6e-07	247.6	1.8e-74	-219.5	CPAP3
Aga_CPAP3-D2_iso1	CPAP3-D2_iso1	Aga	Anopheles gambiae	CPAP3	25.7	8.5e-07	211.1	2.4e-63	-185.4	CPAP3
Aga_CPAP3-D2_iso2	CPAP3-D2_iso2	Aga	Anopheles gambiae	CPAP3	26.5	4.7e-07	221.6	1.5e-66	-195.1	CPAP3
Aga_CPAP3-E	CPAP3-E	Aga	Anopheles gambiae	CPAP3	41.2	1.6e-11	267.2	1.8e-80	-226.0	CPAP3
Aga_CPF1	CPF1	Aga	Anopheles gambiae	CPF	0.0	None	0.0	None	0.0	no_hit
Aga_CPF2	CPF2	Aga	Anopheles gambiae	CPF	0.0	None	0.0	None	0.0	no_hit
Aga_CPF3	CPF3	Aga	Anopheles gambiae	CPF	0.0	None	0.0	None	0.0	no_hit
Aga_CPF4	CPF4	Aga	Anopheles gambiae	CPF	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL1	CPFL1	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL2	CPFL2	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL3	CPFL3	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL4	CPFL4	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL5	CPFL5	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL6	CPFL6	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL7	CPFL7	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPLC#	CPLCG4	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLC8	CPLCG3	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCA1	CPLCA1	Aga	Anopheles gambiae	CPLCA	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCA2	CPLCA2	Aga	Anopheles gambiae	CPLCA	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCA3	CPLCA3	Aga	Anopheles gambiae	CPLCA	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG1	CPLCG1	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG10	CPLCG10	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG11	CPLCG11	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG12	CPLCG12	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG13	CPLCG13	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG14	CPLCG14	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG15	CPLCG15	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG16	CPLCG16	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG17	CPLCG17	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG18	CPLCG18	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG19	CPLCG19	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG2	CPLCG2	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG20	CPLCG20	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG21	CPLCG21	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG22	CPLCG22	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG23	CPLCG23	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG24	CPLCG24	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG25	CPLCG25	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG26	CPLCG26	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG27	CPLCG27	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG3	CPLCG3	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG4	CPLCG4	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG5	CPLCG5	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG6	CPLCG6	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG7	CPLCG7	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG8	CPLCG8	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG9	CPLCG9	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP1	CPLCP1	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP10	CPLCP10	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP11	CPLCP11	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP12	CPLCP12	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP13	CPLCP13	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP14	CPLCP14	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP15	CPLCP15	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP16	CPLCP16	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP17	CPLCP17	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP18	CPLCP18	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP19	CPLCP19	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP2	CPLCP2	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP20	CPLCP20	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP21	CPLCP21	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP22	CPLCP22	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP23	CPLCP23	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP24	CPLCP24	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP25	CPLCP25	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP26	CPLCP26	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP27	CPLCP27	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP28	CPLCP28	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP3	CPLCP3	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP4	CPLCP4	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP5	CPLCP5	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP6	CPLCP6	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP7	CPLCP7	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP8	CPLCP8	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP9	CPLCP9	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW1	CPLCW1	Aga	Anopheles gambiae	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW2	CPLCW2	Aga	Anopheles gambiae	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW4	CPLCW4	Aga	Anopheles gambiae	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW5	CPLCW5	Aga	Anopheles gambiae	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW7	CPLCW7	Aga	Anopheles gambiae	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW8	CPLCW8	Aga	Anopheles gambiae	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW9	CPLCW9	Aga	Anopheles gambiae	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCX1	CPLCX1	Aga	Anopheles gambiae	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCX2	CPLCX2	Aga	Anopheles gambiae	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCX3	CPLCX3	Aga	Anopheles gambiae	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_CPR1	CPR1	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR10	CPR10	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR100	CPR100	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR101	CPR101	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR102	CPR102	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR103	CPR103	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR104	CPR104	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR105	CPR105	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR106	CPR106	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR107	CPR107	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR108	CPR108	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR109	CPR109	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR11	CPR11	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR110	CPR110	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR111	CPR111	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR112	CPR112	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR113	CPR113	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR114	CPR114	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR115	CPR115	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR116	CPR116	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR117	CPR117	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR118	CPR118	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR119	CPR119	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR12	CPR12	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR120	CPR120	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR121	CPR121	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR122	CPR122	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR123	CPR123	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR124	CPR124	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR125	CPR125	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR126	CPR126	Aga	Anopheles gambiae	CPR RR-1	6.2	0.73	0.0	None	6.2	CPAP1
Aga_CPR127	CPR127	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR128	CPR128	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR129	CPR129	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR13	CPR13	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR130	CPR130	Aga	Anopheles gambiae	CPR RR-3	0.0	None	0.0	None	0.0	no_hit
Aga_CPR131	CPR131	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR132	CPR132	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR133	CPR133	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR134	CPR134	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR135	CPR135	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR136	CPR136	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR137	CPR137	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR138	CPR138	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR139	CPR139	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR14	CPR14	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR140	CPR140	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR141	CPR141	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR142	CPR142	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR143	CPR143	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR144_iso1	CPR144_iso1	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR144_iso2	CPR144_iso2	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR145	CPR145	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR146	CPR146	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR147	CPR147	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR148	CPR148	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR149	CPR149	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR15	CPR15	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR150	CPR150	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR151	CPR151	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR152	CPR152	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR153	CPR153	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR155	CPR155	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR156	CPR156	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR157	CPR157	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR158	CPR158	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR159	CPR159	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR16	CPR16	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR160	CPR160	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR161_iso1	CPR161_iso1	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR161_iso2	CPR161_iso2	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR162	CPR162	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR163	CPR163	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR164	CPR164	Aga	Anopheles gambiae	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR17	CPR17	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR18	CPR18	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR19	CPR19	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR2	CPR2	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR20	CPR20	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR21	CPR21	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR22	CPR22	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR23	CPR23	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR24	CPR24	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR25	CPR25	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR26	CPR26	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR27	CPR27	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR28	CPR28	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR29	CPR29	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR3	CPR3	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR30	CPR30	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR31	CPR31	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR32	CPR32	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR33	CPR33	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR34	CPR34	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR35	CPR35	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR36	CPR36	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR37	CPR37	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR38	CPR38	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR39	CPR39	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR4	CPR4	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR40	CPR40	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR41	CPR41	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR42	CPR42	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR43	CPR43	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR44	CPR44	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR45	CPR45	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR46	CPR46	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR47	CPR47	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR48	CPR48	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR49	CPR49	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR5	CPR5	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR50	CPR50	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR51	CPR51	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR52	CPR52	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR53	CPR53	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR54	CPR54	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR55	CPR55	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR56	CPR56	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR57	CPR57	Aga	Anopheles gambiae	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPR58	CPR58	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aga_CPR59	CPR59	Aga	Anopheles gambiae	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
