protein_id	current_family	RR1_score	RR1_evalue	RR2_score	RR2_evalue	score_delta_RR1_minus_RR2	higher_score_prediction
Aga_CPLCG12	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG13	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG14	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG15	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG16	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG17	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG18	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG19	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG2	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG20	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG21	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG22	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG23	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG24	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG25	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG26	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG27	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG3	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG4	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG5	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG6	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG7	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG8	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG9	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP1	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP10	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP11	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP12	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP13	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP14	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP15	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP16	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP17	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP18	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP19	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP2	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP20	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP21	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP22	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP23	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP24	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP25	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP26	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP27	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP28	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP3	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP4	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP5	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP6	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP7	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP8	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCP9	CPLCP	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW1	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW2	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW4	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW5	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW7	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW8	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCW9	CPLCW	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCX1	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCX2	NULL	7.9	0.34	0.0	None	7.9	RR-1
Aga_CPLCX3	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_CPR1	CPR RR-2	43.9	3e-12	147.6	4.2e-44	-103.7	RR-2
Aga_CPR10	CPR RR-2	37.3	3.2e-10	112.4	3e-33	-75.1	RR-2
Aga_CPR100	CPR RR-2	42.8	6.4e-12	126.1	1.8e-37	-83.3	RR-2
Aga_CPR101	CPR RR-1	42.0	1.1e-11	124.7	4.8e-37	-82.7	RR-2
Aga_CPR102	CPR RR-1	86.7	1.9e-25	36.0	9.9e-10	50.7	RR-1
Aga_CPR103	CPR RR-1	86.6	2.2e-25	31.3	2.6e-08	55.3	RR-1
Aga_CPR104	CPR RR-1	90.0	2e-26	38.1	2.1e-10	51.9	RR-1
Aga_CPR105	CPR RR-1	98.0	6.9e-29	47.9	2.1e-13	50.1	RR-1
Aga_CPR106	CPR RR-1	131.3	3.7e-39	41.0	2.8e-11	90.3	RR-1
Aga_CPR107	CPR RR-2	47.8	1.9e-13	137.7	4.7e-41	-89.9	RR-2
Aga_CPR108	CPR RR-2	41.2	2e-11	129.2	1.9e-38	-88.0	RR-2
Aga_CPR109	CPR RR-2	43.2	4.7e-12	126.5	1.3e-37	-83.3	RR-2
Aga_CPR11	CPR RR-1	129.8	1.1e-38	29.9	7.2e-08	99.9	RR-1
Aga_CPR110	CPR RR-2	44.8	1.6e-12	131.6	3.7e-39	-86.8	RR-2
Aga_CPR111	CPR RR-2	48.6	1e-13	20.4	6.3e-05	28.2	RR-1
Aga_CPR112	CPR RR-2	28.2	2e-07	21.9	2.1e-05	6.3	RR-1
Aga_CPR113	CPR RR-2	110.7	8.3e-33	16.9	0.00071	93.8	RR-1
Aga_CPR114	CPR RR-2	54.7	1.4e-15	126.4	1.4e-37	-71.7	RR-2
Aga_CPR115	CPR RR-2	42.9	6e-12	138.1	3.7e-41	-95.2	RR-2
Aga_CPR116	CPR RR-2	44.3	2.1e-12	125.7	2.3e-37	-81.4	RR-2
Aga_CPR117	CPR RR-2	49.2	7e-14	139.9	9.8e-42	-90.7	RR-2
Aga_CPR118	CPR RR-2	43.0	5.5e-12	138.3	3.1e-41	-95.3	RR-2
Aga_CPR119	CPR RR-2	43.0	5.5e-12	138.3	3.1e-41	-95.3	RR-2
Aga_CPR12	CPR RR-1	151.8	1.9e-45	32.6	1e-08	119.2	RR-1
Aga_CPR120	CPR RR-2	44.5	2e-12	139.5	1.3e-41	-95.0	RR-2
Aga_CPR121	CPR RR-2	43.2	4.6e-12	137.7	4.8e-41	-94.5	RR-2
Aga_CPR122	CPR RR-2	47.2	2.9e-13	135.0	3.3e-40	-87.8	RR-2
Aga_CPR123	CPR RR-2	50.1	3.6e-14	139.1	1.8e-41	-89.0	RR-2
Aga_CPR124	CPR RR-2	19.4	0.0001	103.2	2e-30	-83.8	RR-2
Aga_CPR125	CPR RR-1	91.2	8.4e-27	21.5	2.7e-05	69.7	RR-1
Aga_CPR126	CPR RR-1	62.0	7.6e-18	20.5	5.8e-05	41.5	RR-1
Aga_CPR127	CPR RR-1	82.1	5.2e-24	16.5	0.00096	65.6	RR-1
Aga_CPR128	CPR RR-1	28.9	1.2e-07	62.8	5.4e-18	-33.9	RR-2
Aga_CPR129	CPR RR-1	89.3	3.1e-26	26.0	1.2e-06	63.3	RR-1
Aga_CPR13	CPR RR-1	151.8	1.9e-45	32.6	1e-08	119.2	RR-1
Aga_CPR130	CPR RR-3	44.9	1.4e-12	9.7	0.12	35.2	RR-1
Aga_CPR131	CPR RR-2	57.6	1.8e-16	140.0	9.7e-42	-82.4	RR-2
Aga_CPR132	CPR RR-2	18.1	0.00025	89.0	4.8e-26	-70.9	RR-2
Aga_CPR133	CPR RR-1	121.2	4.7e-36	25.0	2.4e-06	96.2	RR-1
Aga_CPR134	CPR RR-1	33.7	4e-09	22.0	2e-05	11.7	RR-1
Aga_CPR135	CPR RR-2	30.6	3.7e-08	85.5	5.5e-25	-54.9	RR-2
Aga_CPR136	CPR RR-1	34.7	2e-09	135.2	2.8e-40	-100.5	RR-2
Aga_CPR137	CPR RR-1	76.6	2.6e-22	22.5	1.4e-05	54.1	RR-1
Aga_CPR138	CPR RR-1	10.6	0.049	28.2	2.4e-07	-17.6	RR-2
Aga_CPR139	CPR RR-2	34.8	1.8e-09	67.7	1.7e-19	-32.9	RR-2
Aga_CPR14	CPR RR-1	143.1	8.6e-43	30.4	5e-08	112.7	RR-1
Aga_CPR140	CPR RR-2	0.0	None	28.6	1.8e-07	-28.6	RR-2
Aga_CPR141	CPR RR-1	31.7	1.7e-08	109.1	3e-32	-77.4	RR-2
Aga_CPR142	CPR RR-2	42.7	7.1e-12	125.7	2.4e-37	-83.0	RR-2
Aga_CPR143	CPR RR-2	34.0	3.3e-09	70.7	1.9e-20	-36.7	RR-2
Aga_CPR144_iso1	CPR	55.2	9.6e-16	43.7	4.1e-12	11.5	RR-1
Aga_CPR144_iso2	CPR	55.0	1.2e-15	44.2	2.8e-12	10.8	RR-1
Aga_CPR145	CPR RR-1	16.6	0.00072	120.7	8.1e-36	-104.1	RR-2
Aga_CPR146	CPR RR-2	33.8	3.8e-09	102.6	3e-30	-68.8	RR-2
Aga_CPR147	CPR RR-2	27.4	3.4e-07	90.1	2.2e-26	-62.7	RR-2
Aga_CPR148	CPR RR-2	34.7	1.9e-09	107.5	9.6e-32	-72.8	RR-2
Aga_CPR149	CPR RR-2	33.0	6.4e-09	104.1	1e-30	-71.1	RR-2
Aga_CPR15	CPR RR-1	153.3	6.7e-46	37.0	4.8e-10	116.3	RR-1
Aga_CPR150	CPR RR-2	37.0	3.9e-10	126.7	1.2e-37	-89.7	RR-2
Aga_CPR151	CPR	128.2	3.5e-38	33.6	5.4e-09	94.6	RR-1
Aga_CPR152	CPR RR-2	18.4	0.0002	61.9	1e-17	-43.5	RR-2
Aga_CPR153	CPR RR-2	121.5	3.9e-36	24.9	2.6e-06	96.6	RR-1
Aga_CPR155	CPR RR-2	26.8	5.1e-07	82.1	6.2e-24	-55.3	RR-2
Aga_CPR156	CPR RR-2	30.7	3.4e-08	101.0	9.5e-30	-70.3	RR-2
Aga_CPR157	CPR	23.0	7.9e-06	27.4	4.2e-07	-4.4	RR-2
Aga_CPR158	CPR	44.2	2.4e-12	136.5	1.1e-40	-92.3	RR-2
Aga_CPR159	CPR	31.0	2.6e-08	47.3	3.3e-13	-16.3	RR-2
Aga_CPR16	CPR RR-1	148.3	2.2e-44	23.1	9.2e-06	125.2	RR-1
Aga_CPR160	CPR	31.8	1.6e-08	0.0	None	31.8	RR-1
Aga_CPR161_iso1	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR161_iso2	CPR	16.4	0.00087	29.9	7.5e-08	-13.5	RR-2
Aga_CPR162	CPR	35.2	1.4e-09	9.4	0.15	25.8	RR-1
Aga_CPR163	CPR	29.4	8.3e-08	0.0	None	29.4	RR-1
Aga_CPR164	CPR	0.0	None	0.0	None	0.0	no_hit
Aga_CPR17	CPR RR-1	21.7	2e-05	127.1	8.6e-38	-105.4	RR-2
Aga_CPR18	CPR RR-1	20.3	5.4e-05	126.8	1.1e-37	-106.5	RR-2
Aga_CPR19	CPR RR-1	22.7	9.6e-06	127.2	7.9e-38	-104.5	RR-2
Aga_CPR2	CPR RR-2	53.0	4.7e-15	137.3	6.5e-41	-84.3	RR-2
Aga_CPR20	CPR RR-1	24.7	2.4e-06	125.0	3.8e-37	-100.3	RR-2
Aga_CPR21	CPR RR-1	144.6	3.2e-43	39.5	8e-11	105.1	RR-1
Aga_CPR22	CPR RR-1	121.2	4.7e-36	35.1	1.8e-09	86.1	RR-1
Aga_CPR23	CPR RR-1	142.1	1.8e-42	41.7	1.6e-11	100.4	RR-1
Aga_CPR24	CPR RR-1	128.7	2.4e-38	37.9	2.6e-10	90.8	RR-1
Aga_CPR25	CPR RR-1	138.1	3.1e-41	35.8	1.1e-09	102.3	RR-1
Aga_CPR26	CPR RR-1	130.3	7.5e-39	34.8	2.3e-09	95.5	RR-1
Aga_CPR27	CPR RR-1	90.6	1.3e-26	32.9	8.8e-09	57.7	RR-1
Aga_CPR28	CPR RR-1	97.1	1.3e-28	34.2	3.5e-09	62.9	RR-1
Aga_CPR29	CPR RR-1	90.0	2e-26	32.9	8.8e-09	57.1	RR-1
Aga_CPR3	CPR RR-2	52.7	5.9e-15	137.6	5.2e-41	-84.9	RR-2
Aga_CPR30	CPR RR-1	119.6	1.5e-35	36.7	5.9e-10	82.9	RR-1
Aga_CPR31	CPR RR-1	109.0	2.8e-32	35.1	1.9e-09	73.9	RR-1
Aga_CPR32	CPR RR-1	146.7	6.8e-44	34.5	2.8e-09	112.2	RR-1
Aga_CPR33	CPR RR-1	147.0	5.6e-44	32.5	1.1e-08	114.5	RR-1
Aga_CPR34	CPR RR-1	30.6	3.6e-08	131.6	3.7e-39	-101.0	RR-2
Aga_CPR35	CPR RR-1	35.2	1.4e-09	128.7	2.9e-38	-93.5	RR-2
Aga_CPR36	CPR RR-1	36.0	8e-10	127.6	6.2e-38	-91.6	RR-2
Aga_CPR37	CPR RR-1	30.6	3.7e-08	123.7	9.8e-37	-93.1	RR-2
Aga_CPR38	CPR RR-1	35.4	1.2e-09	127.5	6.5e-38	-92.1	RR-2
Aga_CPR39	CPR RR-1	37.8	2.2e-10	129.7	1.4e-38	-91.9	RR-2
Aga_CPR4	CPR RR-2	53.0	4.7e-15	137.3	6.5e-41	-84.3	RR-2
Aga_CPR40	CPR RR-1	34.7	2e-09	127.5	6.4e-38	-92.8	RR-2
Aga_CPR41	CPR RR-1	33.8	3.8e-09	125.9	2e-37	-92.1	RR-2
Aga_CPR42	CPR RR-1	34.8	1.8e-09	127.1	9e-38	-92.3	RR-2
Aga_CPR43	CPR RR-1	34.7	2e-09	127.5	6.4e-38	-92.8	RR-2
Aga_CPR44	CPR RR-1	33.9	3.6e-09	126.8	1.1e-37	-92.9	RR-2
Aga_CPR45	CPR RR-1	34.7	2e-09	127.5	6.4e-38	-92.8	RR-2
Aga_CPR46	CPR RR-1	34.7	2e-09	127.5	6.4e-38	-92.8	RR-2
Aga_CPR47	CPR RR-1	30.3	4.5e-08	137.7	4.8e-41	-107.4	RR-2
Aga_CPR48	CPR RR-1	30.5	3.9e-08	128.8	2.6e-38	-98.3	RR-2
Aga_CPR49	CPR RR-1	36.3	6.4e-10	134.9	3.5e-40	-98.6	RR-2
Aga_CPR5	CPR RR-2	52.4	6.9e-15	136.8	9e-41	-84.4	RR-2
Aga_CPR50	CPR RR-1	34.2	2.9e-09	135.2	2.7e-40	-101.0	RR-2
Aga_CPR51	CPR RR-1	34.9	1.7e-09	135.2	2.8e-40	-100.3	RR-2
Aga_CPR52	CPR RR-1	30.5	3.9e-08	128.7	2.8e-38	-98.2	RR-2
Aga_CPR53	CPR RR-1	34.3	2.7e-09	134.8	3.8e-40	-100.5	RR-2
Aga_CPR54	CPR RR-1	34.5	2.3e-09	134.8	3.8e-40	-100.3	RR-2
Aga_CPR55	CPR RR-1	39.1	8.7e-11	131.4	4.3e-39	-92.3	RR-2
Aga_CPR56	CPR RR-1	34.8	1.8e-09	104.5	8.2e-31	-69.7	RR-2
Aga_CPR57	CPR RR-1	30.0	5.5e-08	110.7	9.8e-33	-80.7	RR-2
Aga_CPR58	CPR RR-2	41.1	2.2e-11	135.2	2.8e-40	-94.1	RR-2
Aga_CPR59	CPR RR-2	38.3	1.6e-10	124.4	5.8e-37	-86.1	RR-2
Aga_CPR6	CPR RR-2	53.5	3.2e-15	149.8	8.8e-45	-96.3	RR-2
Aga_CPR60	CPR RR-1	39.6	6e-11	141.8	2.7e-42	-102.2	RR-2
Aga_CPR61	CPR RR-1	119.3	1.9e-35	23.4	7.1e-06	95.9	RR-1
Aga_CPR62	CPR RR-1	136.2	1.2e-40	39.3	9.1e-11	96.9	RR-1
Aga_CPR63	CPR RR-1	19.8	7.8e-05	116.6	1.5e-34	-96.8	RR-2
Aga_CPR64	CPR RR-1	39.9	5.1e-11	124.9	4.2e-37	-85.0	RR-2
Aga_CPR65	CPR RR-1	18.3	0.00023	123.3	1.3e-36	-105.0	RR-2
Aga_CPR66	CPR RR-1	26.2	8e-07	124.6	5e-37	-98.4	RR-2
Aga_CPR67	CPR RR-1	15.4	0.0018	98.9	4.1e-29	-83.5	RR-2
Aga_CPR68	CPR RR-1	0.0	None	76.5	3.2e-22	-76.5	RR-2
Aga_CPR69	CPR RR-1	18.5	0.00019	104.3	9e-31	-85.8	RR-2
Aga_CPR7	CPR RR-1	92.8	2.6e-27	36.6	6.2e-10	56.2	RR-1
Aga_CPR70	CPR RR-2	52.7	5.9e-15	144.1	5.3e-43	-91.4	RR-2
Aga_CPR71	CPR RR-2	30.6	3.5e-08	99.8	2.2e-29	-69.2	RR-2
Aga_CPR72	CPR RR-2	30.9	3e-08	131.8	3.2e-39	-100.9	RR-2
Aga_CPR73	CPR RR-1	131.6	3e-39	31.9	1.7e-08	99.7	RR-1
Aga_CPR74	CPR RR-1	122.6	1.8e-36	23.6	6.4e-06	99.0	RR-1
Aga_CPR75	CPR RR-1	158.7	1.4e-47	34.6	2.7e-09	124.1	RR-1
Aga_CPR76	CPR RR-1	115.1	3.6e-34	18.4	0.00025	96.7	RR-1
Aga_CPR77	CPR RR-1	166.3	6.3e-50	37.8	2.8e-10	128.5	RR-1
Aga_CPR78	CPR RR-1	177.8	1.8e-53	35.5	1.3e-09	142.3	RR-1
Aga_CPR79	CPR RR-1	148.8	1.6e-44	40.5	4.1e-11	108.3	RR-1
Aga_CPR8	CPR RR-1	103.4	1.4e-30	48.4	1.5e-13	55.0	RR-1
Aga_CPR80	CPR RR-1	134.9	2.9e-40	23.7	6e-06	111.2	RR-1
Aga_CPR81	CPR RR-1	140.4	6.2e-42	42.7	8.5e-12	97.7	RR-1
Aga_CPR82	CPR RR-2	38.5	1.3e-10	138.2	3.3e-41	-99.7	RR-2
Aga_CPR83	CPR RR-2	39.9	5.1e-11	130.5	7.8e-39	-90.6	RR-2
Aga_CPR84	CPR RR-2	41.2	2e-11	129.2	1.9e-38	-88.0	RR-2
Aga_CPR85	CPR RR-2	32.8	7.5e-09	112.0	3.8e-33	-79.2	RR-2
Aga_CPR86	CPR RR-2	32.5	9.6e-09	105.0	5.5e-31	-72.5	RR-2
Aga_CPR87	CPR RR-2	33.7	4.1e-09	106.8	1.6e-31	-73.1	RR-2
Aga_CPR88	CPR RR-2	39.6	6e-11	108.1	6.3e-32	-68.5	RR-2
Aga_CPR89	CPR RR-2	32.5	9.5e-09	105.3	4.4e-31	-72.8	RR-2
Aga_CPR9	CPR RR-1	61.3	1.3e-17	56.1	6.4e-16	5.2	RR-1
Aga_CPR90	CPR RR-2	32.7	8e-09	106.7	1.6e-31	-74.0	RR-2
Aga_CPR91	CPR RR-2	33.1	6.1e-09	104.9	5.9e-31	-71.8	RR-2
Aga_CPR92	CPR RR-2	42.7	6.8e-12	138.1	3.7e-41	-95.4	RR-2
Aga_CPR93	CPR RR-2	42.6	7.6e-12	125.2	3.3e-37	-82.6	RR-2
Aga_CPR94	CPR RR-2	42.9	6e-12	125.6	2.5e-37	-82.7	RR-2
Aga_CPR95	CPR RR-2	42.5	7.8e-12	124.4	5.8e-37	-81.9	RR-2
Aga_CPR96	CPR RR-2	42.7	7e-12	142.3	1.8e-42	-99.6	RR-2
Aga_CPR97	CPR RR-2	42.1	1e-11	123.0	1.6e-36	-80.9	RR-2
Aga_CPR98	CPR RR-2	29.7	6.9e-08	125.5	2.8e-37	-95.8	RR-2
Aga_CPR99	CPR RR-2	42.8	6.3e-12	126.6	1.2e-37	-83.8	RR-2
Aga_CPTC1	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_CPTC2	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_CPTC3	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_CPTC4	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_P000989-PA	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL1	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL10	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL11	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL12	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL2	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL3	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL4	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL5	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL6	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL7	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL8	Tweedle	0.0	None	0.0	None	0.0	no_hit
Aga_TWDL9	Tweedle	0.0	None	0.0	None	0.0	no_hit
Ago_SgAbd2-like	CPR RR-1	127.8	4.4e-38	29.1	1.3e-07	98.7	RR-1
Aip_Y-y	Yellow	0.0	None	0.0	None	0.0	no_hit
Ame_CPR14	CPR RR-1	147.7	3.3e-44	21.6	2.6e-05	126.1	RR-1
Ame_Lac2	Muticopper oxidase / Phenol oxidase	0.0	None	0.0	None	0.0	no_hit
Ame_Twdl1	Tweedle	0.0	None	0.0	None	0.0	no_hit
Ame_Twdl2	Tweedle	0.0	None	0.0	None	0.0	no_hit
Api_CP62	CPR RR-2	21.0	3.3e-05	105.4	4.1e-31	-84.4	RR-2
Api_CP7	CPR RR-2	31.8	1.5e-08	122.3	2.5e-36	-90.5	RR-2
Api_Stylin-01	CPR RR-1	136.8	7.7e-41	13.2	0.01	123.6	RR-1
Asi_CPF1	CPF	0.0	None	0.0	None	0.0	no_hit
Asi_Lac2	Muticopper oxidase / Phenol oxidase	0.0	None	0.0	None	0.0	no_hit
Bdo_CPAP3-A1	CPAP3	0.0	None	0.0	None	0.0	no_hit
Bdo_CPAP3-B	CPAP3	0.0	None	0.0	None	0.0	no_hit
Bdo_CPAP3-D2	CPAP3	0.0	None	0.0	None	0.0	no_hit
Bdo_CPAP3-E	CPAP3	0.0	None	0.0	None	0.0	no_hit
Bdo_CPAP3-E2	CPAP3	0.0	None	0.0	None	0.0	no_hit
Bdo_CPCFC	CPCFC	0.0	None	0.0	None	0.0	no_hit
Bge_CPLCP1	CPLCP	0.0	None	0.0	None	0.0	no_hit
Bge_Y-y	Yellow	0.0	None	0.0	None	0.0	no_hit
Bmo_ASSCP1	CPR RR-2	28.8	1.3e-07	70.1	3.2e-20	-41.3	RR-2
Bmo_ASSCP2	CPR RR-2	34.6	2.2e-09	116.1	2.1e-34	-81.5	RR-2
Bmo_CPAP1-A	CPAP1	0.0	None	0.0	None	0.0	no_hit
Bmo_CPAP1-B	CPAP1	0.0	None	0.0	None	0.0	no_hit
