protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue
Aga_CPR75	CPR75	Aga	Anopheles gambiae	CPR RR-1	119.9	2.4e-35
Dps_CPR_Uncharacterized_L	CPR_Uncharacterized_L	Dps	Drosophila pseudoobscura	CPR	119.8	2.5e-35
Dgr_CPR_Uncharacterized_34	CPR_Uncharacterized_34	Dgr	Drosophila grimshawi	CPR	119.6	2.8e-35
Dgr_CPR_Uncharacterized_35	CPR_Uncharacterized_35	Dgr	Drosophila grimshawi	CPR	119.6	2.8e-35
Lmi_ACP7	ACP7	Lmi	Locusta migratoria	CPR RR-2	119.5	3e-35
Dan_CPR_Uncharacterized_45	CPR_Uncharacterized_45	Dan	Drosophila ananassae	CPR	119.5	3.1e-35
Cfe_Unigene1649-RR2	Unigene1649-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	119.4	3.4e-35
Dwi_CPR_Uncharacterized_96	CPR_Uncharacterized_96	Dwi	Drosophila willistoni	CPR	119.1	4.2e-35
Dan_CPR_Uncharacterized_96	CPR_Uncharacterized_96	Dan	Drosophila ananassae	CPR	118.8	5.1e-35
Dme_Cpr62Bc	Cpr62Bc	Dme	Drosophila melanogaster	CPR RR-2	118.6	6e-35
Dan_CPR_Uncharacterized_88	CPR_Uncharacterized_88	Dan	Drosophila ananassae	CPR	118.5	6.1e-35
Dgr_CPR_Uncharacterized_60	CPR_Uncharacterized_60	Dgr	Drosophila grimshawi	CPR	118.0	8.7e-35
Dme_Cpr49Ae	Cpr49Ae	Dme	Drosophila melanogaster	CPR RR-1	117.7	1.1e-34
Dps_CPR_Uncharacterized_104	CPR_Uncharacterized_104	Dps	Drosophila pseudoobscura	CPR	117.5	1.3e-34
Dps_CPR_Uncharacterized_83	CPR_Uncharacterized_83	Dps	Drosophila pseudoobscura	CPR	117.2	1.5e-34
Dvi_CPR_Uncharacterized_98	CPR_Uncharacterized_98	Dvi	Drosophila virilis	CPR	117.2	1.5e-34
Dme_Cpr66Ca_iso2	Cpr66Ca_iso2	Dme	Drosophila melanogaster	CPR RR-2	117.1	1.7e-34
Foc_RR-2_10	RR-2_10	Foc	Frankliniella occidentalis	CPR RR-2	117.1	1.7e-34
Cfe_Unigene14114-RR1	Unigene14114-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	117.0	1.8e-34
Dan_CPR_Uncharacterized_29	CPR_Uncharacterized_29	Dan	Drosophila ananassae	CPR	116.9	1.9e-34
Cfe_CL1207.Contig1-RR1	CL1207.Contig1-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	116.8	2e-34
Bmo_CPR71	CPR71	Bmo	Bombyx mori	CPR RR-2	116.8	2e-34
Aga_CPR5	CPR5	Aga	Anopheles gambiae	CPR RR-2	116.8	2.1e-34
Dwi_CPR_Uncharacterized_26	CPR_Uncharacterized_26	Dwi	Drosophila willistoni	CPR	116.8	2.1e-34
Cfe_Unigene13195-RR2	Unigene13195-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	116.8	2.1e-34
Lmi_Abd-4	Abd-4	Lmi	Locusta migratoria	RR-1	116.7	2.2e-34
Aga_CPR6	CPR6	Aga	Anopheles gambiae	CPR RR-2	116.7	2.2e-34
Dme_Lcp65Ac	Lcp65Ac	Dme	Drosophila melanogaster	CPR RR-1	116.6	2.3e-34
Aga_CPR70	CPR70	Aga	Anopheles gambiae	CPR RR-2	116.6	2.4e-34
Nlu_Cpr59	Cpr59	Nlu	Nilaparvata lugens	CPR	116.6	2.4e-34
Aga_CPR2	CPR2	Aga	Anopheles gambiae	CPR RR-2	116.5	2.6e-34
Aga_CPR4	CPR4	Aga	Anopheles gambiae	CPR RR-2	116.5	2.6e-34
Bmo_CPR33	CPR33	Bmo	Bombyx mori	CPR RR-1	116.4	2.7e-34
Dgr_CPR_Uncharacterized_56	CPR_Uncharacterized_56	Dgr	Drosophila grimshawi	CPR	116.3	2.9e-34
Cfe_Unigene15996-RR2	Unigene15996-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	116.2	3.1e-34
Bmo_CPR52	CPR52	Bmo	Bombyx mori	CPR RR-1	116.1	3.4e-34
Dmo_CPR_Uncharacterized_98	CPR_Uncharacterized_98	Dmo	Drosophila mojavensis	CPR	116.0	3.5e-34
Dgr_CPR_Uncharacterized_12	CPR_Uncharacterized_12	Dgr	Drosophila grimshawi	CPR	116.0	3.6e-34
Cfe_CL1789.Contig1-RR2	CL1789.Contig1-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	116.0	3.7e-34
Dwi_CPR_Uncharacterized_128	CPR_Uncharacterized_128	Dwi	Drosophila willistoni	CPR	115.9	3.8e-34
Aga_CPR3	CPR3	Aga	Anopheles gambiae	CPR RR-2	115.8	4.1e-34
Dwi_CPR_Uncharacterized_23	CPR_Uncharacterized_23	Dwi	Drosophila willistoni	CPR	115.7	4.4e-34
Dwi_CPR_Uncharacterized_98	CPR_Uncharacterized_98	Dwi	Drosophila willistoni	CPR	115.7	4.6e-34
Cfe_Unigene11498-RR1	Unigene11498-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	115.4	5.4e-34
Aga_CPR1	CPR1	Aga	Anopheles gambiae	CPR RR-2	115.4	5.4e-34
Cfe_Unigene15742-RR1	Unigene15742-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	115.3	5.8e-34
Dwi_CPR_Uncharacterized_111	CPR_Uncharacterized_111	Dwi	Drosophila willistoni	CPR	115.2	6.2e-34
Dan_CPR_Uncharacterized_16	CPR_Uncharacterized_16	Dan	Drosophila ananassae	CPR	115.1	6.9e-34
Dan_CPR_Uncharacterized_102	CPR_Uncharacterized_102	Dan	Drosophila ananassae	CPR	115.1	7e-34
Dps_CPR_Uncharacterized_37	CPR_Uncharacterized_37	Dps	Drosophila pseudoobscura	CPR	115.1	7e-34
Foc_RR-2_14	RR-2_14	Foc	Frankliniella occidentalis	CPR RR-2	114.8	8.4e-34
Dan_CPR_Uncharacterized_13	CPR_Uncharacterized_13	Dan	Drosophila ananassae	CPR	114.7	8.9e-34
Aga_CPR131	CPR131	Aga	Anopheles gambiae	CPR RR-2	114.4	1.1e-33
Nlu_Cpr17	Cpr17	Nlu	Nilaparvata lugens	CPR	114.3	1.2e-33
Dme_Ccp84Ae	Ccp84Ae	Dme	Drosophila melanogaster	CPR RR-2	114.3	1.2e-33
Dmo_CPR_Uncharacterized_95	CPR_Uncharacterized_95	Dmo	Drosophila mojavensis	CPR	114.2	1.3e-33
Dan_CPR_Uncharacterized_64	CPR_Uncharacterized_64	Dan	Drosophila ananassae	CPR	114.2	1.3e-33
Bmo_CPR30	CPR30	Bmo	Bombyx mori	CPR RR-1	113.9	1.6e-33
Dan_CPR_Uncharacterized_46	CPR_Uncharacterized_46	Dan	Drosophila ananassae	CPR	113.9	1.6e-33
Aga_CPR110	CPR110	Aga	Anopheles gambiae	CPR RR-2	113.9	1.6e-33
Dme_Cpr47Ea	Cpr47Ea	Dme	Drosophila melanogaster	CPR RR-1	113.8	1.7e-33
Dvi_CPR_Uncharacterized_80	CPR_Uncharacterized_80	Dvi	Drosophila virilis	CPR	113.6	1.9e-33
Dvi_CPR_Uncharacterized_83	CPR_Uncharacterized_83	Dvi	Drosophila virilis	CPR	113.6	1.9e-33
Cfe_Unigene12686-RR1	Unigene12686-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	113.6	2e-33
Mme_CPR14	CPR14	Mme	Microplitis mediator	CPR RR-1	113.6	2e-33
Nlu_Cpr46	Cpr46	Nlu	Nilaparvata lugens	CPR	113.6	2e-33
Cfe_Unigene14282-RR2	Unigene14282-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	113.5	2.1e-33
Dwi_CPR_Uncharacterized_84	CPR_Uncharacterized_84	Dwi	Drosophila willistoni	CPR	113.5	2.1e-33
Dps_CPR_Uncharacterized_20	CPR_Uncharacterized_20	Dps	Drosophila pseudoobscura	CPR	113.5	2.2e-33
Bmo_CPR73	CPR73	Bmo	Bombyx mori	CPR RR-2	113.4	2.2e-33
Dan_CPR_Uncharacterized_34	CPR_Uncharacterized_34	Dan	Drosophila ananassae	CPR	113.1	2.9e-33
Dan_CPR_Uncharacterized_68	CPR_Uncharacterized_68	Dan	Drosophila ananassae	CPR	113.0	2.9e-33
Dmo_CPR_Uncharacterized_63	CPR_Uncharacterized_63	Dmo	Drosophila mojavensis	CPR	113.0	3.1e-33
Dan_CPR_Uncharacterized_84	CPR_Uncharacterized_84	Dan	Drosophila ananassae	CPR	113.0	3.1e-33
Nlu_Cpr57	Cpr57	Nlu	Nilaparvata lugens	CPR	112.9	3.1e-33
Dgr_CPR_Uncharacterized_20	CPR_Uncharacterized_20	Dgr	Drosophila grimshawi	CPR	112.9	3.3e-33
Dmo_CPR_Uncharacterized_59	CPR_Uncharacterized_59	Dmo	Drosophila mojavensis	CPR	112.7	3.7e-33
Dmo_CPR_Uncharacterized_60	CPR_Uncharacterized_60	Dmo	Drosophila mojavensis	CPR	112.6	3.9e-33
Dan_CPR_Uncharacterized_89	CPR_Uncharacterized_89	Dan	Drosophila ananassae	CPR	112.6	4e-33
Cfe_Unigene15232-RR1	Unigene15232-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	112.6	4e-33
Dmo_CPR_Uncharacterized_74	CPR_Uncharacterized_74	Dmo	Drosophila mojavensis	CPR	112.5	4.2e-33
Nlu_Cpr42	Cpr42	Nlu	Nilaparvata lugens	CPR	112.5	4.4e-33
Dgr_CPR_Uncharacterized_14	CPR_Uncharacterized_14	Dgr	Drosophila grimshawi	CPR	112.4	4.4e-33
Cfe_Unigene11999-RR1	Unigene11999-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	112.4	4.5e-33
Dps_CPR_Uncharacterized_42	CPR_Uncharacterized_42	Dps	Drosophila pseudoobscura	CPR	112.4	4.7e-33
Dan_CPR_Uncharacterized_105	CPR_Uncharacterized_105	Dan	Drosophila ananassae	CPR	112.3	5e-33
Dps_CPR_Uncharacterized_39	CPR_Uncharacterized_39	Dps	Drosophila pseudoobscura	CPR	112.3	5e-33
Dme_Cpr5C	Cpr5C	Dme	Drosophila melanogaster	CPR RR-2	112.2	5.3e-33
Dmo_CPR_Uncharacterized_118	CPR_Uncharacterized_118	Dmo	Drosophila mojavensis	CPR	112.2	5.3e-33
Dan_CPR_Uncharacterized_92	CPR_Uncharacterized_92	Dan	Drosophila ananassae	CPR	112.2	5.4e-33
Dvi_CPR_Uncharacterized_66	CPR_Uncharacterized_66	Dvi	Drosophila virilis	CPR	112.1	5.6e-33
Dvi_CPR_Uncharacterized_65	CPR_Uncharacterized_65	Dvi	Drosophila virilis	CPR	111.9	6.3e-33
Aga_CPR23	CPR23	Aga	Anopheles gambiae	CPR RR-1	111.9	6.4e-33
Dmo_CPR_Uncharacterized_62	CPR_Uncharacterized_62	Dmo	Drosophila mojavensis	CPR	111.9	6.6e-33
Dps_CPR_Uncharacterized_101	CPR_Uncharacterized_101	Dps	Drosophila pseudoobscura	CPR	111.8	6.9e-33
Dvi_CPR_Uncharacterized_47	CPR_Uncharacterized_47	Dvi	Drosophila virilis	CPR	111.8	7.2e-33
Dps_CPR_Uncharacterized_82	CPR_Uncharacterized_82	Dps	Drosophila pseudoobscura	CPR	111.6	8e-33
Dwi_CPR_Uncharacterized_18	CPR_Uncharacterized_18	Dwi	Drosophila willistoni	CPR	111.6	8.2e-33
Dvi_CPR_Uncharacterized_94	CPR_Uncharacterized_94	Dvi	Drosophila virilis	CPR	111.6	8.2e-33
Dwi_CPR_Uncharacterized_17	CPR_Uncharacterized_17	Dwi	Drosophila willistoni	CPR	111.4	9e-33
Dme_Ccp84Ag	Ccp84Ag	Dme	Drosophila melanogaster	CPR RR-2	111.3	9.8e-33
Tpa_Abd4-like	Abd4-like	Tpa	Thrips palmi	CPR RR-1	111.2	1.1e-32
Bmo_CPR150	CPR150	Bmo	Bombyx mori	CPR RR-2	111.1	1.2e-32
Dwi_CPR_Uncharacterized_88	CPR_Uncharacterized_88	Dwi	Drosophila willistoni	CPR	111.0	1.2e-32
Dps_CPR_Uncharacterized_88	CPR_Uncharacterized_88	Dps	Drosophila pseudoobscura	CPR	111.0	1.2e-32
Lmi_Abd-8	Abd-8	Lmi	Locusta migratoria	RR-1	111.0	1.2e-32
Dan_CPR_Uncharacterized_35	CPR_Uncharacterized_35	Dan	Drosophila ananassae	CPR	111.0	1.3e-32
Dmo_CPR_Uncharacterized_80	CPR_Uncharacterized_80	Dmo	Drosophila mojavensis	CPR	110.9	1.3e-32
Aga_CPR25	CPR25	Aga	Anopheles gambiae	CPR RR-1	110.9	1.3e-32
Dmo_CPR_Uncharacterized_92	CPR_Uncharacterized_92	Dmo	Drosophila mojavensis	CPR	110.7	1.5e-32
Lmi_Abd-1	Abd-1	Lmi	Locusta migratoria	CPR RR-1	110.7	1.6e-32
Cfe_Unigene12042-RR2	Unigene12042-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	110.7	1.6e-32
Dps_CPR_Uncharacterized_8	CPR_Uncharacterized_8	Dps	Drosophila pseudoobscura	CPR	110.7	1.6e-32
Dgr_CPR_Uncharacterized_39	CPR_Uncharacterized_39	Dgr	Drosophila grimshawi	CPR	110.6	1.6e-32
Dwi_CPR_Uncharacterized_112	CPR_Uncharacterized_112	Dwi	Drosophila willistoni	CPR	110.5	1.8e-32
Dwi_CPR_Uncharacterized_113	CPR_Uncharacterized_113	Dwi	Drosophila willistoni	CPR	110.5	1.8e-32
Dan_CPR_Uncharacterized_94	CPR_Uncharacterized_94	Dan	Drosophila ananassae	CPR	110.4	1.8e-32
Bmo_CPR83	CPR83	Bmo	Bombyx mori	CPR RR-2	110.4	1.8e-32
Dme_Cpr64Ab	Cpr64Ab	Dme	Drosophila melanogaster	CPR RR-2	110.4	1.9e-32
Dme_Ccp84Ad	Ccp84Ad	Dme	Drosophila melanogaster	CPR RR-2	110.4	1.9e-32
Nlu_Cpr10	Cpr10	Nlu	Nilaparvata lugens	CPR RR-1	110.4	1.9e-32
Bmo_CPR37	CPR37	Bmo	Bombyx mori	CPR RR-1	110.3	2e-32
Aga_CPR58	CPR58	Aga	Anopheles gambiae	CPR RR-2	110.3	2e-32
Bmo_CPR24	CPR24	Bmo	Bombyx mori	CPR RR-1	110.3	2e-32
Aga_CPR98	CPR98	Aga	Anopheles gambiae	CPR RR-2	110.2	2.1e-32
Dgr_CPR_Uncharacterized_59	CPR_Uncharacterized_59	Dgr	Drosophila grimshawi	CPR	110.2	2.1e-32
Dgr_CPR_Uncharacterized_10	CPR_Uncharacterized_10	Dgr	Drosophila grimshawi	CPR	110.2	2.1e-32
Bmo_CPR70	CPR70	Bmo	Bombyx mori	CPR RR-2	110.2	2.1e-32
Dan_CPR_Uncharacterized_104	CPR_Uncharacterized_104	Dan	Drosophila ananassae	CPR	110.2	2.2e-32
Dvi_CPR_Uncharacterized_62	CPR_Uncharacterized_62	Dvi	Drosophila virilis	CPR	110.1	2.3e-32
Aga_CPR14	CPR14	Aga	Anopheles gambiae	CPR RR-1	110.0	2.4e-32
Aga_CPR21	CPR21	Aga	Anopheles gambiae	CPR RR-1	110.0	2.4e-32
Dan_CPR_Uncharacterized_69	CPR_Uncharacterized_69	Dan	Drosophila ananassae	CPR	110.0	2.5e-32
Dgr_CPR_Uncharacterized_8	CPR_Uncharacterized_8	Dgr	Drosophila grimshawi	CPR	110.0	2.5e-32
Nlu_Cpr24	Cpr24	Nlu	Nilaparvata lugens	CPR RR-1	110.0	2.6e-32
Cfe_Unigene15710-RR2	Unigene15710-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	109.9	2.6e-32
Aga_CPR109	CPR109	Aga	Anopheles gambiae	CPR RR-2	109.9	2.6e-32
Isc_EEC11084.1	EEC11084.1	Isc	Ixodes scapularis	CPR RR-2	109.9	2.7e-32
Dan_CPR_Uncharacterized_99	CPR_Uncharacterized_99	Dan	Drosophila ananassae	CPR	109.8	2.8e-32
Bmo_CPR45	CPR45	Bmo	Bombyx mori	CPR RR-1	109.8	2.8e-32
Dvi_CPR_Uncharacterized_51	CPR_Uncharacterized_51	Dvi	Drosophila virilis	CPR	109.8	2.8e-32
Dan_CPR_Uncharacterized_98	CPR_Uncharacterized_98	Dan	Drosophila ananassae	CPR	109.7	3e-32
Aga_CPR123	CPR123	Aga	Anopheles gambiae	CPR RR-2	109.7	3.2e-32
Aga_CPR100	CPR100	Aga	Anopheles gambiae	CPR RR-2	109.6	3.3e-32
Dme_Ccp84Aa	Ccp84Aa	Dme	Drosophila melanogaster	CPR RR-2	109.5	3.5e-32
Dmo_CPR_Uncharacterized_56	CPR_Uncharacterized_56	Dmo	Drosophila mojavensis	CPR	109.5	3.5e-32
Dvi_CPR_Uncharacterized_89	CPR_Uncharacterized_89	Dvi	Drosophila virilis	CPR	109.5	3.5e-32
Dan_CPR_Uncharacterized_101	CPR_Uncharacterized_101	Dan	Drosophila ananassae	CPR	109.5	3.5e-32
Aga_CPR94	CPR94	Aga	Anopheles gambiae	CPR RR-2	109.5	3.6e-32
Bmo_CPR69	CPR69	Bmo	Bombyx mori	CPR RR-2	109.4	3.7e-32
Aga_CPR99	CPR99	Aga	Anopheles gambiae	CPR RR-2	109.4	3.8e-32
Foc_RR-2_7	RR-2_7	Foc	Frankliniella occidentalis	CPR RR-2	109.4	3.9e-32
Dps_CPR_Uncharacterized_77	CPR_Uncharacterized_77	Dps	Drosophila pseudoobscura	CPR	109.4	3.9e-32
Dme_Cpr64Aa	Cpr64Aa	Dme	Drosophila melanogaster	CPR RR-2	109.4	3.9e-32
Dps_CPR_Uncharacterized_91	CPR_Uncharacterized_91	Dps	Drosophila pseudoobscura	CPR	109.4	3.9e-32
Dgr_CPR_Uncharacterized_11	CPR_Uncharacterized_11	Dgr	Drosophila grimshawi	CPR	109.3	4e-32
Cfe_Unigene10568-RR1	Unigene10568-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	109.3	4e-32
Aga_CPR142	CPR142	Aga	Anopheles gambiae	CPR RR-2	109.3	4.1e-32
Dps_CPR_Uncharacterized_94	CPR_Uncharacterized_94	Dps	Drosophila pseudoobscura	CPR	109.2	4.5e-32
Nlu_Cpr27	Cpr27	Nlu	Nilaparvata lugens	CPR	109.1	4.7e-32
Bmo_CPR96	CPR96	Bmo	Bombyx mori	CPR RR-2	109.1	4.8e-32
Dme_Ccp84Ab	Ccp84Ab	Dme	Drosophila melanogaster	CPR RR-2	109.1	4.8e-32
Aga_CPR117	CPR117	Aga	Anopheles gambiae	CPR RR-2	108.8	5.7e-32
Nlu_Cpr49	Cpr49	Nlu	Nilaparvata lugens	CPR	108.8	5.8e-32
Aga_CPR95	CPR95	Aga	Anopheles gambiae	CPR RR-2	108.8	5.9e-32
Aga_CPR93	CPR93	Aga	Anopheles gambiae	CPR RR-2	108.7	6e-32
Dgr_CPR_Uncharacterized_13	CPR_Uncharacterized_13	Dgr	Drosophila grimshawi	CPR	108.7	6e-32
Dvi_CPR_Uncharacterized_63	CPR_Uncharacterized_63	Dvi	Drosophila virilis	CPR	108.7	6.1e-32
Dvi_CPR_Uncharacterized_112	CPR_Uncharacterized_112	Dvi	Drosophila virilis	CPR	108.6	6.7e-32
Bmo_CPR129	CPR129	Bmo	Bombyx mori	His-rich CPR RR-2	108.6	6.7e-32
Aga_CPR97	CPR97	Aga	Anopheles gambiae	CPR RR-2	108.6	6.8e-32
Aga_CPR59	CPR59	Aga	Anopheles gambiae	CPR RR-2	108.6	6.8e-32
Cfe_Unigene13228-RR2	Unigene13228-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	108.6	6.9e-32
Dme_EDG84A	EDG84A	Dme	Drosophila melanogaster	CPR RR-2	108.5	6.9e-32
Dwi_CPR_Uncharacterized_47	CPR_Uncharacterized_47	Dwi	Drosophila willistoni	CPR	108.5	7.1e-32
Dvi_CPR_Uncharacterized_79	CPR_Uncharacterized_79	Dvi	Drosophila virilis	CPR	108.5	7.2e-32
Dps_CPR_Uncharacterized_19	CPR_Uncharacterized_19	Dps	Drosophila pseudoobscura	CPR	108.5	7.3e-32
Dps_CPR_Uncharacterized_34	CPR_Uncharacterized_34	Dps	Drosophila pseudoobscura	CPR	108.3	8e-32
Nlu_Cpr39	Cpr39	Nlu	Nilaparvata lugens	CPR	108.3	8.1e-32
Aae_PC	PC	Aae	Aedes aegypti	CPR RR-2	108.3	8.1e-32
Dmo_CPR_Uncharacterized_73	CPR_Uncharacterized_73	Dmo	Drosophila mojavensis	CPR	108.3	8.2e-32
Aga_CPR96	CPR96	Aga	Anopheles gambiae	CPR RR-2	108.3	8.5e-32
Dps_CPR_Uncharacterized_61	CPR_Uncharacterized_61	Dps	Drosophila pseudoobscura	CPR	108.2	8.5e-32
Dvi_CPR_Uncharacterized_67	CPR_Uncharacterized_67	Dvi	Drosophila virilis	CPR	108.2	8.6e-32
Dps_CPR_Uncharacterized_36	CPR_Uncharacterized_36	Dps	Drosophila pseudoobscura	CPR	108.2	8.7e-32
Cfe_Unigene11944-RR1	Unigene11944-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	108.2	8.8e-32
Bmo_WCP5	WCP5	Bmo	Bombyx mori	CPR RR-2	108.2	8.8e-32
Dwi_CPR_Uncharacterized_115	CPR_Uncharacterized_115	Dwi	Drosophila willistoni	CPR	108.2	8.9e-32
Cfe_Unigene17528-RR2	Unigene17528-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	108.2	9.1e-32
Bmo_CPR34	CPR34	Bmo	Bombyx mori	CPR RR-1	108.1	9.3e-32
Bmo_CPR137	CPR137	Bmo	Bombyx mori	CPR RR-2	108.1	9.5e-32
Sex_CPG860	CPG860	Sex	Spodoptera exigua	CPR RR-2	108.1	9.8e-32
Nlu_Cpr70	Cpr70	Nlu	Nilaparvata lugens	CPR	108.0	1e-31
Dgr_CPR_Uncharacterized_7	CPR_Uncharacterized_7	Dgr	Drosophila grimshawi	CPR	108.0	1e-31
Dme_Cpr65Av	Cpr65Av	Dme	Drosophila melanogaster	CPR RR-1	108.0	1e-31
Bmo_CPR88	CPR88	Bmo	Bombyx mori	CPR RR-2	108.0	1e-31
Aga_CPR15	CPR15	Aga	Anopheles gambiae	CPR RR-1	108.0	1e-31
Dmo_CPR_Uncharacterized_58	CPR_Uncharacterized_58	Dmo	Drosophila mojavensis	CPR	108.0	1e-31
Foc_RR-1_16	RR-1_16	Foc	Frankliniella occidentalis	CPR RR-1	107.8	1.1e-31
Dmo_CPR_Uncharacterized_57	CPR_Uncharacterized_57	Dmo	Drosophila mojavensis	CPR	107.8	1.2e-31
Dvi_CPR_Uncharacterized_95	CPR_Uncharacterized_95	Dvi	Drosophila virilis	CPR	107.8	1.2e-31
Aga_CPR122	CPR122	Aga	Anopheles gambiae	CPR RR-2	107.7	1.2e-31
Bmo_CPR135	CPR135	Bmo	Bombyx mori	CPR RR-2	107.6	1.3e-31
Dmo_CPR_Uncharacterized_66	CPR_Uncharacterized_66	Dmo	Drosophila mojavensis	CPR	107.6	1.4e-31
Aga_CPR60	CPR60	Aga	Anopheles gambiae	CPR RR-1	107.5	1.4e-31
Dmo_CPR_Uncharacterized_110	CPR_Uncharacterized_110	Dmo	Drosophila mojavensis	CPR	107.5	1.4e-31
Dvi_CPR_Uncharacterized_77	CPR_Uncharacterized_77	Dvi	Drosophila virilis	CPR	107.5	1.4e-31
Cfe_Unigene13547-RR1	Unigene13547-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	107.5	1.5e-31
Sex_CPG4855	CPG4855	Sex	Spodoptera exigua	CPR RR-2	107.4	1.5e-31
Dvi_CPR_Uncharacterized_69	CPR_Uncharacterized_69	Dvi	Drosophila virilis	CPR	107.4	1.6e-31
Tca_CPR15	CPR15	Tca	Tribolium castaneum	CPR RR-2	107.4	1.6e-31
Dps_CPR_Uncharacterized_33	CPR_Uncharacterized_33	Dps	Drosophila pseudoobscura	CPR	107.3	1.7e-31
Dwi_CPR_Uncharacterized_4	CPR_Uncharacterized_4	Dwi	Drosophila willistoni	CPR	107.3	1.7e-31
Dan_CPR_Uncharacterized_100	CPR_Uncharacterized_100	Dan	Drosophila ananassae	CPR	107.2	1.7e-31
Dvi_CPR_Uncharacterized_54	CPR_Uncharacterized_54	Dvi	Drosophila virilis	CPR	107.2	1.7e-31
Bmo_CPR6	CPR6	Bmo	Bombyx mori	CPR RR-1	107.2	1.8e-31
Bta_CP83	CP83	Bta	Bemisia tabaci	CPR RR-2	107.2	1.8e-31
Dgr_CPR_Uncharacterized_40	CPR_Uncharacterized_40	Dgr	Drosophila grimshawi	CPR	107.2	1.8e-31
Dwi_CPR_Uncharacterized_116	CPR_Uncharacterized_116	Dwi	Drosophila willistoni	CPR	107.1	1.9e-31
Aga_CPR108	CPR108	Aga	Anopheles gambiae	CPR RR-2	107.1	1.9e-31
Aga_CPR84	CPR84	Aga	Anopheles gambiae	CPR RR-2	107.1	1.9e-31
Dvi_CPR_Uncharacterized_81	CPR_Uncharacterized_81	Dvi	Drosophila virilis	CPR	107.0	2e-31
Dme_Lcp65Ad	Lcp65Ad	Dme	Drosophila melanogaster	CPR RR-1	107.0	2e-31
