#                                                                          --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                   accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#           ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Foc_RR-1_2                      -          CPR_combined.aln     -            1.7e-71  238.1 112.4   2.6e-16   57.6   7.5   6.1   1   1   5   6   6   6   6 -
Dgr_CPR_Uncharacterized_60      -          CPR_combined.aln     -            8.7e-35  118.0  14.9   9.6e-35  117.9  14.9   1.0   1   0   0   1   1   1   1 -
Dme_Cpr49Ae                     -          CPR_combined.aln     -            1.1e-34  117.7   0.0   1.1e-34  117.7   0.0   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_104     -          CPR_combined.aln     -            1.3e-34  117.5   5.0   1.3e-34  117.4   5.0   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_83      -          CPR_combined.aln     -            1.5e-34  117.2   0.3   1.7e-34  117.1   0.3   1.0   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_98      -          CPR_combined.aln     -            1.5e-34  117.2  16.0   1.7e-34  117.1  16.0   1.0   1   0   0   1   1   1   1 -
Dme_Cpr66Ca_iso2                -          CPR_combined.aln     -            1.7e-34  117.1   6.5   1.8e-34  117.0   6.5   1.0   1   0   0   1   1   1   1 -
Foc_RR-2_10                     -          CPR_combined.aln     -            1.7e-34  117.1   6.6   1.8e-34  117.0   6.6   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene14114-RR1            -          CPR_combined.aln     -            1.8e-34  117.0   0.3     2e-34  116.9   0.3   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_29      -          CPR_combined.aln     -            1.9e-34  116.9   3.7     2e-34  116.8   3.7   1.0   1   0   0   1   1   1   1 -
Cfe_CL1207.Contig1-RR1          -          CPR_combined.aln     -              2e-34  116.8  13.2   4.8e-34  115.6  13.2   1.7   1   1   0   1   1   1   1 -
Bmo_CPR71                       -          CPR_combined.aln     -              2e-34  116.8  12.8   2.4e-34  116.6  12.8   1.1   1   0   0   1   1   1   1 -
Aga_CPR5                        -          CPR_combined.aln     -            2.1e-34  116.8  13.0   2.4e-34  116.6  13.0   1.1   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_26      -          CPR_combined.aln     -            2.1e-34  116.8   0.2   2.5e-34  116.6   0.2   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene13195-RR2            -          CPR_combined.aln     -            2.1e-34  116.8   4.6   2.4e-34  116.6   4.6   1.0   1   0   0   1   1   1   1 -
Lmi_Abd-4                       -          CPR_combined.aln     -            2.2e-34  116.7   0.8   2.3e-34  116.7   0.8   1.0   1   0   0   1   1   1   1 -
Aga_CPR6                        -          CPR_combined.aln     -            2.2e-34  116.7  13.2   2.4e-34  116.6  13.2   1.0   1   0   0   1   1   1   1 -
Dme_Lcp65Ac                     -          CPR_combined.aln     -            2.3e-34  116.6   0.3   2.6e-34  116.5   0.3   1.0   1   0   0   1   1   1   1 -
Aga_CPR70                       -          CPR_combined.aln     -            2.4e-34  116.6   8.3   2.6e-34  116.5   8.3   1.0   1   0   0   1   1   1   1 -
Nlu_Cpr59                       -          CPR_combined.aln     -            2.4e-34  116.6  12.4   2.6e-34  116.5  12.4   1.0   1   0   0   1   1   1   1 -
Aga_CPR2                        -          CPR_combined.aln     -            2.6e-34  116.5  12.9     3e-34  116.3  12.9   1.1   1   0   0   1   1   1   1 -
Aga_CPR4                        -          CPR_combined.aln     -            2.6e-34  116.5  12.9     3e-34  116.3  12.9   1.1   1   0   0   1   1   1   1 -
Bmo_CPR33                       -          CPR_combined.aln     -            2.7e-34  116.4   2.2   3.1e-34  116.2   2.2   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_56      -          CPR_combined.aln     -            2.9e-34  116.3   0.6     3e-34  116.3   0.6   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene15996-RR2            -          CPR_combined.aln     -            3.1e-34  116.2   7.9   3.3e-34  116.1   7.9   1.0   1   0   0   1   1   1   1 -
Bmo_CPR52                       -          CPR_combined.aln     -            3.4e-34  116.1   4.6   3.7e-34  116.0   4.6   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_98      -          CPR_combined.aln     -            3.5e-34  116.0  11.9   3.8e-34  115.9  11.9   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_12      -          CPR_combined.aln     -            3.6e-34  116.0   2.5   4.3e-34  115.8   2.5   1.1   1   0   0   1   1   1   1 -
Cfe_CL1789.Contig1-RR2          -          CPR_combined.aln     -            3.7e-34  116.0   5.7   4.4e-34  115.7   5.7   1.1   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_128     -          CPR_combined.aln     -            3.8e-34  115.9   0.1     4e-34  115.9   0.1   1.0   1   0   0   1   1   1   1 -
Aga_CPR3                        -          CPR_combined.aln     -            4.1e-34  115.8  13.1   4.6e-34  115.7  13.1   1.1   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_23      -          CPR_combined.aln     -            4.4e-34  115.7   0.2   4.6e-34  115.7   0.2   1.0   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_98      -          CPR_combined.aln     -            4.6e-34  115.7   8.5   5.3e-34  115.5   8.5   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene11498-RR1            -          CPR_combined.aln     -            5.4e-34  115.4   7.8   6.1e-34  115.3   7.8   1.0   1   0   0   1   1   1   1 -
Aga_CPR1                        -          CPR_combined.aln     -            5.4e-34  115.4   9.3   5.9e-34  115.3   9.3   1.1   1   0   0   1   1   1   1 -
Cfe_Unigene15742-RR1            -          CPR_combined.aln     -            5.8e-34  115.3   0.9   6.1e-34  115.3   0.9   1.0   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_111     -          CPR_combined.aln     -            6.2e-34  115.2   2.0   7.4e-34  115.0   2.0   1.1   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_16      -          CPR_combined.aln     -            6.9e-34  115.1   1.4   7.7e-34  114.9   1.4   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_102     -          CPR_combined.aln     -              7e-34  115.1   2.5   9.4e-34  114.7   2.5   1.2   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_37      -          CPR_combined.aln     -              7e-34  115.1   1.9     1e-33  114.5   1.9   1.3   1   0   0   1   1   1   1 -
Foc_RR-2_14                     -          CPR_combined.aln     -            8.4e-34  114.8  13.8   9.3e-34  114.7  13.8   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_13      -          CPR_combined.aln     -            8.9e-34  114.7   3.3   9.5e-34  114.6   3.3   1.0   1   0   0   1   1   1   1 -
Aga_CPR131                      -          CPR_combined.aln     -            1.1e-33  114.4   6.0   1.2e-33  114.3   6.0   1.0   1   0   0   1   1   1   1 -
Nlu_Cpr17                       -          CPR_combined.aln     -            1.2e-33  114.3   2.0   1.3e-33  114.2   2.0   1.0   1   0   0   1   1   1   1 -
Dme_Ccp84Ae                     -          CPR_combined.aln     -            1.2e-33  114.3   3.8   1.6e-33  113.9   3.8   1.2   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_95      -          CPR_combined.aln     -            1.3e-33  114.2   5.4   1.4e-33  114.1   5.4   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_64      -          CPR_combined.aln     -            1.3e-33  114.2   7.2   1.4e-33  114.1   7.2   1.0   1   0   0   1   1   1   1 -
Bmo_CPR30                       -          CPR_combined.aln     -            1.6e-33  113.9   0.4   1.8e-33  113.7   0.4   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_46      -          CPR_combined.aln     -            1.6e-33  113.9   5.0   1.7e-33  113.8   5.0   1.0   1   0   0   1   1   1   1 -
Aga_CPR110                      -          CPR_combined.aln     -            1.6e-33  113.9  16.1   1.7e-33  113.8  16.1   1.0   1   0   0   1   1   1   1 -
Dme_Cpr47Ea                     -          CPR_combined.aln     -            1.7e-33  113.8   1.3   1.9e-33  113.7   1.3   1.0   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_80      -          CPR_combined.aln     -            1.9e-33  113.6   0.7   2.1e-33  113.5   0.7   1.0   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_83      -          CPR_combined.aln     -            1.9e-33  113.6   0.7   2.1e-33  113.5   0.7   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene12686-RR1            -          CPR_combined.aln     -              2e-33  113.6   1.1   2.3e-33  113.4   1.1   1.0   1   0   0   1   1   1   1 -
Mme_CPR14                       -          CPR_combined.aln     -              2e-33  113.6   8.1   2.4e-33  113.3   8.1   1.1   1   0   0   1   1   1   1 -
Nlu_Cpr46                       -          CPR_combined.aln     -              2e-33  113.6  10.4   2.1e-33  113.5  10.4   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene14282-RR2            -          CPR_combined.aln     -            2.1e-33  113.5   1.2   2.5e-33  113.3   1.2   1.1   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_84      -          CPR_combined.aln     -            2.1e-33  113.5   5.3   2.3e-33  113.4   5.3   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_20      -          CPR_combined.aln     -            2.2e-33  113.5   9.5   2.5e-33  113.3   9.5   1.0   1   0   0   1   1   1   1 -
Bmo_CPR73                       -          CPR_combined.aln     -            2.2e-33  113.4   2.3   2.7e-33  113.1   2.3   1.1   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_34      -          CPR_combined.aln     -            2.9e-33  113.1   0.3     3e-33  113.0   0.3   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_68      -          CPR_combined.aln     -            2.9e-33  113.0   8.2   3.1e-33  113.0   8.2   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_63      -          CPR_combined.aln     -            3.1e-33  113.0  18.4   3.8e-33  112.7  18.4   1.1   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_84      -          CPR_combined.aln     -            3.1e-33  113.0   1.9   3.4e-33  112.8   1.9   1.0   1   0   0   1   1   1   1 -
Nlu_Cpr57                       -          CPR_combined.aln     -            3.1e-33  112.9   8.6   3.3e-33  112.9   8.6   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_20      -          CPR_combined.aln     -            3.3e-33  112.9   0.2   3.5e-33  112.8   0.2   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_59      -          CPR_combined.aln     -            3.7e-33  112.7  12.7   4.1e-33  112.6  12.7   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_60      -          CPR_combined.aln     -            3.9e-33  112.6  12.8   4.3e-33  112.5  12.8   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_89      -          CPR_combined.aln     -              4e-33  112.6   0.5   4.3e-33  112.5   0.5   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene15232-RR1            -          CPR_combined.aln     -              4e-33  112.6   0.0   4.1e-33  112.5   0.0   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_74      -          CPR_combined.aln     -            4.2e-33  112.5   8.4   4.5e-33  112.4   8.4   1.0   1   0   0   1   1   1   1 -
Nlu_Cpr42                       -          CPR_combined.aln     -            4.4e-33  112.5  21.3   4.9e-33  112.3  21.3   1.1   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_14      -          CPR_combined.aln     -            4.4e-33  112.4   6.9   4.8e-33  112.3   6.9   1.1   1   0   0   1   1   1   1 -
Cfe_Unigene11999-RR1            -          CPR_combined.aln     -            4.5e-33  112.4   0.2   4.7e-33  112.4   0.2   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_42      -          CPR_combined.aln     -            4.7e-33  112.4   5.9   5.4e-33  112.2   5.9   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_105     -          CPR_combined.aln     -              5e-33  112.3   2.3   5.9e-33  112.0   2.3   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_39      -          CPR_combined.aln     -              5e-33  112.3  11.3   5.8e-33  112.1  11.3   1.1   1   0   0   1   1   1   1 -
Dme_Cpr5C                       -          CPR_combined.aln     -            5.3e-33  112.2   5.8   5.7e-33  112.1   5.8   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_118     -          CPR_combined.aln     -            5.3e-33  112.2   5.5   5.6e-33  112.1   5.5   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_92      -          CPR_combined.aln     -            5.4e-33  112.2   0.0   6.1e-33  112.0   0.0   1.0   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_66      -          CPR_combined.aln     -            5.6e-33  112.1  12.5   6.1e-33  112.0  12.5   1.0   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_65      -          CPR_combined.aln     -            6.3e-33  111.9  16.2   6.9e-33  111.8  16.2   1.0   1   0   0   1   1   1   1 -
Aga_CPR23                       -          CPR_combined.aln     -            6.4e-33  111.9   1.6   7.4e-33  111.7   1.6   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_62      -          CPR_combined.aln     -            6.6e-33  111.9  17.5   7.2e-33  111.8  17.5   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_101     -          CPR_combined.aln     -            6.9e-33  111.8   2.2   7.4e-33  111.7   2.2   1.0   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_47      -          CPR_combined.aln     -            7.2e-33  111.8   6.6   7.5e-33  111.7   6.6   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_82      -          CPR_combined.aln     -              8e-33  111.6   0.7   8.7e-33  111.5   0.7   1.0   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_18      -          CPR_combined.aln     -            8.2e-33  111.6   2.9   8.9e-33  111.5   2.9   1.0   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_94      -          CPR_combined.aln     -            8.2e-33  111.6  11.1   8.8e-33  111.5  11.1   1.0   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_17      -          CPR_combined.aln     -              9e-33  111.4   2.0   9.8e-33  111.3   2.0   1.0   1   0   0   1   1   1   1 -
Dme_Ccp84Ag                     -          CPR_combined.aln     -            9.8e-33  111.3   7.9   1.1e-32  111.2   7.9   1.1   1   0   0   1   1   1   1 -
Tpa_Abd4-like                   -          CPR_combined.aln     -            1.1e-32  111.2   5.2   1.1e-32  111.1   5.2   1.0   1   0   0   1   1   1   1 -
Bmo_CPR150                      -          CPR_combined.aln     -            1.2e-32  111.1   6.6   1.5e-32  110.7   6.6   1.1   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_88      -          CPR_combined.aln     -            1.2e-32  111.0   9.2   1.3e-32  110.9   9.2   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_88      -          CPR_combined.aln     -            1.2e-32  111.0   0.2   1.3e-32  110.9   0.2   1.0   1   0   0   1   1   1   1 -
Lmi_Abd-8                       -          CPR_combined.aln     -            1.2e-32  111.0   4.0   1.4e-32  110.8   4.0   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_35      -          CPR_combined.aln     -            1.3e-32  111.0   0.6   1.4e-32  110.9   0.6   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_80      -          CPR_combined.aln     -            1.3e-32  110.9   1.3   1.4e-32  110.8   1.3   1.0   1   0   0   1   1   1   1 -
Aga_CPR25                       -          CPR_combined.aln     -            1.3e-32  110.9   0.9   1.5e-32  110.7   0.9   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_92      -          CPR_combined.aln     -            1.5e-32  110.7   0.1   1.6e-32  110.7   0.1   1.0   1   0   0   1   1   1   1 -
Lmi_Abd-1                       -          CPR_combined.aln     -            1.6e-32  110.7   3.5   1.8e-32  110.4   3.5   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene12042-RR2            -          CPR_combined.aln     -            1.6e-32  110.7  16.9   1.8e-32  110.4  16.9   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_8       -          CPR_combined.aln     -            1.6e-32  110.7   0.6   1.6e-32  110.6   0.6   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_39      -          CPR_combined.aln     -            1.6e-32  110.6  12.2   1.7e-32  110.5  12.2   1.0   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_112     -          CPR_combined.aln     -            1.8e-32  110.5  16.3     2e-32  110.3  16.3   1.0   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_113     -          CPR_combined.aln     -            1.8e-32  110.5  16.3     2e-32  110.3  16.3   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_94      -          CPR_combined.aln     -            1.8e-32  110.4   0.2     2e-32  110.3   0.2   1.0   1   0   0   1   1   1   1 -
Bmo_CPR83                       -          CPR_combined.aln     -            1.8e-32  110.4  18.9   2.4e-32  110.0  18.9   1.2   1   0   0   1   1   1   1 -
Dme_Cpr64Ab                     -          CPR_combined.aln     -            1.9e-32  110.4   0.1   2.1e-32  110.2   0.1   1.0   1   0   0   1   1   1   1 -
Dme_Ccp84Ad                     -          CPR_combined.aln     -            1.9e-32  110.4  16.2   2.1e-32  110.3  16.2   1.0   1   0   0   1   1   1   1 -
Nlu_Cpr10                       -          CPR_combined.aln     -            1.9e-32  110.4   3.7   2.2e-32  110.2   3.7   1.0   1   0   0   1   1   1   1 -
Bmo_CPR37                       -          CPR_combined.aln     -              2e-32  110.3   0.9   2.3e-32  110.1   0.9   1.0   1   0   0   1   1   1   1 -
Aga_CPR58                       -          CPR_combined.aln     -              2e-32  110.3  14.9   2.1e-32  110.2  14.9   1.0   1   0   0   1   1   1   1 -
Bmo_CPR24                       -          CPR_combined.aln     -              2e-32  110.3   2.6   2.1e-32  110.2   2.6   1.0   1   0   0   1   1   1   1 -
Aga_CPR98                       -          CPR_combined.aln     -            2.1e-32  110.2   6.9   2.4e-32  110.1   6.9   1.1   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_59      -          CPR_combined.aln     -            2.1e-32  110.2   6.3   2.2e-32  110.2   6.3   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_10      -          CPR_combined.aln     -            2.1e-32  110.2  17.0   2.3e-32  110.1  17.0   1.0   1   0   0   1   1   1   1 -
Bmo_CPR70                       -          CPR_combined.aln     -            2.1e-32  110.2   6.9   2.5e-32  110.0   6.9   1.1   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_104     -          CPR_combined.aln     -            2.2e-32  110.2   7.9   2.9e-32  109.8   7.9   1.2   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_62      -          CPR_combined.aln     -            2.3e-32  110.1  23.7   3.9e-32  109.4  23.7   1.3   1   0   0   1   1   1   1 -
Aga_CPR14                       -          CPR_combined.aln     -            2.4e-32  110.0   1.3   2.6e-32  110.0   1.3   1.0   1   0   0   1   1   1   1 -
Aga_CPR21                       -          CPR_combined.aln     -            2.4e-32  110.0   0.4   2.7e-32  109.9   0.4   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_69      -          CPR_combined.aln     -            2.5e-32  110.0   0.1   2.8e-32  109.8   0.1   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_8       -          CPR_combined.aln     -            2.5e-32  110.0  20.1   3.5e-32  109.5  20.1   1.2   1   0   0   1   1   1   1 -
Nlu_Cpr24                       -          CPR_combined.aln     -            2.6e-32  110.0   2.2   2.6e-32  109.9   2.2   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene15710-RR2            -          CPR_combined.aln     -            2.6e-32  109.9   5.2     3e-32  109.7   5.2   1.0   1   0   0   1   1   1   1 -
Aga_CPR109                      -          CPR_combined.aln     -            2.6e-32  109.9  14.7     3e-32  109.7  14.7   1.1   1   0   0   1   1   1   1 -
Isc_EEC11084.1                  -          CPR_combined.aln     -            2.7e-32  109.9  29.7   1.7e-11   41.9   9.3   3.2   2   1   1   3   3   3   3 -
Dan_CPR_Uncharacterized_99      -          CPR_combined.aln     -            2.8e-32  109.8  16.0   3.1e-32  109.7  16.0   1.0   1   0   0   1   1   1   1 -
Bmo_CPR45                       -          CPR_combined.aln     -            2.8e-32  109.8   8.8   3.1e-32  109.7   8.8   1.0   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_51      -          CPR_combined.aln     -            2.8e-32  109.8   1.1   1.9e-30  103.8   1.1   2.1   1   1   0   1   1   1   1 -
Dan_CPR_Uncharacterized_98      -          CPR_combined.aln     -              3e-32  109.7  17.0   3.3e-32  109.6  17.0   1.0   1   0   0   1   1   1   1 -
Aga_CPR123                      -          CPR_combined.aln     -            3.2e-32  109.7   9.7   3.6e-32  109.5   9.7   1.0   1   0   0   1   1   1   1 -
Aga_CPR100                      -          CPR_combined.aln     -            3.3e-32  109.6  14.9   3.6e-32  109.5  14.9   1.0   1   0   0   1   1   1   1 -
Dme_Ccp84Aa                     -          CPR_combined.aln     -            3.5e-32  109.5  16.7   4.2e-32  109.2  16.7   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_56      -          CPR_combined.aln     -            3.5e-32  109.5   7.2   3.8e-32  109.4   7.2   1.0   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_89      -          CPR_combined.aln     -            3.5e-32  109.5   1.9   3.8e-32  109.4   1.9   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_101     -          CPR_combined.aln     -            3.5e-32  109.5  15.2     4e-32  109.3  15.2   1.1   1   0   0   1   1   1   1 -
Aga_CPR94                       -          CPR_combined.aln     -            3.6e-32  109.5  15.1     4e-32  109.3  15.1   1.1   1   0   0   1   1   1   1 -
