protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue	CPR_confident	RR1_score	RR2_score	delta_RR1_minus_RR2	RR_classifier_prediction	RR_classifier_status	final_prediction	final_status
Aga_CPR125	CPR125	Aga	Anopheles gambiae	CPR RR-1	40.4	4.6e-11	yes	91.2	21.5	69.7	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR126	CPR126	Aga	Anopheles gambiae	CPR RR-1	57.3	3.1e-16	yes	62.0	20.5	41.5	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR127	CPR127	Aga	Anopheles gambiae	CPR RR-1	67.5	2.4e-19	yes	82.1	16.5	65.6	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR129	CPR129	Aga	Anopheles gambiae	CPR RR-1	71.0	2e-20	yes	89.3	26.0	63.3	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR13	CPR13	Aga	Anopheles gambiae	CPR RR-1	101.3	1.2e-29	yes	151.8	32.6	119.2	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR131	CPR131	Aga	Anopheles gambiae	CPR RR-2	114.4	1.1e-33	yes	57.6	140.0	-82.4	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR132	CPR132	Aga	Anopheles gambiae	CPR RR-2	88.6	8.9e-26	yes	18.1	89.0	-70.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR133	CPR133	Aga	Anopheles gambiae	CPR RR-1	84.0	2.2e-24	yes	121.2	25.0	96.2	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR135	CPR135	Aga	Anopheles gambiae	CPR RR-2	46.5	6.2e-13	yes	30.6	85.5	-54.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR137	CPR137	Aga	Anopheles gambiae	CPR RR-1	43.2	6.6e-12	yes	76.6	22.5	54.1	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR139	CPR139	Aga	Anopheles gambiae	CPR RR-2	51.3	2.2e-14	yes	34.8	67.7	-32.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR14	CPR14	Aga	Anopheles gambiae	CPR RR-1	110.0	2.4e-32	yes	143.1	30.4	112.7	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR140	CPR140	Aga	Anopheles gambiae	CPR RR-2	75.9	6.4e-22	yes	0.0	28.6	-28.6	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR142	CPR142	Aga	Anopheles gambiae	CPR RR-2	109.3	4.1e-32	yes	42.7	125.7	-83.0	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR143	CPR143	Aga	Anopheles gambiae	CPR RR-2	40.8	3.5e-11	yes	34.0	70.7	-36.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR146	CPR146	Aga	Anopheles gambiae	CPR RR-2	67.4	2.6e-19	yes	33.8	102.6	-68.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR147	CPR147	Aga	Anopheles gambiae	CPR RR-2	61.3	2e-17	yes	27.4	90.1	-62.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR148	CPR148	Aga	Anopheles gambiae	CPR RR-2	70.8	2.4e-20	yes	34.7	107.5	-72.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR149	CPR149	Aga	Anopheles gambiae	CPR RR-2	68.6	1.1e-19	yes	33.0	104.1	-71.1	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR15	CPR15	Aga	Anopheles gambiae	CPR RR-1	108.0	1e-31	yes	153.3	37.0	116.3	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR150	CPR150	Aga	Anopheles gambiae	CPR RR-2	98.8	6.4e-29	yes	37.0	126.7	-89.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR155	CPR155	Aga	Anopheles gambiae	CPR RR-2	60.5	3.4e-17	yes	26.8	82.1	-55.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR156	CPR156	Aga	Anopheles gambiae	CPR RR-2	69.0	8.4e-20	yes	30.7	101.0	-70.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR16	CPR16	Aga	Anopheles gambiae	CPR RR-1	98.6	7.4e-29	yes	148.3	23.1	125.2	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR2	CPR2	Aga	Anopheles gambiae	CPR RR-2	116.5	2.6e-34	yes	53.0	137.3	-84.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR21	CPR21	Aga	Anopheles gambiae	CPR RR-1	110.0	2.4e-32	yes	144.6	39.5	105.1	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR22	CPR22	Aga	Anopheles gambiae	CPR RR-1	91.6	1e-26	yes	121.2	35.1	86.1	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR23	CPR23	Aga	Anopheles gambiae	CPR RR-1	111.9	6.4e-33	yes	142.1	41.7	100.4	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR24	CPR24	Aga	Anopheles gambiae	CPR RR-1	105.9	4.5e-31	yes	128.7	37.9	90.8	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR25	CPR25	Aga	Anopheles gambiae	CPR RR-1	110.9	1.3e-32	yes	138.1	35.8	102.3	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR26	CPR26	Aga	Anopheles gambiae	CPR RR-1	98.5	8.4e-29	yes	130.3	34.8	95.5	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR27	CPR27	Aga	Anopheles gambiae	CPR RR-1	71.1	1.9e-20	yes	90.6	32.9	57.7	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR28	CPR28	Aga	Anopheles gambiae	CPR RR-1	76.6	4e-22	yes	97.1	34.2	62.9	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR29	CPR29	Aga	Anopheles gambiae	CPR RR-1	72.7	6.5e-21	yes	90.0	32.9	57.1	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR3	CPR3	Aga	Anopheles gambiae	CPR RR-2	115.8	4.1e-34	yes	52.7	137.6	-84.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR30	CPR30	Aga	Anopheles gambiae	CPR RR-1	87.3	2.2e-25	yes	119.6	36.7	82.9	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR31	CPR31	Aga	Anopheles gambiae	CPR RR-1	82.5	6.4e-24	yes	109.0	35.1	73.9	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR32	CPR32	Aga	Anopheles gambiae	CPR RR-1	101.3	1.2e-29	yes	146.7	34.5	112.2	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR33	CPR33	Aga	Anopheles gambiae	CPR RR-1	96.3	4e-28	yes	147.0	32.5	114.5	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR4	CPR4	Aga	Anopheles gambiae	CPR RR-2	116.5	2.6e-34	yes	53.0	137.3	-84.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR5	CPR5	Aga	Anopheles gambiae	CPR RR-2	116.8	2.1e-34	yes	52.4	136.8	-84.4	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR58	CPR58	Aga	Anopheles gambiae	CPR RR-2	110.3	2e-32	yes	41.1	135.2	-94.1	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR59	CPR59	Aga	Anopheles gambiae	CPR RR-2	108.6	6.8e-32	yes	38.3	124.4	-86.1	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR6	CPR6	Aga	Anopheles gambiae	CPR RR-2	116.7	2.2e-34	yes	53.5	149.8	-96.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR61	CPR61	Aga	Anopheles gambiae	CPR RR-1	76.6	4e-22	yes	119.3	23.4	95.9	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR62	CPR62	Aga	Anopheles gambiae	CPR RR-1	94.0	2e-27	yes	136.2	39.3	96.9	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR7	CPR7	Aga	Anopheles gambiae	CPR RR-1	80.8	2.1e-23	yes	92.8	36.6	56.2	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR70	CPR70	Aga	Anopheles gambiae	CPR RR-2	116.6	2.4e-34	yes	52.7	144.1	-91.4	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR71	CPR71	Aga	Anopheles gambiae	CPR RR-2	63.1	5.4e-18	yes	30.6	99.8	-69.2	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR72	CPR72	Aga	Anopheles gambiae	CPR RR-2	100.1	2.7e-29	yes	30.9	131.8	-100.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR73	CPR73	Aga	Anopheles gambiae	CPR RR-1	90.0	3.3e-26	yes	131.6	31.9	99.7	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR74	CPR74	Aga	Anopheles gambiae	CPR RR-1	90.5	2.3e-26	yes	122.6	23.6	99.0	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR75	CPR75	Aga	Anopheles gambiae	CPR RR-1	119.9	2.4e-35	yes	158.7	34.6	124.1	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR76	CPR76	Aga	Anopheles gambiae	CPR RR-1	67.6	2.3e-19	yes	115.1	18.4	96.7	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR77	CPR77	Aga	Anopheles gambiae	CPR RR-1	127.6	1.1e-37	yes	166.3	37.8	128.5	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR78	CPR78	Aga	Anopheles gambiae	CPR RR-1	133.1	2.2e-39	yes	177.8	35.5	142.3	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR79	CPR79	Aga	Anopheles gambiae	CPR RR-1	73.9	2.6e-21	yes	148.8	40.5	108.3	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR8	CPR8	Aga	Anopheles gambiae	CPR RR-1	86.3	4.5e-25	yes	103.4	48.4	55.0	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR80	CPR80	Aga	Anopheles gambiae	CPR RR-1	88.0	1.3e-25	yes	134.9	23.7	111.2	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR81	CPR81	Aga	Anopheles gambiae	CPR RR-1	104.1	1.6e-30	yes	140.4	42.7	97.7	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR82	CPR82	Aga	Anopheles gambiae	CPR RR-2	102.7	4.4e-30	yes	38.5	138.2	-99.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR83	CPR83	Aga	Anopheles gambiae	CPR RR-2	106.4	3.2e-31	yes	39.9	130.5	-90.6	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR84	CPR84	Aga	Anopheles gambiae	CPR RR-2	107.1	1.9e-31	yes	41.2	129.2	-88.0	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR85	CPR85	Aga	Anopheles gambiae	CPR RR-2	90.7	2e-26	yes	32.8	112.0	-79.2	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR86	CPR86	Aga	Anopheles gambiae	CPR RR-2	68.6	1.1e-19	yes	32.5	105.0	-72.5	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR87	CPR87	Aga	Anopheles gambiae	CPR RR-2	70.1	3.9e-20	yes	33.7	106.8	-73.1	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR88	CPR88	Aga	Anopheles gambiae	CPR RR-2	78.9	8e-23	yes	39.6	108.1	-68.5	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR89	CPR89	Aga	Anopheles gambiae	CPR RR-2	68.8	9.8e-20	yes	32.5	105.3	-72.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR90	CPR90	Aga	Anopheles gambiae	CPR RR-2	70.1	4e-20	yes	32.7	106.7	-74.0	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR91	CPR91	Aga	Anopheles gambiae	CPR RR-2	69.4	6.2e-20	yes	33.1	104.9	-71.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR92	CPR92	Aga	Anopheles gambiae	CPR RR-2	106.0	4.1e-31	yes	42.7	138.1	-95.4	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR93	CPR93	Aga	Anopheles gambiae	CPR RR-2	108.7	6e-32	yes	42.6	125.2	-82.6	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR94	CPR94	Aga	Anopheles gambiae	CPR RR-2	109.5	3.6e-32	yes	42.9	125.6	-82.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR95	CPR95	Aga	Anopheles gambiae	CPR RR-2	108.8	5.9e-32	yes	42.5	124.4	-81.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR96	CPR96	Aga	Anopheles gambiae	CPR RR-2	108.3	8.5e-32	yes	42.7	142.3	-99.6	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR97	CPR97	Aga	Anopheles gambiae	CPR RR-2	108.6	6.8e-32	yes	42.1	123.0	-80.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR98	CPR98	Aga	Anopheles gambiae	CPR RR-2	110.2	2.1e-32	yes	29.7	125.5	-95.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR99	CPR99	Aga	Anopheles gambiae	CPR RR-2	109.4	3.8e-32	yes	42.8	126.6	-83.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Ago_SgAbd2-like	SgAbd2-like	Ago	Aphis gossypii	CPR RR-1	56.4	6.2e-16	yes	127.8	29.1	98.7	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Ame_CPR14	CPR14	Ame	Apis mellifera	CPR RR-1	93.4	3e-27	yes	147.7	21.6	126.1	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Api_CP62	CP62	Api	Acyrthosiphon pisum	CPR RR-2	54.2	2.8e-15	yes	21.0	105.4	-84.4	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Api_CP7	CP7	Api	Acyrthosiphon pisum	CPR RR-2	92.5	5.5e-27	yes	31.8	122.3	-90.5	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Api_Stylin-01	Stylin-01	Api	Acyrthosiphon pisum	CPR RR-1	85.3	9e-25	yes	136.8	13.2	123.6	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Bmo_ASSCP1	ASSCP1	Bmo	Bombyx mori	CPR RR-2	78.5	1e-22	yes	28.8	70.1	-41.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_ASSCP2	ASSCP2	Bmo	Bombyx mori	CPR RR-2	60.6	3.1e-17	yes	34.6	116.1	-81.5	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR1	CPR1	Bmo	Bombyx mori	CPR RR-1	71.5	1.5e-20	yes	96.4	39.8	56.6	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Bmo_CPR100	CPR100	Bmo	Bombyx mori	CPR RR-2	93.5	2.7e-27	yes	46.5	127.4	-80.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR101	CPR101	Bmo	Bombyx mori	CPR RR-2	65.3	1.2e-18	yes	29.7	108.4	-78.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR102	CPR102	Bmo	Bombyx mori	CPR RR-2	66.1	6.6e-19	yes	27.9	109.4	-81.5	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR103	CPR103	Bmo	Bombyx mori	CPR RR-2	66.1	6.5e-19	yes	29.1	108.9	-79.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR104	CPR104	Bmo	Bombyx mori	CPR RR-2	66.7	4.3e-19	yes	29.0	107.5	-78.5	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR105	CPR105	Bmo	Bombyx mori	CPR RR-2	64.7	1.8e-18	yes	26.0	108.2	-82.2	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR106	CPR106	Bmo	Bombyx mori	CPR RR-2	88.1	1.2e-25	yes	38.1	126.4	-88.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR107	CPR107	Bmo	Bombyx mori	CPR RR-2	93.0	3.8e-27	yes	31.0	119.0	-88.0	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR108	CPR108	Bmo	Bombyx mori	CPR RR-2	83.7	2.6e-24	yes	31.5	119.7	-88.2	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR109	CPR109	Bmo	Bombyx mori	CPR RR-2	94.6	1.3e-27	yes	30.9	136.4	-105.5	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR11	CPR11	Bmo	Bombyx mori	CPR RR-1	89.3	5.2e-26	yes	126.6	19.8	106.8	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Bmo_CPR110	CPR110	Bmo	Bombyx mori	CPR RR-2	82.2	8.1e-24	yes	28.2	115.5	-87.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR111	CPR111	Bmo	Bombyx mori	CPR RR-2	80.3	3e-23	yes	32.8	107.1	-74.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR112	CPR112	Bmo	Bombyx mori	CPR RR-2	86.0	5.4e-25	yes	21.9	119.6	-97.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR113	CPR113	Bmo	Bombyx mori	CPR RR-2	84.2	1.9e-24	yes	26.1	113.0	-86.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR114	CPR114	Bmo	Bombyx mori	CPR RR-2	92.0	8e-27	yes	29.2	130.1	-100.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR115	CPR115	Bmo	Bombyx mori	CPR RR-2	93.5	2.8e-27	yes	34.9	130.7	-95.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR116	CPR116	Bmo	Bombyx mori	CPR RR-2	90.6	2e-26	yes	29.5	129.2	-99.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR117	CPR117	Bmo	Bombyx mori	CPR RR-2	93.5	2.8e-27	yes	34.9	130.7	-95.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR118	CPR118	Bmo	Bombyx mori	CPR RR-2	89.0	6.6e-26	yes	27.5	128.3	-100.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR119	CPR119	Bmo	Bombyx mori	CPR RR-2	89.9	3.4e-26	yes	35.0	130.1	-95.1	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR12	CPR12	Bmo	Bombyx mori	CPR RR-1	84.1	2.1e-24	yes	117.7	0.0	117.7	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Bmo_CPR120	CPR120	Bmo	Bombyx mori	CPR RR-2	84.3	1.7e-24	yes	36.1	105.6	-69.5	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR121	CPR121	Bmo	Bombyx mori	CPR RR-2	98.1	1.1e-28	yes	34.2	134.8	-100.6	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR122	CPR122	Bmo	Bombyx mori	CPR RR-2	77.9	1.6e-22	yes	26.1	94.2	-68.1	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Bmo_CPR123	CPR123	Bmo	Bombyx mori	CPR RR-2	61.0	2.4e-17	yes	0.0	95.4	-95.4	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
