protein_id	protein_name	species_code	species_name	current_family	CPLCP_score	CPLCP_evalue	CPLCP_confident	classifier_prediction	confidence	status	feature_validation	length	CPLCP_feature_score	CPLCP_feature_class	proline_percent	valine_percent	tyrosine_percent	lysine_percent	histidine_percent	glycine_percent	acidic_polar_percent_Nterm80	histidine_percent_Cterm80	PV_count	PY_count	GLWD_or_GLWE_count	H_cluster_3_in_20_count	GYH_rich_short_count	weird_characters
Aga_CPLCP19	CPLCP19	Aga	Anopheles gambiae	CPLCP	235.1	1.4e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	10.8	23.8	8.6	13.5	5.4	3.8	32.5	7.5	13	5	1	1	0	
Aga_CPLCP2	CPLCP2	Aga	Anopheles gambiae	CPLCP	144.1	8.6e-43	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	688	5	strong_CPLCP_feature_support	9.6	11.3	5.5	9.7	5.8	6.1	27.5	2.5	23	14	0	3	1	
Aga_CPLCP20	CPLCP20	Aga	Anopheles gambiae	CPLCP	227.4	2.9e-68	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	6	strong_CPLCP_feature_support	11.9	22.2	9.7	13.5	3.8	3.8	33.8	5.0	14	5	1	0	0	
Aga_CPLCP21	CPLCP21	Aga	Anopheles gambiae	CPLCP	238.5	1.2e-71	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	10.8	22.2	8.6	14.1	5.4	3.2	32.5	7.5	13	5	1	1	0	
Aga_CPLCP22	CPLCP22	Aga	Anopheles gambiae	CPLCP	232.8	6.7e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	10.8	24.3	8.6	13.5	5.4	3.8	32.5	7.5	13	5	1	1	0	
Aga_CPLCP23	CPLCP23	Aga	Anopheles gambiae	CPLCP	235.1	1.4e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	10.8	23.8	8.6	13.5	5.4	3.8	32.5	7.5	13	5	1	1	0	
Aga_CPLCP24	CPLCP24	Aga	Anopheles gambiae	CPLCP	185.8	1.6e-55	yes	CPLCP	high	confirmed	moderate_CPLCP_feature_support	224	4	moderate_CPLCP_feature_support	11.2	18.8	10.3	10.7	5.4	2.7	45.0	2.5	10	5	0	0	0	
Aga_CPLCP25	CPLCP25	Aga	Anopheles gambiae	CPLCP	209.3	1e-62	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	176	7	strong_CPLCP_feature_support	10.8	22.7	9.7	14.8	4.5	2.8	25.0	7.5	13	5	1	1	0	
Aga_CPLCP26	CPLCP26	Aga	Anopheles gambiae	CPLCP	188.6	2.1e-56	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	182	7	strong_CPLCP_feature_support	12.1	22.5	8.2	13.2	4.9	3.3	27.5	6.2	13	6	1	1	0	
Aga_CPLCP27	CPLCP27	Aga	Anopheles gambiae	CPLCP	178.7	2.3e-53	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	176	5	strong_CPLCP_feature_support	10.8	24.4	10.2	10.2	4.5	4.5	28.8	6.2	13	4	0	0	0	
Aga_CPLCP28	CPLCP28	Aga	Anopheles gambiae	CPLCP	184.4	4.1e-55	yes	CPLCP	high	confirmed	moderate_CPLCP_feature_support	235	4	moderate_CPLCP_feature_support	19.1	17.0	5.1	6.4	5.1	5.5	23.8	3.8	20	8	0	2	0	
Aga_CPLCP3	CPLCP3	Aga	Anopheles gambiae	CPLCP	172.5	1.8e-51	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	346	6	strong_CPLCP_feature_support	15.3	22.0	9.0	15.0	6.6	1.4	32.5	12.5	16	26	0	3	0	
Aga_CPLCP4	CPLCP4	Aga	Anopheles gambiae	CPLCP	138.4	4.7e-41	yes	CPLCP	high	confirmed	moderate_CPLCP_feature_support	209	4	moderate_CPLCP_feature_support	13.9	15.8	2.9	10.5	3.8	2.9	26.2	2.5	10	4	0	0	0	
Aga_CPLCP5	CPLCP5	Aga	Anopheles gambiae	CPLCP	144.4	6.7e-43	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	271	5	strong_CPLCP_feature_support	8.5	11.4	4.8	6.6	6.6	5.5	25.0	3.8	9	3	0	2	1	
Aga_CPLCP6	CPLCP6	Aga	Anopheles gambiae	CPLCP	162.9	1.5e-48	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	165	5	strong_CPLCP_feature_support	14.5	26.1	5.5	15.2	7.9	0.6	23.8	8.8	17	5	0	2	0	
Aga_CPLCP7	CPLCP7	Aga	Anopheles gambiae	CPLCP	148.0	5.3e-44	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	368	6	strong_CPLCP_feature_support	8.4	15.2	5.4	10.3	9.8	3.5	28.8	8.8	14	6	0	5	0	
Aga_CPLCP8	CPLCP8	Aga	Anopheles gambiae	CPLCP	195.2	2.1e-58	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	193	7	strong_CPLCP_feature_support	11.4	22.8	5.7	13.0	8.8	4.1	26.2	12.5	13	5	1	2	0	
Aga_CPLCP9	CPLCP9	Aga	Anopheles gambiae	CPLCP	179.9	1e-53	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	491	6	strong_CPLCP_feature_support	11.0	15.9	9.0	10.8	8.1	0.6	40.0	20.0	19	19	0	7	0	
Bge_CPLCP1	CPLCP1	Bge	Blattella germanica	CPLCP	127.2	1.2e-37	yes	CPLCP	high	confirmed	moderate_CPLCP_feature_support	332	4	moderate_CPLCP_feature_support	22.3	17.8	6.0	4.2	1.2	4.5	40.0	1.2	32	10	0	0	0	
Cfe_CL3437.Contig1-CPLCP	CL3437.Contig1-CPLCP	Cfe	Cryptolestes ferrugineus	CPLCP	158.0	4.7e-47	yes	CPLCP	high	confirmed	moderate_CPLCP_feature_support	498	4	moderate_CPLCP_feature_support	7.0	13.3	2.8	4.4	3.0	19.5	28.8	2.5	19	5	0	2	0	
Cfe_CL4305.Contig1-CPLCP	CL4305.Contig1-CPLCP	Cfe	Cryptolestes ferrugineus	CPLCP	183.1	1.1e-54	yes	CPLCP	high	confirmed	weak_CPLCP_feature_support	312	2	weak_CPLCP_feature_support	10.3	13.8	3.2	1.3	1.9	22.4	23.8	2.5	18	0	0	0	0	
Cfe_CL4803.Contig1-CPLCP	CL4803.Contig1-CPLCP	Cfe	Cryptolestes ferrugineus	CPLCP	168.9	2.3e-50	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	614	5	strong_CPLCP_feature_support	5.9	10.7	2.3	5.7	2.6	16.4	32.5	5.0	17	5	0	1	0	
Cfe_Unigene14806-CPLCP	Unigene14806-CPLCP	Cfe	Cryptolestes ferrugineus	CPLCP	218.4	1.6e-65	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	393	5	strong_CPLCP_feature_support	15.0	19.6	7.1	12.2	5.3	12.2	22.5	11.2	27	22	0	2	4	
Cfe_Unigene15156-CPLCP	Unigene15156-CPLCP	Cfe	Cryptolestes ferrugineus	CPLCP	249.1	6.9e-75	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	444	5	strong_CPLCP_feature_support	14.9	17.1	5.4	10.8	9.0	15.5	21.2	17.5	39	19	0	3	6	
Foc_CPLCP1	CPLCP1	Foc	Frankliniella occidentalis	CPLCP	184.6	3.6e-55	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	334	6	strong_CPLCP_feature_support	16.2	19.8	6.3	10.5	8.4	4.2	32.5	13.8	26	16	0	3	1	
Foc_CPLCP10	CPLCP10	Foc	Frankliniella occidentalis	CPLCP	187.8	3.7e-56	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	271	6	strong_CPLCP_feature_support	8.9	13.3	8.5	7.0	10.3	10.3	27.5	21.2	12	8	0	5	1	
Foc_CPLCP11	CPLCP11	Foc	Frankliniella occidentalis	CPLCP	320.4	1.2e-96	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	655	6	strong_CPLCP_feature_support	15.3	12.1	5.3	5.2	4.9	7.0	30.0	6.2	27	17	0	2	0	
Foc_CPLCP12	CPLCP12	Foc	Frankliniella occidentalis	CPLCP	181.3	3.6e-54	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	241	5	strong_CPLCP_feature_support	14.9	23.7	2.5	5.0	6.2	9.5	21.2	8.8	24	5	0	2	0	
Foc_CPLCP13	CPLCP13	Foc	Frankliniella occidentalis	CPLCP	276.3	3.4e-83	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	765	5	strong_CPLCP_feature_support	14.5	13.2	4.3	2.9	11.2	6.3	20.0	28.8	49	6	0	10	2	
Foc_CPLCP14	CPLCP14	Foc	Frankliniella occidentalis	CPLCP	151.8	3.9e-45	yes	CPLCP	high	confirmed	moderate_CPLCP_feature_support	478	4	moderate_CPLCP_feature_support	6.9	8.4	6.7	3.3	2.7	17.4	33.8	0.0	14	8	0	2	0	
Foc_CPLCP15	CPLCP15	Foc	Frankliniella occidentalis	CPLCP	172.7	1.6e-51	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	268	6	strong_CPLCP_feature_support	16.0	15.3	6.3	3.4	3.4	6.7	26.2	6.2	20	8	0	1	0	
Foc_CPLCP16	CPLCP16	Foc	Frankliniella occidentalis	CPLCP	163.2	1.2e-48	yes	CPLCP	high	confirmed	moderate_CPLCP_feature_support	437	4	moderate_CPLCP_feature_support	7.3	8.9	6.9	3.7	2.7	15.8	36.2	0.0	14	8	0	1	0	
Foc_CPLCP2	CPLCP2	Foc	Frankliniella occidentalis	CPLCP	214.8	2.1e-64	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	286	6	strong_CPLCP_feature_support	16.8	22.7	8.0	10.1	9.1	4.9	28.8	10.0	28	15	0	3	3	
Foc_CPLCP3	CPLCP3	Foc	Frankliniella occidentalis	CPLCP	194.8	2.7e-58	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	294	5	strong_CPLCP_feature_support	13.3	17.0	5.8	4.8	7.1	15.3	21.2	8.8	18	9	0	2	0	
Foc_CPLCP4	CPLCP4	Foc	Frankliniella occidentalis	CPLCP	176.9	7.9e-53	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	448	6	strong_CPLCP_feature_support	11.8	10.7	6.9	2.7	9.6	9.2	30.0	7.5	21	2	0	5	1	
Foc_CPLCP5	CPLCP5	Foc	Frankliniella occidentalis	CPLCP	219.3	9.2e-66	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	209	6	strong_CPLCP_feature_support	12.9	14.8	10.0	8.6	9.6	7.7	25.0	13.8	11	9	0	3	1	
Foc_CPLCP6	CPLCP6	Foc	Frankliniella occidentalis	CPLCP	157.0	9.5e-47	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	240	6	strong_CPLCP_feature_support	14.2	20.0	2.9	5.0	12.5	5.8	30.0	11.2	20	3	0	4	0	
Foc_CPLCP7	CPLCP7	Foc	Frankliniella occidentalis	CPLCP	119.0	3.9e-35	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	425	5	strong_CPLCP_feature_support	14.8	12.9	4.2	3.1	8.2	8.2	15.0	8.8	19	6	0	6	1	
Foc_CPLCP8	CPLCP8	Foc	Frankliniella occidentalis	CPLCP	173.2	1.1e-51	yes	CPLCP	high	confirmed	moderate_CPLCP_feature_support	233	4	moderate_CPLCP_feature_support	17.6	18.0	6.0	6.4	5.6	9.9	18.8	10.0	16	6	0	0	1	
Foc_CPLCP9	CPLCP9	Foc	Frankliniella occidentalis	CPLCP	209.7	7.4e-63	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	223	5	strong_CPLCP_feature_support	11.7	17.9	8.1	7.6	8.5	9.4	20.0	11.2	15	7	0	2	0	
Nlu_CPLCP1	CPLCP1	Nlu	Nilaparvata lugens	CPLCP	184.6	3.6e-55	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	306	5	strong_CPLCP_feature_support	12.7	17.6	7.2	10.1	3.3	9.8	37.5	3.8	17	14	0	1	0	
Nlu_CPLCP2	CPLCP2	Nlu	Nilaparvata lugens	CPLCP	235.6	9.2e-71	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	325	5	strong_CPLCP_feature_support	18.2	19.7	10.8	10.8	6.8	7.7	22.5	10.0	35	19	0	2	1	
Nlu_CPLCP3	CPLCP3	Nlu	Nilaparvata lugens	CPLCP	217.8	2.5e-65	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	274	6	strong_CPLCP_feature_support	18.6	19.3	6.9	8.8	9.1	6.6	31.2	12.5	31	15	0	3	1	
Nlu_CPLCP4	CPLCP4	Nlu	Nilaparvata lugens	CPLCP	203.6	5.5e-61	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	200	6	strong_CPLCP_feature_support	17.0	19.0	6.5	7.5	7.5	6.0	26.2	10.0	20	6	0	2	0	
Nlu_CPLCP5	CPLCP5	Nlu	Nilaparvata lugens	CPLCP	242.0	1e-72	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	313	6	strong_CPLCP_feature_support	17.6	20.1	7.7	10.9	8.3	6.1	31.2	17.5	29	19	0	3	1	
Nlu_CPLCP6	CPLCP6	Nlu	Nilaparvata lugens	CPLCP	206.2	8.7e-62	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	294	6	strong_CPLCP_feature_support	17.7	22.4	8.2	10.9	8.5	2.7	42.5	11.2	29	16	0	3	0	
