protein_id	protein_name	species_code	species_name	current_family	CPAP1_score	CPAP1_evalue	CPAP3_score	CPAP3_evalue	delta_CPAP1_minus_CPAP3	best_CPAP_score	classifier_prediction	confidence	status	architecture_validation	length	cysteine_count	strict_ChtBD2_windows	jasrapuria_ChtBD2_windows	relaxed_ChtBD2_windows	strict_ChtBD2_nonoverlap	jasrapuria_ChtBD2_nonoverlap	relaxed_ChtBD2_nonoverlap	best_distance_from_strict	best_distance_from_jasrapuria	best_spacing	best_window_start	best_window_end
Bdo_CPAP3-E2	CPAP3-E2	Bdo	Bactrocera dorsalis	CPAP3	46.0	5.4e-13	257.4	1.8e-77	-211.4	257.4	CPAP3	high	confirmed	supports_CPAP3_architecture	241	19	1	2	3	1	2	2	0	0	12,5,9,15,7	26	79
Bmo_CPAP1-A	CPAP1-A	Bmo	Bombyx mori	CPAP1	167.0	6.4e-50	25.9	7.3e-07	141.1	167.0	CPAP1	high	confirmed	supports_CPAP1_architecture	183	8	0	1	1	0	1	1	4	0	16,5,13,12,7	80	138
Bmo_CPAP1-B	CPAP1-B	Bmo	Bombyx mori	CPAP1	165.6	1.8e-49	23.7	3.3e-06	141.9	165.6	CPAP1	high	confirmed	supports_CPAP1_architecture	211	6	0	1	1	0	1	1	3	0	15,5,10,12,7	101	155
Bmo_CPAP1-B2	CPAP1-B2	Bmo	Bombyx mori	CPAP1	166.2	1.2e-49	20.8	2.6e-05	145.4	166.2	CPAP1	high	confirmed	supports_CPAP1_architecture	714	7	0	1	1	0	1	1	3	0	15,5,10,12,7	548	602
Bmo_CPAP1-C	CPAP1-C	Bmo	Bombyx mori	CPAP1	158.1	3.5e-47	0.0	None	158.1	158.1	CPAP1	high	confirmed	supports_CPAP1_architecture	513	15	0	1	1	0	1	1	2	0	14,5,10,12,7	38	91
Bmo_CPAP1-D	CPAP1-D	Bmo	Bombyx mori	CPAP1	97.6	9.7e-29	23.6	3.6e-06	74.0	97.6	CPAP1	high	confirmed	supports_CPAP1_architecture	110	7	0	1	1	0	1	1	2	0	14,5,10,12,7	50	103
Bmo_CPAP1-F	CPAP1-F	Bmo	Bombyx mori	CPAP1	142.1	2.6e-42	21.0	2.3e-05	121.1	142.1	CPAP1	high	confirmed	supports_CPAP1_architecture	136	7	0	1	1	0	1	1	2	0	14,5,13,12,7	55	111
Bmo_CPAP1-G	CPAP1-G	Bmo	Bombyx mori	CPAP1	108.5	4.6e-32	25.6	8.7e-07	82.9	108.5	CPAP1	high	confirmed	supports_CPAP1_architecture	316	6	0	1	1	0	1	1	2	0	14,5,9,12,8	156	209
Bmo_CPAP1-H	CPAP1-H	Bmo	Bombyx mori	CPAP1	71.5	9.2e-21	21.9	1.2e-05	49.6	71.5	CPAP1	high	confirmed	supports_CPAP1_architecture	1004	7	0	1	1	0	1	1	2	0	14,5,9,12,7	120	172
Bmo_CPAP1-I	CPAP1-I	Bmo	Bombyx mori	CPAP1	51.5	1.2e-14	0.0	None	51.5	51.5	CPAP1	high	confirmed	supports_CPAP1_architecture	712	6	0	0	1	0	0	1	5	2	15,5,14,12,10	22	83
Bmo_CPAP1-J	CPAP1-J	Bmo	Bombyx mori	CPAP1	116.0	2.3e-34	26.1	6.4e-07	89.9	116.0	CPAP1	high	confirmed	supports_CPAP1_architecture	1271	11	0	1	1	0	1	1	2	0	14,5,9,12,7	113	165
Bmo_CPAP1-K	CPAP1-K	Bmo	Bombyx mori	CPAP1	121.9	3.7e-36	14.7	0.002	107.2	121.9	CPAP1	high	confirmed	supports_CPAP1_architecture	697	8	0	1	1	0	1	1	4	0	16,5,13,12,7	370	428
Bmo_CPAP1-L	CPAP1-L	Bmo	Bombyx mori	CPAP1	153.1	1.2e-45	28.4	1.3e-07	124.7	153.1	CPAP1	high	confirmed	supports_CPAP1_architecture	536	7	0	1	1	0	1	1	3	0	15,5,9,12,7	226	279
Bmo_CPAP1-M	CPAP1-M	Bmo	Bombyx mori	CPAP1	116.1	2.2e-34	23.4	4.1e-06	92.7	116.1	CPAP1	high	confirmed	supports_CPAP1_architecture	707	6	0	1	1	0	1	1	3	0	15,5,14,12,7	59	117
Bmo_CPAP1-N	CPAP1-N	Bmo	Bombyx mori	CPAP1	123.6	1.2e-36	25.5	9.6e-07	98.1	123.6	CPAP1	high	confirmed	supports_CPAP1_architecture	267	7	0	0	1	0	0	1	6	4	14,5,18,12,8	68	130
Bmo_CPAP1-O	CPAP1-O	Bmo	Bombyx mori	CPAP1	123.9	9.2e-37	23.0	5.7e-06	100.9	123.9	CPAP1	high	confirmed	supports_CPAP1_architecture	797	8	0	1	1	0	1	1	2	0	14,5,12,12,7	63	118
Bmo_CPAP3-A1	CPAP3-A1	Bmo	Bombyx mori	CPAP3	59.8	3.3e-17	301.6	6e-91	-241.8	301.6	CPAP3	high	confirmed	supports_CPAP3_architecture	237	18	1	2	4	1	2	3	0	0	12,5,9,15,7	20	73
Bmo_CPAP3-A2	CPAP3-A2	Bmo	Bombyx mori	CPAP3	79.8	2.6e-23	282.7	3.6e-85	-202.9	282.7	CPAP3	high	confirmed	supports_CPAP3_architecture	239	19	1	2	4	1	2	3	0	0	12,5,9,15,7	22	75
Bmo_CPAP3-B	CPAP3-B	Bmo	Bombyx mori	CPAP3	76.3	3e-22	279.6	3e-84	-203.3	279.6	CPAP3	high	confirmed	supports_CPAP3_architecture	290	19	1	2	4	1	2	3	0	0	11,5,9,15,7	50	102
Bmo_CPAP3-C	CPAP3-C	Bmo	Bombyx mori	CPAP3	50.5	2.2e-14	286.7	2.1e-86	-236.2	286.7	CPAP3	high	confirmed	supports_CPAP3_architecture	262	19	1	2	5	1	2	3	0	0	12,5,9,12,8	94	145
Bmo_CPAP3-D1	CPAP3-D1	Bmo	Bombyx mori	CPAP3	22.0	1.2e-05	258.2	1e-77	-236.2	258.2	CPAP3	high	confirmed	supports_CPAP3_architecture	226	19	0	2	4	0	2	3	2	0	14,5,9,15,7	27	82
Bmo_CPAP3-D2	CPAP3-D2	Bmo	Bombyx mori	CPAP3	20.2	4.1e-05	227.1	3.1e-68	-206.9	227.1	CPAP3	high	confirmed	supports_CPAP3_architecture	249	19	2	3	4	2	3	3	0	0	12,5,9,16,8	28	83
Bmo_CPAP3-E	CPAP3-E	Bmo	Bombyx mori	CPAP3	37.3	2.4e-10	257.1	2.3e-77	-219.8	257.1	CPAP3	high	confirmed	supports_CPAP3_architecture	280	20	1	3	4	1	3	3	0	0	12,5,9,16,7	46	100
Bmo_CPAP3-E2	CPAP3-E2	Bmo	Bombyx mori	CPAP3	39.1	7.1e-11	231.7	1.2e-69	-192.6	231.7	CPAP3	high	confirmed	supports_CPAP3_architecture	237	18	1	3	4	1	3	3	0	0	12,5,9,16,7	30	84
Bmo_CPAP3-E4	CPAP3-E4	Bmo	Bombyx mori	CPAP3	0.0	None	225.0	1.4e-67	-225.0	225.0	CPAP3	high	confirmed	supports_CPAP3_architecture	712	18	1	3	4	1	3	3	0	0	12,5,9,16,7	514	568
Cfe_CPAP1-A	CPAP1-A	Cfe	Cryptolestes ferrugineus	CPAP1	161.4	3.4e-48	26.6	4.6e-07	134.8	161.4	CPAP1	high	confirmed	supports_CPAP1_architecture	164	6	0	1	1	0	1	1	4	0	16,5,13,12,7	71	129
Cfe_CPAP1-B	CPAP1-B	Cfe	Cryptolestes ferrugineus	CPAP1	165.3	2.1e-49	20.2	4e-05	145.1	165.3	CPAP1	high	confirmed	supports_CPAP1_architecture	225	7	0	1	1	0	1	1	3	0	15,5,10,12,7	130	184
Cfe_CPAP1-B2	CPAP1-B2	Cfe	Cryptolestes ferrugineus	CPAP1	168.3	2.7e-50	20.1	4.3e-05	148.2	168.3	CPAP1	high	confirmed	supports_CPAP1_architecture	697	7	0	1	1	0	1	1	3	0	15,5,10,12,7	511	565
Cfe_CPAP1-C	CPAP1-C	Cfe	Cryptolestes ferrugineus	CPAP1	138.2	4.1e-41	16.1	0.0007	122.1	138.2	CPAP1	high	confirmed	supports_CPAP1_architecture	634	6	0	1	1	0	1	1	2	0	14,5,10,12,7	41	94
Cfe_CPAP1-D	CPAP1-D	Cfe	Cryptolestes ferrugineus	CPAP1	111.3	6.5e-33	26.5	4.6e-07	84.8	111.3	CPAP1	high	confirmed	supports_CPAP1_architecture	90	6	0	1	1	0	1	1	2	0	14,5,9,12,7	31	83
Cfe_CPAP1-F	CPAP1-F	Cfe	Cryptolestes ferrugineus	CPAP1	157.0	7.5e-47	27.2	2.9e-07	129.8	157.0	CPAP1	high	confirmed	supports_CPAP1_architecture	127	8	0	1	1	0	1	1	2	0	14,5,10,12,7	47	100
Cfe_CPAP1-G	CPAP1-G	Cfe	Cryptolestes ferrugineus	CPAP1	121.5	5.2e-36	26.2	6e-07	95.3	121.5	CPAP1	high	confirmed	supports_CPAP1_architecture	320	8	0	1	1	0	1	1	2	0	14,5,9,12,8	147	200
Cfe_CPAP1-H	CPAP1-H	Cfe	Cryptolestes ferrugineus	CPAP1	125.0	4.3e-37	18.7	0.00012	106.3	125.0	CPAP1	high	confirmed	supports_CPAP1_architecture	884	6	0	1	1	0	1	1	2	0	14,5,9,12,7	119	171
Cfe_CPAP1-I	CPAP1-I	Cfe	Cryptolestes ferrugineus	CPAP1	117.9	6.1e-35	0.0	None	117.9	117.9	CPAP1	high	confirmed	supports_CPAP1_architecture	507	8	0	1	1	0	1	1	3	0	15,5,14,12,7	42	100
Cfe_CPAP1-J	CPAP1-J	Cfe	Cryptolestes ferrugineus	CPAP1	114.4	7.4e-34	28.1	1.6e-07	86.3	114.4	CPAP1	high	confirmed	supports_CPAP1_architecture	1090	6	0	1	1	0	1	1	2	0	14,5,9,12,7	81	133
Cfe_CPAP1-K	CPAP1-K	Cfe	Cryptolestes ferrugineus	CPAP1	124.9	4.7e-37	8.5	0.15	116.4	124.9	CPAP1	high	confirmed	supports_CPAP1_architecture	433	9	0	1	1	0	1	1	4	0	16,5,13,12,7	327	385
Cfe_CPAP1-M	CPAP1-M	Cfe	Cryptolestes ferrugineus	CPAP1	67.2	1.8e-19	25.5	9.4e-07	41.7	67.2	CPAP1	high	confirmed	multi_ChtBD2_review_for_CPAP1	1795	12	0	1	2	0	1	2	3	0	15,5,14,12,7	46	104
Cfe_CPAP1-N	CPAP1-N	Cfe	Cryptolestes ferrugineus	CPAP1	122.1	3.2e-36	19.7	5.5e-05	102.4	122.1	CPAP1	high	confirmed	supports_CPAP1_architecture	170	6	0	0	1	0	0	1	6	4	14,5,18,12,8	50	112
Cfe_CPAP3-A1	CPAP3-A1	Cfe	Cryptolestes ferrugineus	CPAP3	62.7	4.2e-18	302.9	2.4e-91	-240.2	302.9	CPAP3	high	confirmed	supports_CPAP3_architecture	241	18	1	2	4	1	2	3	0	0	12,5,9,15,7	24	77
Cfe_CPAP3-B	CPAP3-B	Cfe	Cryptolestes ferrugineus	CPAP3	93.4	1.8e-27	297.7	9e-90	-204.3	297.7	CPAP3	high	confirmed	supports_CPAP3_architecture	304	18	1	2	4	1	2	3	0	0	12,5,9,15,7	60	113
Cfe_CPAP3-C1	CPAP3-C1	Cfe	Cryptolestes ferrugineus	CPAP3	47.9	1.5e-13	281.7	7.2e-85	-233.8	281.7	CPAP3	high	confirmed	supports_CPAP3_architecture	235	19	1	2	5	1	2	3	0	0	12,5,9,12,8	95	146
Cfe_CPAP3-C2	CPAP3-C2	Cfe	Cryptolestes ferrugineus	CPAP3	47.2	2.3e-13	289.6	2.7e-87	-242.4	289.6	CPAP3	high	confirmed	supports_CPAP3_architecture	271	19	1	2	5	1	2	3	0	0	12,5,9,12,8	95	146
Cfe_CPAP3-D1	CPAP3-D1	Cfe	Cryptolestes ferrugineus	CPAP3	10.6	0.035	253.8	2.3e-76	-243.2	253.8	CPAP3	high	confirmed	supports_CPAP3_architecture	233	19	0	2	4	0	2	3	2	0	14,5,9,15,7	31	86
Cfe_CPAP3-D2	CPAP3-D2	Cfe	Cryptolestes ferrugineus	CPAP3	20.0	4.5e-05	231.9	1.1e-69	-211.9	231.9	CPAP3	high	confirmed	supports_CPAP3_architecture	264	19	2	3	4	2	3	3	0	0	12,5,9,16,8	32	87
Cfe_CPAP3-E	CPAP3-E	Cfe	Cryptolestes ferrugineus	CPAP3	49.1	6.2e-14	269.5	3.7e-81	-220.4	269.5	CPAP3	high	confirmed	supports_CPAP3_architecture	279	18	1	3	4	1	3	3	0	0	11,5,9,16,7	51	104
Dme_Obst-A	Obst-A	Dme	Drosophila melanogaster	CPAP3	67.7	1.3e-19	291.9	5.5e-88	-224.2	291.9	CPAP3	high	confirmed	supports_CPAP3_architecture	237	20	1	2	4	1	2	3	0	0	12,5,9,15,7	25	78
Dme_Obst-C	Obst-C	Dme	Drosophila melanogaster	CPAP3	53.0	4e-15	288.0	8.5e-87	-235.0	288.0	CPAP3	high	confirmed	supports_CPAP3_architecture	258	18	1	2	5	1	2	3	0	0	12,5,9,12,8	93	144
Dme_Obst-E	Obst-E	Dme	Drosophila melanogaster	CPAP3	52.7	5.1e-15	269.1	5e-81	-216.4	269.1	CPAP3	high	confirmed	supports_CPAP3_architecture	242	19	1	2	3	1	2	2	0	0	12,5,9,14,7	26	78
Foc_CPAP1_1	CPAP1_1	Foc	Frankliniella occidentalis	CPAP1	156.9	8.1e-47	25.6	9e-07	131.3	156.9	CPAP1	high	confirmed	supports_CPAP1_architecture	103	6	0	1	1	0	1	1	2	0	14,5,10,12,7	28	81
Foc_CPAP1_10	CPAP1_10	Foc	Frankliniella occidentalis	CPAP1	135.4	2.8e-40	26.4	5e-07	109.0	135.4	CPAP1	high	confirmed	supports_CPAP1_architecture	1000	6	0	1	1	0	1	1	2	0	14,5,10,12,7	536	589
Foc_CPAP1_11	CPAP1_11	Foc	Frankliniella occidentalis	CPAP1	154.8	3.5e-46	22.6	7.4e-06	132.2	154.8	CPAP1	high	confirmed	supports_CPAP1_architecture	602	6	0	1	1	0	1	1	3	0	15,5,9,12,7	111	164
Foc_CPAP1_12	CPAP1_12	Foc	Frankliniella occidentalis	CPAP1	162.2	1.9e-48	19.2	7.8e-05	143.0	162.2	CPAP1	high	confirmed	supports_CPAP1_architecture	1408	8	0	1	1	0	1	1	2	0	14,5,12,12,7	998	1053
Foc_CPAP1_13	CPAP1_13	Foc	Frankliniella occidentalis	CPAP1	133.1	1.5e-39	13.4	0.0046	119.7	133.1	CPAP1	high	confirmed	supports_CPAP1_architecture	285	10	0	0	1	0	0	1	6	4	14,5,18,12,8	101	163
Foc_CPAP1_14	CPAP1_14	Foc	Frankliniella occidentalis	CPAP1	133.3	1.2e-39	29.4	6.3e-08	103.9	133.3	CPAP1	high	confirmed	supports_CPAP1_architecture	429	7	0	1	1	0	1	1	2	0	14,5,9,12,8	203	256
Foc_CPAP1_2	CPAP1_2	Foc	Frankliniella occidentalis	CPAP1	121.5	5.1e-36	29.9	4.4e-08	91.6	121.5	CPAP1	high	confirmed	supports_CPAP1_architecture	104	6	0	1	1	0	1	1	3	0	15,5,10,12,7	49	103
Foc_CPAP1_3	CPAP1_3	Foc	Frankliniella occidentalis	CPAP1	104.5	7.6e-31	0.0	None	104.5	104.5	CPAP1	high	confirmed	supports_CPAP1_architecture	809	6	0	1	1	0	1	1	3	0	15,5,14,12,7	34	92
Foc_CPAP1_4	CPAP1_4	Foc	Frankliniella occidentalis	CPAP1	105.8	3.2e-31	19.6	6e-05	86.2	105.8	CPAP1	high	confirmed	supports_CPAP1_architecture	681	6	0	1	1	0	1	1	2	0	14,5,9,12,7	126	178
Foc_CPAP1_5	CPAP1_5	Foc	Frankliniella occidentalis	CPAP1	165.7	1.7e-49	23.9	2.9e-06	141.8	165.7	CPAP1	high	confirmed	supports_CPAP1_architecture	229	7	0	1	1	0	1	1	4	0	16,5,13,12,7	104	162
Foc_CPAP1_6	CPAP1_6	Foc	Frankliniella occidentalis	CPAP1	111.5	5.8e-33	0.0	None	111.5	111.5	CPAP1	high	confirmed	supports_CPAP1_architecture	1116	20	0	1	1	0	1	1	3	0	15,5,14,12,7	954	1012
Foc_CPAP1_7	CPAP1_7	Foc	Frankliniella occidentalis	CPAP1	163.0	1.1e-48	17.1	0.00035	145.9	163.0	CPAP1	high	confirmed	supports_CPAP1_architecture	205	6	0	1	1	0	1	1	3	0	15,5,10,12,7	112	166
Foc_CPAP1_8	CPAP1_8	Foc	Frankliniella occidentalis	CPAP1	172.9	1.1e-51	17.0	0.00038	155.9	172.9	CPAP1	high	confirmed	supports_CPAP1_architecture	764	6	0	1	1	0	1	1	3	0	15,5,10,12,7	600	654
Foc_CPAP1_9	CPAP1_9	Foc	Frankliniella occidentalis	CPAP1	101.1	8.5e-30	15.0	0.0016	86.1	101.1	CPAP1	high	confirmed	missing_expected_CPAP1_ChtBD2	1831	4	0	0	0	0	0	0	NA	NA	NA	NA	NA
Foc_CPAP3_1	CPAP3_1	Foc	Frankliniella occidentalis	CPAP3	48.4	1e-13	288.5	6.2e-87	-240.1	288.5	CPAP3	high	confirmed	supports_CPAP3_architecture	292	19	1	2	4	1	2	3	0	0	12,5,9,12,8	93	144
Foc_CPAP3_2	CPAP3_2	Foc	Frankliniella occidentalis	CPAP3	18.0	0.00019	244.0	2.2e-73	-226.0	244.0	CPAP3	high	confirmed	supports_CPAP3_architecture	221	18	0	2	4	0	2	3	2	0	14,5,9,15,7	22	77
Foc_CPAP3_3	CPAP3_3	Foc	Frankliniella occidentalis	CPAP3	59.0	5.7e-17	257.8	1.3e-77	-198.8	257.8	CPAP3	high	confirmed	supports_CPAP3_architecture	279	18	1	1	2	1	1	2	0	0	12,5,9,15,7	30	83
Foc_CPAP3_4	CPAP3_4	Foc	Frankliniella occidentalis	CPAP3	54.5	1.4e-15	286.1	3.3e-86	-231.6	286.1	CPAP3	high	confirmed	supports_CPAP3_architecture	255	19	0	2	4	0	2	3	1	0	13,5,9,16,7	24	79
Foc_CPAP3_5	CPAP3_5	Foc	Frankliniella occidentalis	CPAP3	84.7	8.2e-25	250.9	1.7e-75	-166.2	250.9	CPAP3	high	confirmed	supports_CPAP3_architecture	280	16	1	2	3	1	2	2	0	0	12,5,9,15,7	53	106
Foc_CPAP3_6	CPAP3_6	Foc	Frankliniella occidentalis	CPAP3	31.9	1.1e-08	207.5	3.1e-62	-175.6	207.5	CPAP3	high	confirmed	supports_CPAP3_architecture	354	21	2	3	4	2	3	3	0	0	12,5,9,16,8	27	82
Lmi_Obst-A1	Obst-A1	Lmi	Locusta migratoria	CPAP3	63.1	3.3e-18	301.4	7.2e-91	-238.3	301.4	CPAP3	high	confirmed	supports_CPAP3_architecture	242	21	1	2	4	1	2	3	0	0	12,5,9,15,7	26	79
Lmi_Obst-A2	Obst-A2	Lmi	Locusta migratoria	CPAP3	71.3	1e-20	289.6	2.7e-87	-218.3	289.6	CPAP3	high	confirmed	supports_CPAP3_architecture	238	18	1	2	4	1	2	3	0	0	12,5,9,15,7	25	78
Lmi_Obst-B	Obst-B	Lmi	Locusta migratoria	CPAP3	86.7	2.1e-25	303.0	2.2e-91	-216.3	303.0	CPAP3	high	confirmed	supports_CPAP3_architecture	288	18	1	2	4	1	2	3	0	0	12,5,9,15,7	47	100
Lmi_Obst-C	Obst-C	Lmi	Locusta migratoria	CPAP3	48.4	1e-13	284.1	1.3e-85	-235.7	284.1	CPAP3	high	confirmed	supports_CPAP3_architecture	237	19	1	2	5	1	2	3	0	0	12,5,9,12,8	93	144
Lmi_Obst-D1	Obst-D1	Lmi	Locusta migratoria	CPAP3	11.7	0.016	257.8	1.4e-77	-246.1	257.8	CPAP3	high	confirmed	supports_CPAP3_architecture	230	18	0	2	4	0	2	3	2	0	14,5,9,15,7	28	83
Lmi_Obst-D2	Obst-D2	Lmi	Locusta migratoria	CPAP3	25.9	7.3e-07	228.5	1.2e-68	-202.6	228.5	CPAP3	high	confirmed	supports_CPAP3_architecture	223	18	2	3	4	2	3	3	0	0	12,5,9,16,8	33	88
Lmi_Obst-E1	Obst-E1	Lmi	Locusta migratoria	CPAP3	55.9	5.2e-16	270.0	2.7e-81	-214.1	270.0	CPAP3	high	confirmed	supports_CPAP3_architecture	258	20	1	3	5	1	3	3	0	0	12,5,9,16,7	32	86
Lmi_Obst-F	Obst-F	Lmi	Locusta migratoria	CPAP1	151.6	3.3e-45	26.7	4.2e-07	124.9	151.6	CPAP1	high	confirmed	supports_CPAP1_architecture	101	7	0	1	1	0	1	1	2	0	14,5,10,12,7	26	79
Lmi_Obst-H	Obst-H	Lmi	Locusta migratoria	CPAP1	151.1	4.8e-45	25.8	7.9e-07	125.3	151.1	CPAP1	high	confirmed	supports_CPAP1_architecture	240	6	0	1	1	0	1	1	2	0	14,5,9,12,7	110	162
Nlu_CPAP1-A	CPAP1-A	Nlu	Nilaparvata lugens	CPAP1	162.6	1.5e-48	27.2	2.9e-07	135.4	162.6	CPAP1	high	confirmed	supports_CPAP1_architecture	208	7	0	1	1	0	1	1	4	0	16,5,13,12,7	97	155
Nlu_CPAP1-B	CPAP1-B	Nlu	Nilaparvata lugens	CPAP1	165.0	2.8e-49	18.7	0.00011	146.3	165.0	CPAP1	high	confirmed	supports_CPAP1_architecture	200	6	0	1	1	0	1	1	3	0	15,5,10,12,7	108	162
