protein_id	protein_name	species_code	species_name	current_family	CPLCP_score	CPLCP_evalue	CPLCP_confident	classifier_prediction	confidence	status	feature_validation	length	CPLCP_feature_score	CPLCP_feature_class	proline_percent	valine_percent	tyrosine_percent	lysine_percent	histidine_percent	glycine_percent	acidic_polar_percent_Nterm80	histidine_percent_Cterm80	PV_count	PY_count	GLWD_or_GLWE_count	H_cluster_3_in_20_count	GYH_rich_short_count	weird_characters
Aal_Cp19	Cp19	Aal	Aedes albopictus	CPR RR-2	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	104	3	moderate_CPLCP_feature_support	2.9	8.7	7.7	6.7	14.4	7.7	32.5	16.2	0	0	0	3	0	
Ace_CPR2	CPR2	Ace	Apis cerana	CPR RR-1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	234	2	weak_CPLCP_feature_support	19.7	4.3	9.0	1.7	0.0	5.6	40.0	0.0	2	0	0	0	0	
Aga_CPAP1-A	CPAP1-A	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	168	2	weak_CPLCP_feature_support	7.7	7.1	6.5	7.1	8.9	6.5	22.5	12.5	0	1	0	4	0	
Aga_CPAP1-B1	CPAP1-B1	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	184	2	weak_CPLCP_feature_support	8.7	5.4	4.9	2.2	1.6	6.0	46.2	2.5	1	1	0	0	0	
Aga_CPAP1-B2	CPAP1-B2	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	strong_CPLCP_features_but_no_confident_HMM	777	5	strong_CPLCP_feature_support	12.7	7.1	5.3	5.1	3.7	5.8	38.8	3.8	10	3	0	3	0	
Aga_CPAP1-C	CPAP1-C	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	721	3	moderate_CPLCP_feature_support	11.1	5.4	2.5	3.6	1.2	5.5	36.2	1.2	5	1	0	0	0	
Aga_CPAP1-F	CPAP1-F	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	no_CPLCP_support	144	0	no_CPLCP_feature_support	5.6	8.3	8.3	2.8	2.1	7.6	23.8	2.5	0	0	0	0	0	
Aga_CPAP1-G	CPAP1-G	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	332	1	weak_CPLCP_feature_support	7.2	4.2	7.5	3.9	3.6	3.3	45.0	3.8	2	1	0	0	0	
Aga_CPAP1-H	CPAP1-H	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	strong_CPLCP_features_but_no_confident_HMM	795	5	strong_CPLCP_feature_support	10.7	6.7	5.7	4.9	1.1	5.2	33.8	3.8	8	2	0	1	1	
Aga_CPAP1-J	CPAP1-J	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	174	1	weak_CPLCP_feature_support	3.4	5.2	2.3	5.2	3.4	4.6	28.8	2.5	1	0	0	0	0	
Aga_CPAP1-K_iso1	CPAP1-K_iso1	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	562	3	moderate_CPLCP_feature_support	9.3	7.1	2.5	5.2	0.9	5.7	30.0	0.0	5	1	0	0	0	
Aga_CPAP1-K_iso2	CPAP1-K_iso2	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	616	3	moderate_CPLCP_feature_support	8.4	6.7	2.3	5.2	1.1	6.3	30.0	0.0	5	1	0	0	0	
Aga_CPAP1-M	CPAP1-M	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	315	2	weak_CPLCP_feature_support	9.5	6.0	5.7	5.1	6.7	7.3	23.8	3.8	0	1	0	2	0	
Aga_CPAP1-N	CPAP1-N	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	561	3	moderate_CPLCP_feature_support	8.7	8.2	1.6	0.9	2.1	1.6	30.0	2.5	2	0	0	1	0	
Aga_CPAP1-O	CPAP1-O	Aga	Anopheles gambiae	CPAP1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	strong_CPLCP_features_but_no_confident_HMM	875	5	strong_CPLCP_feature_support	9.1	9.3	3.5	1.5	2.2	8.6	26.2	0.0	12	5	0	1	0	
Aga_CPAP3-A1b	CPAP3-A1b	Aga	Anopheles gambiae	CPAP3	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	248	2	weak_CPLCP_feature_support	8.9	5.2	4.0	4.8	1.6	6.9	31.2	2.5	1	1	0	0	0	
Aga_CPAP3-A1c	CPAP3-A1c	Aga	Anopheles gambiae	CPAP3	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	240	1	weak_CPLCP_feature_support	7.5	5.4	4.2	7.1	1.7	6.7	30.0	2.5	1	0	0	0	0	
Aga_CPAP3-B	CPAP3-B	Aga	Anopheles gambiae	CPAP3	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	334	2	weak_CPLCP_feature_support	9.3	5.7	3.3	6.9	0.9	5.1	31.2	1.2	4	0	0	0	0	
Aga_CPAP3-C	CPAP3-C	Aga	Anopheles gambiae	NULL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	252	1	weak_CPLCP_feature_support	5.2	5.2	5.2	4.8	2.8	8.7	32.5	1.2	0	0	0	0	0	
Aga_CPAP3-D1	CPAP3-D1	Aga	Anopheles gambiae	CPAP3	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	228	4	moderate_CPLCP_feature_support	8.3	6.1	3.9	2.6	5.3	8.8	27.5	5.0	1	2	0	0	0	
Aga_CPAP3-D2_iso1	CPAP3-D2_iso1	Aga	Anopheles gambiae	CPAP3	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	262	1	weak_CPLCP_feature_support	7.6	4.2	5.3	3.8	2.7	10.3	32.5	0.0	0	0	0	0	0	
Aga_CPAP3-D2_iso2	CPAP3-D2_iso2	Aga	Anopheles gambiae	CPAP3	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	251	1	weak_CPLCP_feature_support	8.0	4.4	5.2	4.0	2.8	10.8	32.5	0.0	0	0	0	0	0	
Aga_CPAP3-E	CPAP3-E	Aga	Anopheles gambiae	CPAP3	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	218	2	weak_CPLCP_feature_support	8.3	6.4	5.0	3.2	0.9	7.3	30.0	0.0	2	0	0	0	0	
Aga_CPF1	CPF1	Aga	Anopheles gambiae	CPF	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	238	3	moderate_CPLCP_feature_support	7.1	10.5	8.4	3.8	6.3	1.7	20.0	11.2	5	0	0	4	0	
Aga_CPF2	CPF2	Aga	Anopheles gambiae	CPF	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	295	3	moderate_CPLCP_feature_support	8.1	10.2	9.8	3.1	7.8	0.7	20.0	12.5	4	1	0	4	0	
Aga_CPF3	CPF3	Aga	Anopheles gambiae	CPF	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	137	2	weak_CPLCP_feature_support	7.3	7.3	8.8	2.2	3.6	8.0	35.0	5.0	0	1	0	0	0	
Aga_CPF4	CPF4	Aga	Anopheles gambiae	CPF	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	178	3	moderate_CPLCP_feature_support	7.9	10.1	9.6	3.4	7.3	5.6	27.5	8.8	1	0	0	3	0	
Aga_CPFL1	CPFL1	Aga	Anopheles gambiae	CPFL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	251	3	moderate_CPLCP_feature_support	8.8	13.1	10.0	6.0	7.6	0.4	22.5	8.8	4	0	0	2	0	
Aga_CPFL2	CPFL2	Aga	Anopheles gambiae	CPFL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	229	2	weak_CPLCP_feature_support	11.4	9.6	9.6	7.0	2.2	5.7	25.0	1.2	4	1	0	0	0	
Aga_CPFL3	CPFL3	Aga	Anopheles gambiae	CPFL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	240	2	weak_CPLCP_feature_support	11.2	9.6	9.6	6.7	2.1	5.0	25.0	1.2	4	1	0	0	0	
Aga_CPFL4	CPFL4	Aga	Anopheles gambiae	CPFL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	196	2	weak_CPLCP_feature_support	11.7	10.2	9.7	6.1	2.6	6.1	25.0	1.2	4	1	0	0	0	
Aga_CPFL5	CPFL5	Aga	Anopheles gambiae	CPFL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	196	2	weak_CPLCP_feature_support	11.7	11.2	9.7	6.1	2.6	5.6	25.0	1.2	4	1	0	0	0	
Aga_CPFL6	CPFL6	Aga	Anopheles gambiae	CPFL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	196	2	weak_CPLCP_feature_support	11.7	10.2	9.7	6.1	2.6	6.1	25.0	1.2	4	1	0	0	0	
Aga_CPFL7	CPFL7	Aga	Anopheles gambiae	CPFL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	229	2	weak_CPLCP_feature_support	11.4	9.6	9.6	6.6	2.2	5.7	25.0	1.2	4	1	0	0	0	
Aga_CPLC#	CPLCG4	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	120	2	weak_CPLCP_feature_support	12.5	13.3	4.2	0.8	7.5	7.5	3.8	11.2	1	1	0	0	0	
Aga_CPLC8	CPLCG3	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	135	4	moderate_CPLCP_feature_support	10.4	9.6	3.0	0.7	8.9	7.4	8.8	10.0	0	3	0	1	0	
Aga_CPLCA1	CPLCA1	Aga	Anopheles gambiae	CPLCA	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	194	3	moderate_CPLCP_feature_support	9.3	16.0	9.3	5.2	3.6	1.5	26.2	2.5	7	0	0	0	0	
Aga_CPLCA2	CPLCA2	Aga	Anopheles gambiae	CPLCA	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	196	3	moderate_CPLCP_feature_support	8.7	17.3	8.2	5.1	3.6	1.5	25.0	2.5	6	0	0	0	0	
Aga_CPLCA3	CPLCA3	Aga	Anopheles gambiae	CPLCA	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	128	4	moderate_CPLCP_feature_support	8.6	10.2	8.6	5.5	4.7	1.6	25.0	7.5	0	0	0	1	0	
Aga_CPLCG1	CPLCG1	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	125	1	weak_CPLCP_feature_support	15.2	12.8	0.8	0.8	2.4	8.0	17.5	3.8	1	0	0	0	0	
Aga_CPLCG10	CPLCG10	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	163	1	weak_CPLCP_feature_support	9.2	18.4	6.7	1.8	1.8	2.5	20.0	2.5	3	0	0	0	0	
Aga_CPLCG11	CPLCG11	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	191	3	moderate_CPLCP_feature_support	6.3	11.0	13.1	3.7	3.1	14.7	25.0	5.0	1	3	0	0	2	
Aga_CPLCG12	CPLCG12	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	163	1	weak_CPLCP_feature_support	8.6	18.4	6.1	1.8	1.8	2.5	20.0	2.5	2	0	0	0	0	
Aga_CPLCG13	CPLCG13	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	197	3	moderate_CPLCP_feature_support	6.1	11.2	13.2	3.6	4.1	15.2	26.2	6.2	1	3	0	0	2	
Aga_CPLCG14	CPLCG14	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	138	3	moderate_CPLCP_feature_support	8.7	17.4	8.7	1.4	3.6	4.3	20.0	6.2	1	2	0	0	0	
Aga_CPLCG15	CPLCG15	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	124	1	weak_CPLCP_feature_support	8.1	15.3	6.5	1.6	2.4	5.6	22.5	2.5	3	1	0	0	0	
Aga_CPLCG16	CPLCG16	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	169	3	moderate_CPLCP_feature_support	8.9	16.0	9.5	3.0	3.6	2.4	25.0	5.0	3	0	0	0	0	
Aga_CPLCG17	CPLCG17	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	197	2	weak_CPLCP_feature_support	6.1	11.7	13.2	3.6	4.1	15.7	22.5	6.2	1	3	0	0	3	
Aga_CPLCG18	CPLCG18	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	205	2	weak_CPLCP_feature_support	5.9	10.7	12.7	3.4	4.9	15.6	20.0	6.2	1	3	0	0	3	
Aga_CPLCG19	CPLCG19	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	168	2	weak_CPLCP_feature_support	6.0	10.1	13.1	3.0	4.8	17.3	23.8	6.2	1	3	0	0	2	
Aga_CPLCG2	CPLCG2	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	108	3	moderate_CPLCP_feature_support	13.9	6.5	5.6	0.0	3.7	9.3	21.2	5.0	2	2	0	0	0	
Aga_CPLCG20	CPLCG20	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	619	2	weak_CPLCP_feature_support	8.6	16.3	9.5	4.0	1.3	5.2	18.8	2.5	14	1	0	0	0	
Aga_CPLCG21	CPLCG21	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	227	2	weak_CPLCP_feature_support	5.7	10.6	13.2	3.1	5.3	17.2	22.5	7.5	2	3	0	0	3	
Aga_CPLCG22	CPLCG22	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	248	3	moderate_CPLCP_feature_support	10.1	19.0	8.9	3.6	0.8	2.0	28.8	2.5	6	0	0	0	0	
Aga_CPLCG23	CPLCG23	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	133	2	weak_CPLCP_feature_support	10.5	3.8	9.0	2.3	2.3	4.5	13.8	2.5	0	2	0	0	0	
Aga_CPLCG24	CPLCG24	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	133	2	weak_CPLCP_feature_support	10.5	3.8	9.0	2.3	2.3	3.8	13.8	2.5	0	2	0	0	0	
Aga_CPLCG25	CPLCG25	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	197	2	weak_CPLCP_feature_support	6.1	11.2	13.2	3.6	4.1	16.2	23.8	6.2	1	3	0	0	3	
Aga_CPLCG26	CPLCG26	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	198	2	weak_CPLCP_feature_support	6.6	10.6	13.1	3.5	4.0	16.2	23.8	6.2	1	3	0	0	3	
Aga_CPLCG27	CPLCG27	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	168	2	weak_CPLCP_feature_support	5.4	10.1	13.1	3.0	4.8	16.7	23.8	6.2	1	3	0	0	2	
Aga_CPLCG3	CPLCG3	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	135	4	moderate_CPLCP_feature_support	10.4	9.6	3.0	0.7	8.9	7.4	8.8	10.0	0	3	0	1	0	
Aga_CPLCG4	CPLCG4	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	120	2	weak_CPLCP_feature_support	12.5	13.3	4.2	0.8	7.5	7.5	3.8	11.2	1	1	0	0	0	
Aga_CPLCG5	CPLCG5	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	139	4	moderate_CPLCP_feature_support	10.8	10.1	10.1	1.4	6.5	8.6	5.0	8.8	0	6	0	1	0	
Aga_CPLCG6	CPLCG6	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	197	2	weak_CPLCP_feature_support	6.1	11.2	13.2	3.6	4.1	15.7	23.8	6.2	2	3	0	0	2	
Aga_CPLCG7	CPLCG7	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	163	1	weak_CPLCP_feature_support	9.2	18.4	6.7	1.8	1.8	2.5	18.8	2.5	3	0	0	0	0	
Aga_CPLCG8	CPLCG8	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	188	2	weak_CPLCP_feature_support	6.4	10.1	13.8	3.2	4.3	16.5	23.8	6.2	1	3	0	0	3	
Aga_CPLCG9	CPLCG9	Aga	Anopheles gambiae	CPLCG	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	168	3	moderate_CPLCP_feature_support	6.0	10.1	13.1	3.0	4.2	16.1	25.0	6.2	1	3	0	0	1	
Aga_CPLCP1	CPLCP1	Aga	Anopheles gambiae	CPLCP	194.0	4.8e-58	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	178	5	strong_CPLCP_feature_support	11.2	23.6	4.5	14.6	6.7	6.7	20.0	7.5	15	4	0	2	0	
Aga_CPLCP10	CPLCP10	Aga	Anopheles gambiae	CPLCP	173.6	8.2e-52	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	360	6	strong_CPLCP_feature_support	19.2	24.2	5.8	11.4	9.2	2.5	32.5	20.0	47	16	0	4	0	
Aga_CPLCP11	CPLCP11	Aga	Anopheles gambiae	CPLCP	190.7	4.9e-57	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	349	6	strong_CPLCP_feature_support	19.8	23.2	7.2	10.9	10.9	2.3	28.8	17.5	44	17	0	4	0	
Aga_CPLCP12	CPLCP12	Aga	Anopheles gambiae	CPLCP	207.1	4.9e-62	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	386	5	strong_CPLCP_feature_support	17.6	22.0	8.5	9.6	9.1	4.7	21.2	22.5	38	21	0	3	2	
Aga_CPLCP13	CPLCP13	Aga	Anopheles gambiae	CPLCP	235.2	1.2e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	6	strong_CPLCP_feature_support	11.4	20.5	9.7	14.1	4.3	3.2	32.5	5.0	13	5	1	0	0	
Aga_CPLCP14	CPLCP14	Aga	Anopheles gambiae	CPLCP	232.7	7.4e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	6	strong_CPLCP_feature_support	11.4	20.0	9.7	14.1	4.3	3.2	32.5	5.0	13	5	1	0	0	
Aga_CPLCP15	CPLCP15	Aga	Anopheles gambiae	CPLCP	232.3	9.7e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	11.4	23.8	8.6	13.5	5.4	3.8	31.2	7.5	13	5	1	1	0	
Aga_CPLCP16	CPLCP16	Aga	Anopheles gambiae	CPLCP	234.4	2.2e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	10.8	23.8	8.6	13.5	5.4	3.8	33.8	7.5	13	5	1	1	0	
Aga_CPLCP17	CPLCP17	Aga	Anopheles gambiae	CPLCP	233.8	3.3e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	6	strong_CPLCP_feature_support	11.4	20.5	9.7	14.1	4.3	3.2	32.5	5.0	13	5	1	0	0	
Aga_CPLCP18	CPLCP18	Aga	Anopheles gambiae	CPLCP	235.1	1.4e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	10.8	23.8	8.6	13.5	5.4	3.8	32.5	7.5	13	5	1	1	0	
Aga_CPLCP19	CPLCP19	Aga	Anopheles gambiae	CPLCP	235.1	1.4e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	10.8	23.8	8.6	13.5	5.4	3.8	32.5	7.5	13	5	1	1	0	
Aga_CPLCP2	CPLCP2	Aga	Anopheles gambiae	CPLCP	144.1	8.6e-43	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	688	5	strong_CPLCP_feature_support	9.6	11.3	5.5	9.7	5.8	6.1	27.5	2.5	23	14	0	3	1	
Aga_CPLCP20	CPLCP20	Aga	Anopheles gambiae	CPLCP	227.4	2.9e-68	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	6	strong_CPLCP_feature_support	11.9	22.2	9.7	13.5	3.8	3.8	33.8	5.0	14	5	1	0	0	
Aga_CPLCP21	CPLCP21	Aga	Anopheles gambiae	CPLCP	238.5	1.2e-71	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	10.8	22.2	8.6	14.1	5.4	3.2	32.5	7.5	13	5	1	1	0	
