protein_id	protein_name	species_code	species_name	current_family	CPG_score	CPG_evalue	CPH_score	CPH_evalue	delta_CPG_minus_CPH	higher_score_prediction	CPG_feature_score	CPG_feature_class	CPH_feature_score	CPH_feature_class	glycine_percent	alanine_percent	proline_percent	tyrosine_percent	valine_percent	histidine_percent	GGX_count	GGXGG_count	GGYGG_count	GGG_or_more_count	GY_or_YG_count	GH_or_HG_count	AAP_count	AAPA_or_AAPV_count	AP_or_PA_count	PV_or_PY_count	status	review_note
Aga_CPAP1-F	CPAP1-F	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	2	weak_CPH_feature_support	7.6	6.2	5.6	8.3	8.3	2.1	0	0	0	0	4	0	0	0	1	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-G	CPAP1-G	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	3	moderate_CPH_feature_support	3.3	5.4	7.2	7.5	4.2	3.6	0	0	0	0	1	0	0	0	3	3	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-H	CPAP1-H	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	3	moderate_CPG_feature_support	4	moderate_CPH_feature_support	5.2	8.4	10.7	5.7	6.7	1.1	8	1	0	1	1	2	3	0	22	10	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-J	CPAP1-J	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	1	weak_CPH_feature_support	4.6	4.6	3.4	2.3	5.2	3.4	0	0	0	0	1	1	0	0	0	1	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-K_iso1	CPAP1-K_iso1	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	4	moderate_CPH_feature_support	5.7	9.4	9.3	2.5	7.1	0.9	4	0	0	0	2	2	0	0	11	6	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-K_iso2	CPAP1-K_iso2	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	6.3	9.3	8.4	2.3	6.7	1.1	5	0	0	0	2	3	0	0	11	6	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-M	CPAP1-M	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	3	moderate_CPH_feature_support	7.3	6.3	9.5	5.7	6.0	6.7	4	0	0	0	1	2	0	0	4	1	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-N	CPAP1-N	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	4	moderate_CPH_feature_support	1.6	11.9	8.7	1.6	8.2	2.1	0	0	0	0	2	0	0	0	19	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-O	CPAP1-O	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	4	moderate_CPG_feature_support	5	strong_CPH_feature_support	8.6	6.3	9.1	3.5	9.3	2.2	9	1	0	3	3	3	1	0	13	17	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP3-A1b	CPAP3-A1b	Aga	Anopheles gambiae	CPAP3	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	2	weak_CPH_feature_support	6.9	4.4	8.9	4.0	5.2	1.6	0	0	0	0	0	0	0	0	1	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP3-A1c	CPAP3-A1c	Aga	Anopheles gambiae	CPAP3	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	1	weak_CPH_feature_support	6.7	5.8	7.5	4.2	5.4	1.7	1	0	0	0	0	0	0	0	2	1	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP3-B	CPAP3-B	Aga	Anopheles gambiae	CPAP3	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	4	moderate_CPH_feature_support	5.1	6.9	9.3	3.3	5.7	0.9	0	0	0	0	2	0	0	0	4	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP3-C	CPAP3-C	Aga	Anopheles gambiae	NULL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	1	weak_CPH_feature_support	8.7	10.7	5.2	5.2	5.2	2.8	1	0	0	0	3	0	0	0	2	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP3-D1	CPAP3-D1	Aga	Anopheles gambiae	CPAP3	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	3	moderate_CPH_feature_support	8.8	8.3	8.3	3.9	6.1	5.3	0	0	0	0	1	2	1	0	1	3	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP3-D2_iso1	CPAP3-D2_iso1	Aga	Anopheles gambiae	CPAP3	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	1	weak_CPH_feature_support	10.3	3.4	7.6	5.3	4.2	2.7	5	0	0	0	2	1	0	0	1	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP3-D2_iso2	CPAP3-D2_iso2	Aga	Anopheles gambiae	CPAP3	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	1	weak_CPH_feature_support	10.8	3.6	8.0	5.2	4.4	2.8	5	0	0	0	2	1	0	0	1	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP3-E	CPAP3-E	Aga	Anopheles gambiae	CPAP3	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	2	weak_CPH_feature_support	7.3	8.7	8.3	5.0	6.4	0.9	1	0	0	0	1	0	0	0	2	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPF1	CPF1	Aga	Anopheles gambiae	CPF	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	6	strong_CPH_feature_support	1.7	27.3	7.1	8.4	10.5	6.3	0	0	0	0	1	1	12	10	15	5	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPF2	CPF2	Aga	Anopheles gambiae	CPF	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	7	strong_CPH_feature_support	0.7	29.2	8.1	9.8	10.2	7.8	0	0	0	0	1	0	18	16	21	5	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPF3	CPF3	Aga	Anopheles gambiae	CPF	0.0	None	18.2	0.00037	-18.2	CPH	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	8.0	17.5	7.3	8.8	7.3	3.6	0	0	0	0	3	2	2	2	5	1	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPF4	CPF4	Aga	Anopheles gambiae	CPF	0.0	None	19.4	0.00016	-19.4	CPH	0	no_CPG_feature_support	5	strong_CPH_feature_support	5.6	30.9	7.9	9.6	10.1	7.3	2	0	0	0	2	1	8	6	13	1	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPFL1	CPFL1	Aga	Anopheles gambiae	CPFL	0.0	None	3.9	9.2	-3.9	CPH	0	no_CPG_feature_support	7	strong_CPH_feature_support	0.4	21.9	8.8	10.0	13.1	7.6	0	0	0	0	1	0	8	5	16	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPFL2	CPFL2	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	6	strong_CPH_feature_support	5.7	16.2	11.4	9.6	9.6	2.2	2	0	0	0	9	2	1	0	8	5	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPFL3	CPFL3	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	6	strong_CPH_feature_support	5.0	16.7	11.2	9.6	9.6	2.1	2	0	0	0	9	2	1	0	8	5	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPFL4	CPFL4	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	6	strong_CPH_feature_support	6.1	14.8	11.7	9.7	10.2	2.6	2	0	0	0	9	2	1	0	8	5	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPFL5	CPFL5	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	6	strong_CPH_feature_support	5.6	13.8	11.7	9.7	11.2	2.6	2	0	0	0	8	2	1	0	6	5	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPFL6	CPFL6	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	6	strong_CPH_feature_support	6.1	14.8	11.7	9.7	10.2	2.6	2	0	0	0	9	2	1	0	8	5	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPFL7	CPFL7	Aga	Anopheles gambiae	CPFL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	6	strong_CPH_feature_support	5.7	16.2	11.4	9.6	9.6	2.2	2	0	0	0	9	2	1	0	8	5	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLC#	CPLCG4	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	5	strong_CPH_feature_support	7.5	29.2	12.5	4.2	13.3	7.5	0	0	0	0	0	2	2	0	9	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLC8	CPLCG3	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	6	strong_CPH_feature_support	7.4	28.1	10.4	3.0	9.6	8.9	1	0	0	0	3	2	4	0	9	3	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCA1	CPLCA1	Aga	Anopheles gambiae	CPLCA	0.0	None	9.9	0.13	-9.9	CPH	0	no_CPG_feature_support	7	strong_CPH_feature_support	1.5	23.7	9.3	9.3	16.0	3.6	0	0	0	0	1	0	11	9	13	7	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCA2	CPLCA2	Aga	Anopheles gambiae	CPLCA	0.0	None	12.5	0.021	-12.5	CPH	0	no_CPG_feature_support	7	strong_CPH_feature_support	1.5	24.5	8.7	8.2	17.3	3.6	0	0	0	0	0	0	11	9	13	6	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCA3	CPLCA3	Aga	Anopheles gambiae	CPLCA	0.0	None	20.7	6.5e-05	-20.7	CPH	0	no_CPG_feature_support	6	strong_CPH_feature_support	1.6	21.1	8.6	8.6	10.2	4.7	0	0	0	0	0	0	2	2	5	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG1	CPLCG1	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	5	strong_CPH_feature_support	8.0	20.0	15.2	0.8	12.8	2.4	0	0	0	0	1	1	0	0	9	1	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG10	CPLCG10	Aga	Anopheles gambiae	CPLCG	0.0	None	5.4	3.2	-5.4	CPH	0	no_CPG_feature_support	7	strong_CPH_feature_support	2.5	27.0	9.2	6.7	18.4	1.8	0	0	0	0	0	1	4	2	14	3	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG11	CPLCG11	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	14.7	11.5	6.3	13.1	11.0	3.1	4	0	0	0	12	5	0	0	4	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG12	CPLCG12	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	6	strong_CPH_feature_support	2.5	27.0	8.6	6.1	18.4	1.8	0	0	0	0	0	1	3	1	13	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG13	CPLCG13	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	15.2	10.7	6.1	13.2	11.2	4.1	4	0	0	0	12	7	0	0	4	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG14	CPLCG14	Aga	Anopheles gambiae	CPLCG	0.0	None	9.1	0.22	-9.1	CPH	0	no_CPG_feature_support	7	strong_CPH_feature_support	4.3	25.4	8.7	8.7	17.4	3.6	0	0	0	0	2	1	3	1	9	3	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG15	CPLCG15	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	7	strong_CPH_feature_support	5.6	21.8	8.1	6.5	15.3	2.4	0	0	0	0	0	1	2	1	7	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG16	CPLCG16	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	7	strong_CPH_feature_support	2.4	27.2	8.9	9.5	16.0	3.6	0	0	0	0	1	2	4	3	12	3	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG17	CPLCG17	Aga	Anopheles gambiae	CPLCG	22.8	1.2e-05	0.0	None	22.8	CPG	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	15.7	11.7	6.1	13.2	11.7	4.1	4	0	0	0	13	7	0	0	4	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG18	CPLCG18	Aga	Anopheles gambiae	CPLCG	20.7	5.6e-05	0.0	None	20.7	CPG	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	15.6	10.2	5.9	12.7	10.7	4.9	4	0	0	0	13	8	0	0	4	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG19	CPLCG19	Aga	Anopheles gambiae	CPLCG	18.6	0.00024	0.0	None	18.6	CPG	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	17.3	10.7	6.0	13.1	10.1	4.8	3	0	0	0	11	7	0	0	3	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG2	CPLCG2	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	3	moderate_CPH_feature_support	9.3	10.2	13.9	5.6	6.5	3.7	0	0	0	0	0	1	0	0	1	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG20	CPLCG20	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	7	strong_CPH_feature_support	5.2	18.1	8.6	9.5	16.3	1.3	1	0	0	0	17	2	5	4	38	15	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG21	CPLCG21	Aga	Anopheles gambiae	CPLCG	5.7	2.1	0.0	None	5.7	CPG	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	17.2	11.0	5.7	13.2	10.6	5.3	4	0	0	0	16	10	0	0	3	5	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG22	CPLCG22	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	7	strong_CPH_feature_support	2.0	21.0	10.1	8.9	19.0	0.8	0	0	0	0	0	1	2	2	17	6	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG23	CPLCG23	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	4	moderate_CPH_feature_support	4.5	29.3	10.5	9.0	3.8	2.3	0	0	0	0	1	1	4	0	12	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG24	CPLCG24	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	4	moderate_CPH_feature_support	3.8	29.3	10.5	9.0	3.8	2.3	0	0	0	0	1	1	4	0	12	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG25	CPLCG25	Aga	Anopheles gambiae	CPLCG	13.7	0.0077	0.0	None	13.7	CPG	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	16.2	11.2	6.1	13.2	11.2	4.1	4	0	0	0	13	7	0	0	4	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG26	CPLCG26	Aga	Anopheles gambiae	CPLCG	19.1	0.00017	0.0	None	19.1	CPG	2	weak_CPG_feature_support	2	weak_CPH_feature_support	16.2	10.6	6.6	13.1	10.6	4.0	4	0	0	0	14	7	0	0	2	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG27	CPLCG27	Aga	Anopheles gambiae	CPLCG	17.6	0.0005	0.0	None	17.6	CPG	2	weak_CPG_feature_support	2	weak_CPH_feature_support	16.7	11.3	5.4	13.1	10.1	4.8	3	0	0	0	10	7	0	0	2	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG3	CPLCG3	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	6	strong_CPH_feature_support	7.4	28.1	10.4	3.0	9.6	8.9	1	0	0	0	3	2	4	0	9	3	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG4	CPLCG4	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	5	strong_CPH_feature_support	7.5	29.2	12.5	4.2	13.3	7.5	0	0	0	0	0	2	2	0	9	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG5	CPLCG5	Aga	Anopheles gambiae	CPLCG	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	6	strong_CPH_feature_support	8.6	32.4	10.8	10.1	10.1	6.5	0	0	0	0	5	1	2	0	7	6	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG6	CPLCG6	Aga	Anopheles gambiae	CPLCG	17.4	0.00058	0.0	None	17.4	CPG	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	15.7	11.2	6.1	13.2	11.2	4.1	3	0	0	0	12	7	0	0	4	5	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG7	CPLCG7	Aga	Anopheles gambiae	CPLCG	0.0	None	6.8	1.2	-6.8	CPH	0	no_CPG_feature_support	7	strong_CPH_feature_support	2.5	27.6	9.2	6.7	18.4	1.8	0	0	0	0	0	1	4	3	14	3	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG8	CPLCG8	Aga	Anopheles gambiae	CPLCG	16.9	0.00082	0.0	None	16.9	CPG	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	16.5	11.7	6.4	13.8	10.1	4.3	4	0	0	0	13	7	0	0	4	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCG9	CPLCG9	Aga	Anopheles gambiae	CPLCG	14.9	0.0034	0.0	None	14.9	CPG	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	16.1	11.3	6.0	13.1	10.1	4.2	3	0	0	0	10	6	0	0	3	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCP1	CPLCP1	Aga	Anopheles gambiae	CPLCP	14.3	0.005	28.8	2.1e-07	-14.5	CPH	0	no_CPG_feature_support	4	moderate_CPH_feature_support	6.7	4.5	11.2	4.5	23.6	6.7	4	0	0	0	0	2	0	0	0	19	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCP10	CPLCP10	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	5	strong_CPH_feature_support	2.5	3.1	19.2	5.8	24.2	9.2	1	0	0	0	1	1	0	0	3	63	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCP11	CPLCP11	Aga	Anopheles gambiae	CPLCP	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	5	strong_CPH_feature_support	2.3	3.4	19.8	7.2	23.2	10.9	1	0	0	0	0	3	1	0	5	61	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCP12	CPLCP12	Aga	Anopheles gambiae	CPLCP	21.0	4.5e-05	0.0	None	21.0	CPG	2	weak_CPG_feature_support	4	moderate_CPH_feature_support	4.7	2.8	17.6	8.5	22.0	9.1	3	0	0	1	5	3	0	0	1	59	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCP13	CPLCP13	Aga	Anopheles gambiae	CPLCP	0.0	None	17.5	0.00062	-17.5	CPH	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	3.2	4.3	11.4	9.7	20.5	4.3	0	0	0	0	3	1	0	0	0	18	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPLCP14	CPLCP14	Aga	Anopheles gambiae	CPLCP	0.0	None	16.9	0.00093	-16.9	CPH	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	3.2	4.3	11.4	9.7	20.0	4.3	0	0	0	0	3	1	0	0	0	18	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
