protein_id	length	glycine_percent	histidine_percent	alanine_percent	proline_percent	tyrosine_percent	valine_percent	lysine_percent	GGX_count	GGXGG_count	GGYGG_count	GGG_or_more_count	GY_or_YG_count	GH_or_HG_count	AAP_count	AAPA_or_AAPV_count	AP_or_PA_count	PV_or_PY_count	H_cluster_3_in_20_count	CPG_feature_score	CPG_feature_class	CPH_feature_score	CPH_feature_class	weird_characters
Aga_CPF4	178	5.6	7.3	30.9	7.9	9.6	10.1	3.4	2	0	0	0	2	1	8	6	13	1	3	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPFL1	251	0.4	7.6	21.9	8.8	10.0	13.1	6.0	0	0	0	0	1	0	8	5	16	4	2	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPFL2	229	5.7	2.2	16.2	11.4	9.6	9.6	7.0	2	0	0	0	9	2	1	0	8	5	0	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPFL3	240	5.0	2.1	16.7	11.2	9.6	9.6	6.7	2	0	0	0	9	2	1	0	8	5	0	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPFL4	196	6.1	2.6	14.8	11.7	9.7	10.2	6.1	2	0	0	0	9	2	1	0	8	5	0	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPFL5	196	5.6	2.6	13.8	11.7	9.7	11.2	6.1	2	0	0	0	8	2	1	0	6	5	0	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPFL6	196	6.1	2.6	14.8	11.7	9.7	10.2	6.1	2	0	0	0	9	2	1	0	8	5	0	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPFL7	229	5.7	2.2	16.2	11.4	9.6	9.6	6.6	2	0	0	0	9	2	1	0	8	5	0	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPLC#	120	7.5	7.5	29.2	12.5	4.2	13.3	0.8	0	0	0	0	0	2	2	0	9	2	0	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPLC8	135	7.4	8.9	28.1	10.4	3.0	9.6	0.7	1	0	0	0	3	2	4	0	9	3	1	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPLCA1	194	1.5	3.6	23.7	9.3	9.3	16.0	5.2	0	0	0	0	1	0	11	9	13	7	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCA2	196	1.5	3.6	24.5	8.7	8.2	17.3	5.1	0	0	0	0	0	0	11	9	13	6	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCA3	128	1.6	4.7	21.1	8.6	8.6	10.2	5.5	0	0	0	0	0	0	2	2	5	0	1	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPLCG1	125	8.0	2.4	20.0	15.2	0.8	12.8	0.8	0	0	0	0	1	1	0	0	9	1	0	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPLCG10	163	2.5	1.8	27.0	9.2	6.7	18.4	1.8	0	0	0	0	0	1	4	2	14	3	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCG11	191	14.7	3.1	11.5	6.3	13.1	11.0	3.7	4	0	0	0	12	5	0	0	4	4	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCG12	163	2.5	1.8	27.0	8.6	6.1	18.4	1.8	0	0	0	0	0	1	3	1	13	2	0	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPLCG13	197	15.2	4.1	10.7	6.1	13.2	11.2	3.6	4	0	0	0	12	7	0	0	4	4	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPLCG14	138	4.3	3.6	25.4	8.7	8.7	17.4	1.4	0	0	0	0	2	1	3	1	9	3	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCG15	124	5.6	2.4	21.8	8.1	6.5	15.3	1.6	0	0	0	0	0	1	2	1	7	4	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCG16	169	2.4	3.6	27.2	8.9	9.5	16.0	3.0	0	0	0	0	1	2	4	3	12	3	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCG17	197	15.7	4.1	11.7	6.1	13.2	11.7	3.6	4	0	0	0	13	7	0	0	4	4	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPLCG18	205	15.6	4.9	10.2	5.9	12.7	10.7	3.4	4	0	0	0	13	8	0	0	4	4	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPLCG19	168	17.3	4.8	10.7	6.0	13.1	10.1	3.0	3	0	0	0	11	7	0	0	3	4	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPLCG2	108	9.3	3.7	10.2	13.9	5.6	6.5	0.0	0	0	0	0	0	1	0	0	1	4	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPLCG20	619	5.2	1.3	18.1	8.6	9.5	16.3	4.0	1	0	0	0	17	2	5	4	38	15	0	1	weak_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCG21	227	17.2	5.3	11.0	5.7	13.2	10.6	3.1	4	0	0	0	16	10	0	0	3	5	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPLCG22	248	2.0	0.8	21.0	10.1	8.9	19.0	3.6	0	0	0	0	0	1	2	2	17	6	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCG23	133	4.5	2.3	29.3	10.5	9.0	3.8	2.3	0	0	0	0	1	1	4	0	12	2	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCG24	133	3.8	2.3	29.3	10.5	9.0	3.8	2.3	0	0	0	0	1	1	4	0	12	2	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCG25	197	16.2	4.1	11.2	6.1	13.2	11.2	3.6	4	0	0	0	13	7	0	0	4	4	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPLCG26	198	16.2	4.0	10.6	6.6	13.1	10.6	3.5	4	0	0	0	14	7	0	0	2	4	0	2	weak_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPLCG27	168	16.7	4.8	11.3	5.4	13.1	10.1	3.0	3	0	0	0	10	7	0	0	2	4	0	2	weak_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPLCG3	135	7.4	8.9	28.1	10.4	3.0	9.6	0.7	1	0	0	0	3	2	4	0	9	3	1	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPLCG4	120	7.5	7.5	29.2	12.5	4.2	13.3	0.8	0	0	0	0	0	2	2	0	9	2	0	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPLCG5	139	8.6	6.5	32.4	10.8	10.1	10.1	1.4	0	0	0	0	5	1	2	0	7	6	1	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPLCG6	197	15.7	4.1	11.2	6.1	13.2	11.2	3.6	3	0	0	0	12	7	0	0	4	5	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPLCG7	163	2.5	1.8	27.6	9.2	6.7	18.4	1.8	0	0	0	0	0	1	4	3	14	3	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCG8	188	16.5	4.3	11.7	6.4	13.8	10.1	3.2	4	0	0	0	13	7	0	0	4	4	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPLCG9	168	16.1	4.2	11.3	6.0	13.1	10.1	3.0	3	0	0	0	10	6	0	0	3	4	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPLCP1	178	6.7	6.7	4.5	11.2	4.5	23.6	14.6	4	0	0	0	0	2	0	0	0	19	2	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP10	360	2.5	9.2	3.1	19.2	5.8	24.2	11.4	1	0	0	0	1	1	0	0	3	63	4	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPLCP11	349	2.3	10.9	3.4	19.8	7.2	23.2	10.9	1	0	0	0	0	3	1	0	5	61	4	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPLCP12	386	4.7	9.1	2.8	17.6	8.5	22.0	9.6	3	0	0	1	5	3	0	0	1	59	3	2	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP13	185	3.2	4.3	4.3	11.4	9.7	20.5	14.1	0	0	0	0	3	1	0	0	0	18	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP14	185	3.2	4.3	4.3	11.4	9.7	20.0	14.1	0	0	0	0	3	1	0	0	0	18	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP15	185	3.8	5.4	3.8	11.4	8.6	23.8	13.5	0	0	0	0	3	1	0	0	0	18	1	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP16	185	3.8	5.4	3.2	10.8	8.6	23.8	13.5	0	0	0	0	3	1	0	0	0	18	1	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP17	185	3.2	4.3	4.3	11.4	9.7	20.5	14.1	0	0	0	0	3	1	0	0	0	18	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP18	185	3.8	5.4	3.8	10.8	8.6	23.8	13.5	0	0	0	0	3	1	0	0	0	18	1	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP19	185	3.8	5.4	3.8	10.8	8.6	23.8	13.5	0	0	0	0	3	1	0	0	0	18	1	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP2	688	6.1	5.8	4.9	9.6	5.5	11.3	9.7	4	0	0	0	9	3	0	0	6	37	3	1	weak_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPLCP20	185	3.8	3.8	2.7	11.9	9.7	22.2	13.5	0	0	0	0	3	1	0	0	0	19	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP21	185	3.2	5.4	4.9	10.8	8.6	22.2	14.1	0	0	0	0	3	1	0	0	0	18	1	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP22	185	3.8	5.4	3.2	10.8	8.6	24.3	13.5	0	0	0	0	3	1	0	0	0	18	1	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP23	185	3.8	5.4	3.8	10.8	8.6	23.8	13.5	0	0	0	0	3	1	0	0	0	18	1	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP24	224	2.7	5.4	0.9	11.2	10.3	18.8	10.7	1	0	0	0	2	1	0	0	0	15	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP25	176	2.8	4.5	5.7	10.8	9.7	22.7	14.8	0	0	0	0	3	0	0	0	0	18	1	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP26	182	3.3	4.9	3.8	12.1	8.2	22.5	13.2	0	0	0	0	2	1	0	0	0	19	1	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP27	176	4.5	4.5	4.5	10.8	10.2	24.4	10.2	1	0	0	0	6	0	0	0	0	17	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP28	235	5.5	5.1	13.2	19.1	5.1	17.0	6.4	0	0	0	0	2	1	2	2	9	28	2	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCP3	346	1.4	6.6	2.0	15.3	9.0	22.0	15.0	1	0	0	0	0	1	0	0	2	42	3	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP4	209	2.9	3.8	6.2	13.9	2.9	15.8	10.5	0	0	0	0	0	0	0	0	1	14	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP5	271	5.5	6.6	4.4	8.5	4.8	11.4	6.6	0	0	0	0	4	2	0	0	0	12	2	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP6	165	0.6	7.9	1.8	14.5	5.5	26.1	15.2	0	0	0	0	0	0	0	0	0	22	2	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP7	368	3.5	9.8	4.9	8.4	5.4	15.2	10.3	1	0	0	0	4	2	0	0	2	20	5	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP8	193	4.1	8.8	4.7	11.4	5.7	22.8	13.0	0	0	0	0	2	3	0	0	1	18	2	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCP9	491	0.6	8.1	4.7	11.0	9.0	15.9	10.8	0	0	0	0	2	2	0	0	1	38	7	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCW1	153	9.2	0.7	10.5	6.5	13.7	15.0	7.2	1	0	0	0	10	1	0	0	6	6	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCW2	164	11.0	0.6	9.8	6.1	14.0	14.6	7.3	1	0	0	0	13	1	0	0	6	6	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCW4	171	12.9	0.6	8.8	5.8	14.0	14.0	6.4	1	0	0	0	15	1	0	0	6	6	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCW5	106	5.7	0.9	11.3	7.5	13.2	14.2	6.6	0	0	0	0	6	0	0	0	4	4	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCW7	161	11.2	0.6	8.7	6.2	14.3	13.7	7.5	1	0	0	0	13	1	0	0	5	5	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCW8	175	12.0	0.6	9.1	5.7	14.3	14.3	7.4	1	0	0	0	15	1	0	0	6	6	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCW9	169	10.1	0.6	10.1	6.5	13.6	14.8	7.1	1	0	0	0	13	0	0	0	7	7	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPLCX1	132	2.3	1.5	34.8	10.6	10.6	14.4	2.3	0	0	0	0	0	0	6	3	11	8	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCX2	124	0.8	16.1	16.9	11.3	0.8	30.6	4.0	0	0	0	0	0	0	2	1	10	11	4	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPLCX3	138	2.9	5.8	35.5	11.6	13.8	11.6	3.6	0	0	0	0	3	1	7	6	14	6	0	1	weak_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPR1	204	3.4	2.5	27.5	8.3	5.9	13.2	4.9	0	0	0	0	1	0	8	7	11	6	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPR10	200	7.0	2.5	5.5	2.5	5.5	8.5	1.0	0	0	0	0	2	1	0	0	2	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPR100	231	3.9	16.5	17.7	6.9	3.9	8.7	2.6	0	0	0	0	0	5	6	1	10	4	9	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR101	152	7.2	9.9	8.6	4.6	7.9	8.6	5.9	1	0	0	0	2	4	0	0	0	0	2	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPR102	124	8.9	0.8	5.6	6.5	4.8	14.5	1.6	0	0	0	0	2	0	0	0	1	1	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPR103	134	7.5	2.2	4.5	5.2	6.7	9.7	3.7	0	0	0	0	1	0	0	0	1	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPR104	131	11.5	1.5	5.3	6.9	5.3	7.6	3.8	2	0	0	0	0	0	0	0	1	0	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Aga_CPR105	105	5.7	1.9	11.4	3.8	4.8	6.7	5.7	0	0	0	0	0	0	0	0	2	0	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Aga_CPR106	150	7.3	1.3	12.7	9.3	4.7	4.7	2.7	2	0	0	0	0	0	1	0	4	0	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPR107	180	3.3	9.4	11.7	7.8	7.2	12.8	6.7	0	0	0	0	0	3	0	0	8	2	2	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPR108	135	3.7	5.2	18.5	5.9	8.1	15.6	5.9	0	0	0	0	1	1	1	0	4	4	0	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPR109	231	3.5	16.5	17.7	7.4	3.9	8.2	2.6	0	0	0	0	0	4	5	2	10	3	9	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR11	147	9.5	1.4	13.6	6.8	3.4	5.4	1.4	1	0	0	1	0	0	0	0	2	0	0	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPR110	188	3.7	7.4	21.8	7.4	6.4	18.6	2.7	0	0	0	0	0	0	2	2	11	6	2	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR111	325	2.5	1.8	32.0	8.6	6.8	4.9	3.7	1	0	0	0	1	0	8	5	17	7	0	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR112	164	4.3	3.7	8.5	7.3	5.5	14.0	5.5	0	0	0	0	2	0	1	0	2	1	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPR113	322	11.2	2.2	9.9	12.7	7.8	2.2	1.2	4	0	0	0	6	0	0	0	12	1	0	1	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPR114	164	6.1	7.9	17.7	8.5	6.7	12.2	5.5	0	0	0	0	4	3	4	3	7	5	1	1	weak_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPR115	186	7.0	3.2	24.7	10.2	9.7	10.8	4.3	0	0	0	0	2	0	4	0	13	3	1	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR116	128	7.8	0.8	15.6	9.4	4.7	16.4	2.3	0	0	0	0	0	1	0	0	4	4	0	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR117	162	6.8	1.9	22.2	9.9	8.6	13.6	4.9	0	0	0	0	3	0	3	1	10	5	0	1	weak_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPR118	193	7.3	3.6	24.9	10.4	9.8	10.4	4.1	0	0	0	0	2	0	4	0	14	3	1	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR119	193	7.3	3.6	24.9	10.4	9.8	10.4	4.1	0	0	0	0	2	0	4	0	14	3	1	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR12	146	6.8	5.5	13.7	7.5	4.8	6.8	2.7	0	0	0	0	0	1	0	0	0	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPR120	186	7.0	3.2	24.7	10.2	9.1	10.2	4.3	0	0	0	0	2	0	4	0	13	3	1	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR121	193	7.3	3.6	24.4	10.4	9.8	10.9	4.1	0	0	0	0	2	0	4	0	14	3	1	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR122	138	7.2	0.7	21.7	8.7	8.0	13.8	3.6	0	0	0	0	3	0	3	0	7	3	0	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPR123	155	7.1	1.3	21.3	9.7	8.4	14.2	5.2	0	0	0	0	3	0	3	1	8	5	0	1	weak_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPR124	244	2.0	0.0	32.0	10.7	5.7	14.8	2.9	0	0	0	0	0	0	10	6	20	9	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPR125	227	7.5	2.6	11.5	14.5	7.9	4.4	2.6	2	0	0	0	2	0	2	2	14	5	0	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPR126	357	7.0	3.4	11.2	15.1	5.6	6.4	5.0	1	0	0	0	5	0	5	2	19	4	2	1	weak_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPR127	224	6.7	2.7	7.6	11.6	9.8	3.6	4.0	1	0	0	0	3	0	0	0	6	3	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPR128	100	8.0	0.0	8.0	5.0	6.0	12.0	9.0	1	0	0	0	0	0	1	0	1	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPR129	243	5.8	1.2	6.2	9.1	5.3	4.9	6.6	1	0	0	0	2	0	0	0	3	1	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
