protein_id	length	proline_percent	valine_percent	tyrosine_percent	lysine_percent	histidine_percent	glycine_percent	acidic_polar_percent_full	acidic_polar_percent_Nterm80	histidine_percent_Cterm80	PV_count	PY_count	GLWD_or_GLWE_count	H_cluster_3_in_20_count	GYH_rich_short_count	CPLCP_feature_score	CPLCP_feature_class	weird_characters
Aga_CPAP3-D2_iso1	262	7.6	4.2	5.3	3.8	2.7	10.3	37.0	32.5	0.0	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPAP3-D2_iso2	251	8.0	4.4	5.2	4.0	2.8	10.8	35.1	32.5	0.0	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPAP3-E	218	8.3	6.4	5.0	3.2	0.9	7.3	30.3	30.0	0.0	2	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPF1	238	7.1	10.5	8.4	3.8	6.3	1.7	25.6	20.0	11.2	5	0	0	4	0	3	moderate_CPLCP_feature_support	
Aga_CPF2	295	8.1	10.2	9.8	3.1	7.8	0.7	24.7	20.0	12.5	4	1	0	4	0	3	moderate_CPLCP_feature_support	
Aga_CPF3	137	7.3	7.3	8.8	2.2	3.6	8.0	26.3	35.0	5.0	0	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPF4	178	7.9	10.1	9.6	3.4	7.3	5.6	14.6	27.5	8.8	1	0	0	3	0	3	moderate_CPLCP_feature_support	
Aga_CPFL1	251	8.8	13.1	10.0	6.0	7.6	0.4	24.3	22.5	8.8	4	0	0	2	0	3	moderate_CPLCP_feature_support	
Aga_CPFL2	229	11.4	9.6	9.6	7.0	2.2	5.7	22.7	25.0	1.2	4	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPFL3	240	11.2	9.6	9.6	6.7	2.1	5.0	23.8	25.0	1.2	4	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPFL4	196	11.7	10.2	9.7	6.1	2.6	6.1	22.4	25.0	1.2	4	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPFL5	196	11.7	11.2	9.7	6.1	2.6	5.6	23.0	25.0	1.2	4	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPFL6	196	11.7	10.2	9.7	6.1	2.6	6.1	22.4	25.0	1.2	4	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPFL7	229	11.4	9.6	9.6	6.6	2.2	5.7	23.1	25.0	1.2	4	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPLC#	120	12.5	13.3	4.2	0.8	7.5	7.5	10.8	3.8	11.2	1	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPLC8	135	10.4	9.6	3.0	0.7	8.9	7.4	13.3	8.8	10.0	0	3	0	1	0	4	moderate_CPLCP_feature_support	
Aga_CPLCA1	194	9.3	16.0	9.3	5.2	3.6	1.5	23.2	26.2	2.5	7	0	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPLCA2	196	8.7	17.3	8.2	5.1	3.6	1.5	23.0	25.0	2.5	6	0	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPLCA3	128	8.6	10.2	8.6	5.5	4.7	1.6	22.7	25.0	7.5	0	0	0	1	0	4	moderate_CPLCP_feature_support	
Aga_CPLCG1	125	15.2	12.8	0.8	0.8	2.4	8.0	20.8	17.5	3.8	1	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPLCG10	163	9.2	18.4	6.7	1.8	1.8	2.5	22.1	20.0	2.5	3	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPLCG11	191	6.3	11.0	13.1	3.7	3.1	14.7	22.0	25.0	5.0	1	3	0	0	2	3	moderate_CPLCP_feature_support	
Aga_CPLCG12	163	8.6	18.4	6.1	1.8	1.8	2.5	22.7	20.0	2.5	2	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPLCG13	197	6.1	11.2	13.2	3.6	4.1	15.2	21.8	26.2	6.2	1	3	0	0	2	3	moderate_CPLCP_feature_support	
Aga_CPLCG14	138	8.7	17.4	8.7	1.4	3.6	4.3	21.0	20.0	6.2	1	2	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPLCG15	124	8.1	15.3	6.5	1.6	2.4	5.6	23.4	22.5	2.5	3	1	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPLCG16	169	8.9	16.0	9.5	3.0	3.6	2.4	22.5	25.0	5.0	3	0	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPLCG17	197	6.1	11.7	13.2	3.6	4.1	15.7	20.3	22.5	6.2	1	3	0	0	3	2	weak_CPLCP_feature_support	
Aga_CPLCG18	205	5.9	10.7	12.7	3.4	4.9	15.6	20.0	20.0	6.2	1	3	0	0	3	2	weak_CPLCP_feature_support	
Aga_CPLCG19	168	6.0	10.1	13.1	3.0	4.8	17.3	20.2	23.8	6.2	1	3	0	0	2	2	weak_CPLCP_feature_support	
Aga_CPLCG2	108	13.9	6.5	5.6	0.0	3.7	9.3	22.2	21.2	5.0	2	2	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPLCG20	619	8.6	16.3	9.5	4.0	1.3	5.2	26.0	18.8	2.5	14	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPLCG21	227	5.7	10.6	13.2	3.1	5.3	17.2	20.3	22.5	7.5	2	3	0	0	3	2	weak_CPLCP_feature_support	
Aga_CPLCG22	248	10.1	19.0	8.9	3.6	0.8	2.0	29.0	28.8	2.5	6	0	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPLCG23	133	10.5	3.8	9.0	2.3	2.3	4.5	18.8	13.8	2.5	0	2	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPLCG24	133	10.5	3.8	9.0	2.3	2.3	3.8	19.5	13.8	2.5	0	2	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPLCG25	197	6.1	11.2	13.2	3.6	4.1	16.2	20.8	23.8	6.2	1	3	0	0	3	2	weak_CPLCP_feature_support	
Aga_CPLCG26	198	6.6	10.6	13.1	3.5	4.0	16.2	21.2	23.8	6.2	1	3	0	0	3	2	weak_CPLCP_feature_support	
Aga_CPLCG27	168	5.4	10.1	13.1	3.0	4.8	16.7	20.2	23.8	6.2	1	3	0	0	2	2	weak_CPLCP_feature_support	
Aga_CPLCG3	135	10.4	9.6	3.0	0.7	8.9	7.4	13.3	8.8	10.0	0	3	0	1	0	4	moderate_CPLCP_feature_support	
Aga_CPLCG4	120	12.5	13.3	4.2	0.8	7.5	7.5	10.8	3.8	11.2	1	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPLCG5	139	10.8	10.1	10.1	1.4	6.5	8.6	10.1	5.0	8.8	0	6	0	1	0	4	moderate_CPLCP_feature_support	
Aga_CPLCG6	197	6.1	11.2	13.2	3.6	4.1	15.7	21.3	23.8	6.2	2	3	0	0	2	2	weak_CPLCP_feature_support	
Aga_CPLCG7	163	9.2	18.4	6.7	1.8	1.8	2.5	21.5	18.8	2.5	3	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPLCG8	188	6.4	10.1	13.8	3.2	4.3	16.5	20.2	23.8	6.2	1	3	0	0	3	2	weak_CPLCP_feature_support	
Aga_CPLCG9	168	6.0	10.1	13.1	3.0	4.2	16.1	20.8	25.0	6.2	1	3	0	0	1	3	moderate_CPLCP_feature_support	
Aga_CPLCP1	178	11.2	23.6	4.5	14.6	6.7	6.7	16.3	20.0	7.5	15	4	0	2	0	5	strong_CPLCP_feature_support	
Aga_CPLCP10	360	19.2	24.2	5.8	11.4	9.2	2.5	16.9	32.5	20.0	47	16	0	4	0	6	strong_CPLCP_feature_support	
Aga_CPLCP11	349	19.8	23.2	7.2	10.9	10.9	2.3	14.3	28.8	17.5	44	17	0	4	0	6	strong_CPLCP_feature_support	
Aga_CPLCP12	386	17.6	22.0	8.5	9.6	9.1	4.7	17.4	21.2	22.5	38	21	0	3	2	5	strong_CPLCP_feature_support	
Aga_CPLCP13	185	11.4	20.5	9.7	14.1	4.3	3.2	22.7	32.5	5.0	13	5	1	0	0	6	strong_CPLCP_feature_support	
Aga_CPLCP14	185	11.4	20.0	9.7	14.1	4.3	3.2	22.7	32.5	5.0	13	5	1	0	0	6	strong_CPLCP_feature_support	
Aga_CPLCP15	185	11.4	23.8	8.6	13.5	5.4	3.8	21.6	31.2	7.5	13	5	1	1	0	7	strong_CPLCP_feature_support	
Aga_CPLCP16	185	10.8	23.8	8.6	13.5	5.4	3.8	22.7	33.8	7.5	13	5	1	1	0	7	strong_CPLCP_feature_support	
Aga_CPLCP17	185	11.4	20.5	9.7	14.1	4.3	3.2	22.7	32.5	5.0	13	5	1	0	0	6	strong_CPLCP_feature_support	
Aga_CPLCP18	185	10.8	23.8	8.6	13.5	5.4	3.8	22.2	32.5	7.5	13	5	1	1	0	7	strong_CPLCP_feature_support	
Aga_CPLCP19	185	10.8	23.8	8.6	13.5	5.4	3.8	22.2	32.5	7.5	13	5	1	1	0	7	strong_CPLCP_feature_support	
Aga_CPLCP2	688	9.6	11.3	5.5	9.7	5.8	6.1	37.1	27.5	2.5	23	14	0	3	1	5	strong_CPLCP_feature_support	
Aga_CPLCP20	185	11.9	22.2	9.7	13.5	3.8	3.8	23.2	33.8	5.0	14	5	1	0	0	6	strong_CPLCP_feature_support	
Aga_CPLCP21	185	10.8	22.2	8.6	14.1	5.4	3.2	22.2	32.5	7.5	13	5	1	1	0	7	strong_CPLCP_feature_support	
Aga_CPLCP22	185	10.8	24.3	8.6	13.5	5.4	3.8	22.2	32.5	7.5	13	5	1	1	0	7	strong_CPLCP_feature_support	
Aga_CPLCP23	185	10.8	23.8	8.6	13.5	5.4	3.8	22.2	32.5	7.5	13	5	1	1	0	7	strong_CPLCP_feature_support	
Aga_CPLCP24	224	11.2	18.8	10.3	10.7	5.4	2.7	31.2	45.0	2.5	10	5	0	0	0	4	moderate_CPLCP_feature_support	
Aga_CPLCP25	176	10.8	22.7	9.7	14.8	4.5	2.8	19.3	25.0	7.5	13	5	1	1	0	7	strong_CPLCP_feature_support	
Aga_CPLCP26	182	12.1	22.5	8.2	13.2	4.9	3.3	20.3	27.5	6.2	13	6	1	1	0	7	strong_CPLCP_feature_support	
Aga_CPLCP27	176	10.8	24.4	10.2	10.2	4.5	4.5	22.7	28.8	6.2	13	4	0	0	0	5	strong_CPLCP_feature_support	
Aga_CPLCP28	235	19.1	17.0	5.1	6.4	5.1	5.5	13.6	23.8	3.8	20	8	0	2	0	4	moderate_CPLCP_feature_support	
Aga_CPLCP3	346	15.3	22.0	9.0	15.0	6.6	1.4	21.1	32.5	12.5	16	26	0	3	0	6	strong_CPLCP_feature_support	
Aga_CPLCP4	209	13.9	15.8	2.9	10.5	3.8	2.9	21.1	26.2	2.5	10	4	0	0	0	4	moderate_CPLCP_feature_support	
Aga_CPLCP5	271	8.5	11.4	4.8	6.6	6.6	5.5	28.4	25.0	3.8	9	3	0	2	1	5	strong_CPLCP_feature_support	
Aga_CPLCP6	165	14.5	26.1	5.5	15.2	7.9	0.6	17.6	23.8	8.8	17	5	0	2	0	5	strong_CPLCP_feature_support	
Aga_CPLCP7	368	8.4	15.2	5.4	10.3	9.8	3.5	31.5	28.8	8.8	14	6	0	5	0	6	strong_CPLCP_feature_support	
Aga_CPLCP8	193	11.4	22.8	5.7	13.0	8.8	4.1	20.2	26.2	12.5	13	5	1	2	0	7	strong_CPLCP_feature_support	
Aga_CPLCP9	491	11.0	15.9	9.0	10.8	8.1	0.6	31.2	40.0	20.0	19	19	0	7	0	6	strong_CPLCP_feature_support	
Aga_CPLCW1	153	6.5	15.0	13.7	7.2	0.7	9.2	22.2	22.5	0.0	5	1	0	0	1	1	weak_CPLCP_feature_support	
Aga_CPLCW2	164	6.1	14.6	14.0	7.3	0.6	11.0	21.3	21.2	0.0	5	1	0	0	1	1	weak_CPLCP_feature_support	
Aga_CPLCW4	171	5.8	14.0	14.0	6.4	0.6	12.9	22.2	21.2	0.0	5	1	0	0	1	1	weak_CPLCP_feature_support	
Aga_CPLCW5	106	7.5	14.2	13.2	6.6	0.9	5.7	23.6	22.5	1.2	3	1	0	0	0	0	no_CPLCP_feature_support	
Aga_CPLCW7	161	6.2	13.7	14.3	7.5	0.6	11.2	21.7	21.2	0.0	4	1	0	0	1	0	no_CPLCP_feature_support	
Aga_CPLCW8	175	5.7	14.3	14.3	7.4	0.6	12.0	21.1	21.2	0.0	5	1	0	0	1	1	weak_CPLCP_feature_support	
Aga_CPLCW9	169	6.5	14.8	13.6	7.1	0.6	10.1	21.9	22.5	0.0	6	1	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPLCX1	132	10.6	14.4	10.6	2.3	1.5	2.3	14.4	13.8	0.0	5	3	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPLCX2	124	11.3	30.6	0.8	4.0	16.1	0.8	10.5	10.0	20.0	11	0	0	4	0	4	moderate_CPLCP_feature_support	
Aga_CPLCX3	138	11.6	11.6	13.8	3.6	5.8	2.9	7.2	7.5	7.5	5	1	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPR1	204	8.3	13.2	5.9	4.9	2.5	3.4	22.5	12.5	3.8	6	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR10	200	2.5	8.5	5.5	1.0	2.5	7.0	43.5	48.8	5.0	0	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR100	231	6.9	8.7	3.9	2.6	16.5	3.9	24.7	22.5	23.8	4	0	0	9	0	2	weak_CPLCP_feature_support	
Aga_CPR101	152	4.6	8.6	7.9	5.9	9.9	7.2	32.2	33.8	12.5	0	0	0	2	0	3	moderate_CPLCP_feature_support	
Aga_CPR102	124	6.5	14.5	4.8	1.6	0.8	8.9	31.5	33.8	0.0	1	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR103	134	5.2	9.7	6.7	3.7	2.2	7.5	32.8	35.0	1.2	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR104	131	6.9	7.6	5.3	3.8	1.5	11.5	33.6	36.2	1.2	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR105	105	3.8	6.7	4.8	5.7	1.9	5.7	36.2	35.0	2.5	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR106	150	9.3	4.7	4.7	2.7	1.3	7.3	36.7	38.8	2.5	0	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR107	180	7.8	12.8	7.2	6.7	9.4	3.3	26.7	25.0	8.8	2	0	0	2	0	3	moderate_CPLCP_feature_support	
Aga_CPR108	135	5.9	15.6	8.1	5.9	5.2	3.7	21.5	27.5	3.8	4	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR109	231	7.4	8.2	3.9	2.6	16.5	3.5	24.7	22.5	23.8	3	0	0	9	0	2	weak_CPLCP_feature_support	
Aga_CPR11	147	6.8	5.4	3.4	1.4	1.4	9.5	36.7	40.0	2.5	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR110	188	7.4	18.6	6.4	2.7	7.4	3.7	23.9	36.2	15.0	6	0	0	2	0	4	moderate_CPLCP_feature_support	
Aga_CPR111	325	8.6	4.9	6.8	3.7	1.8	2.5	25.5	23.8	1.2	7	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR112	164	7.3	14.0	5.5	5.5	3.7	4.3	34.1	27.5	3.8	1	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR113	322	12.7	2.2	7.8	1.2	2.2	11.2	39.1	31.2	2.5	1	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR114	164	8.5	12.2	6.7	5.5	7.9	6.1	21.3	15.0	11.2	4	1	0	1	0	3	moderate_CPLCP_feature_support	
Aga_CPR115	186	10.2	10.8	9.7	4.3	3.2	7.0	17.2	5.0	1.2	0	3	0	1	0	3	moderate_CPLCP_feature_support	
Aga_CPR116	128	9.4	16.4	4.7	2.3	0.8	7.8	25.0	32.5	0.0	4	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR117	162	9.9	13.6	8.6	4.9	1.9	6.8	19.1	21.2	1.2	3	2	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR118	193	10.4	10.4	9.8	4.1	3.6	7.3	16.6	2.5	1.2	0	3	0	1	0	3	moderate_CPLCP_feature_support	
Aga_CPR119	193	10.4	10.4	9.8	4.1	3.6	7.3	16.6	2.5	1.2	0	3	0	1	0	3	moderate_CPLCP_feature_support	
Aga_CPR12	146	7.5	6.8	4.8	2.7	5.5	6.8	31.5	30.0	5.0	0	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR120	186	10.2	10.2	9.1	4.3	3.2	7.0	17.2	5.0	1.2	0	3	0	1	0	3	moderate_CPLCP_feature_support	
Aga_CPR121	193	10.4	10.9	9.8	4.1	3.6	7.3	16.6	2.5	1.2	0	3	0	1	0	3	moderate_CPLCP_feature_support	
Aga_CPR122	138	8.7	13.8	8.0	3.6	0.7	7.2	23.2	28.8	1.2	2	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR123	155	9.7	14.2	8.4	5.2	1.3	7.1	20.0	25.0	1.2	3	2	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPR124	244	10.7	14.8	5.7	2.9	0.0	2.0	18.4	12.5	0.0	8	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR125	227	14.5	4.4	7.9	2.6	2.6	7.5	34.8	38.8	5.0	5	0	0	0	0	4	moderate_CPLCP_feature_support	
Aga_CPR126	357	15.1	6.4	5.6	5.0	3.4	7.0	30.3	30.0	1.2	4	0	0	2	0	3	moderate_CPLCP_feature_support	
Aga_CPR127	224	11.6	3.6	9.8	4.0	2.7	6.7	37.9	32.5	6.2	2	1	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPR128	100	5.0	12.0	6.0	9.0	0.0	8.0	30.0	26.2	0.0	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR129	243	9.1	4.9	5.3	6.6	1.2	5.8	38.3	31.2	1.2	1	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR13	146	7.5	6.8	4.8	2.7	5.5	6.8	31.5	30.0	5.0	0	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR130	354	8.2	9.0	5.6	4.2	10.7	7.9	20.9	30.0	11.2	9	0	0	5	0	5	strong_CPLCP_feature_support	
Aga_CPR131	187	7.0	10.2	4.8	5.9	6.4	4.3	30.5	28.8	5.0	1	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR132	357	3.1	4.8	2.8	0.8	3.4	2.5	51.0	61.2	2.5	1	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR133	331	3.9	1.8	5.1	3.6	0.3	28.7	24.8	15.0	1.2	1	0	0	0	0	0	no_CPLCP_feature_support	
Aga_CPR134	365	6.3	10.1	4.4	3.8	2.2	5.5	37.8	32.5	1.2	3	2	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR135	256	9.8	6.2	7.4	3.5	1.2	5.1	42.6	33.8	1.2	0	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR136	143	7.0	12.6	6.3	7.7	16.1	7.7	23.1	27.5	21.2	4	0	0	4	0	3	moderate_CPLCP_feature_support	
Aga_CPR137	125	1.6	8.8	5.6	4.8	0.8	9.6	33.6	38.8	0.0	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR138	403	11.7	4.7	3.7	8.2	2.5	9.9	35.0	27.5	5.0	3	1	0	1	1	4	moderate_CPLCP_feature_support	
Aga_CPR139	466	9.4	4.3	5.2	2.6	1.7	9.4	36.1	28.8	0.0	2	3	0	1	1	4	moderate_CPLCP_feature_support	
Aga_CPR14	124	7.3	6.5	4.8	3.2	2.4	8.9	31.5	32.5	2.5	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR140	856	8.9	13.7	11.9	5.0	0.8	4.1	28.0	31.2	3.8	3	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR141	392	7.9	6.4	5.9	9.4	7.9	3.8	32.1	27.5	2.5	4	1	0	4	0	2	weak_CPLCP_feature_support	
Aga_CPR142	235	6.8	8.5	3.8	2.6	17.0	3.8	23.4	20.0	23.8	4	0	0	9	0	2	weak_CPLCP_feature_support	
Aga_CPR143	492	8.7	8.1	5.7	4.1	2.4	6.1	33.3	30.0	2.5	9	3	0	0	0	4	moderate_CPLCP_feature_support	
Aga_CPR144_iso1	588	10.2	5.3	5.8	4.1	2.2	12.9	36.6	33.8	1.2	2	3	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPR144_iso2	590	10.2	5.3	5.9	4.2	2.2	12.9	36.4	33.8	1.2	2	3	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPR145	120	1.7	11.7	10.8	7.5	10.8	11.7	26.7	30.0	15.0	0	0	0	4	0	3	moderate_CPLCP_feature_support	
Aga_CPR146	153	10.5	7.2	8.5	5.2	2.6	9.8	34.0	31.2	1.2	0	0	0	1	0	3	moderate_CPLCP_feature_support	
Aga_CPR147	181	6.6	4.4	9.9	1.7	0.6	12.7	42.5	42.5	1.2	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR148	132	5.3	7.6	10.6	5.3	15.9	6.8	31.1	35.0	13.8	1	0	0	5	0	3	moderate_CPLCP_feature_support	
Aga_CPR149	124	4.0	8.1	10.5	4.8	16.1	7.3	32.3	33.8	13.8	1	0	0	4	0	3	moderate_CPLCP_feature_support	
Aga_CPR15	137	6.6	8.8	5.8	2.9	1.5	8.8	35.8	38.8	2.5	1	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR150	135	6.7	12.6	8.9	5.9	5.2	4.4	33.3	36.2	8.8	1	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPR151	153	7.8	8.5	5.2	5.2	3.9	9.2	34.6	40.0	2.5	2	0	0	1	0	2	weak_CPLCP_feature_support	
Aga_CPR152	317	5.0	1.9	5.7	2.8	18.3	11.0	38.2	32.5	26.2	0	0	0	9	2	3	moderate_CPLCP_feature_support	
Aga_CPR153	334	3.9	1.8	5.1	3.6	0.3	29.0	24.6	15.0	1.2	1	0	0	0	0	0	no_CPLCP_feature_support	
Aga_CPR155	151	2.0	5.3	4.6	6.6	1.3	7.9	32.5	35.0	0.0	1	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPR156	125	2.4	10.4	7.2	6.4	16.8	8.8	28.0	31.2	15.0	1	0	0	4	0	3	moderate_CPLCP_feature_support	
Aga_CPR157	460	13.5	5.9	6.1	2.6	3.3	7.0	34.8	38.8	3.8	2	4	0	1	0	4	moderate_CPLCP_feature_support	
Aga_CPR158	195	10.3	10.3	9.2	3.6	3.6	6.7	18.5	7.5	1.2	0	3	0	1	0	3	moderate_CPLCP_feature_support	
